"SurveyResponseID","AnswerNumber","AnswerYN","AmenityType"
3192782,179,"Yes","Accommodation"
3191223,124,"Yes","Accommodation"
3191257,129,"Yes","Accommodation"
3192848,141,"Yes","Activities"
3191296,138,"Yes","Activities"
3191425,143,"Yes","Activities"
3191514,150,"Yes","Activities"
3191314,152,"Yes","Transport"
3193017,149,"Yes","Accommodation"
3191466,139,"Yes","Accommodation"
3191514,149,"Yes","Accommodation"
3191330,138,"Yes","Accommodation"
3191480,135,"Yes","Accommodation"
3191464,130,"Yes","Accommodation"
3193619,141,"Yes","Accommodation"
3191625,142,"Yes","Accommodation"
3191555,156,"Yes","Accommodation"
3191639,135,"Yes","Accommodation"
3193333,196,"No","All"
3193516,135,"Yes","Activities"
3191759,152,"Yes","Transport"
3193598,144,"Yes","Accommodation"
3191675,151,"Yes","Transport"
3193481,131,"Yes","Accommodation"
3193531,131,"Yes","Accommodation"
3193533,131,"Yes","Accommodation"
3191993,153,"Yes","Accommodation"
3193300,164,"Yes","Accommodation"
3193666,162,"Yes","Accommodation"
3193682,152,"Yes","Accommodation"
3193684,142,"Yes","Accommodation"
3193269,200,"No","All"
3192152,142,"Yes","Activities"
3192250,152,"Yes","Accommodation"
3193705,155,"Yes","Accommodation"
3193481,132,"Yes","Transport"
3193702,138,"Yes","Accommodation"
3192000,143,"Yes","Accommodation"
3191675,152,"Yes","Activities"
3192177,197,"Yes","Activities"
3192152,141,"Yes","Accommodation"
3193739,158,"Yes","Accommodation"
3193632,147,"Yes","Transport"
3193716,160,"Yes","Accommodation"
3193696,141,"Yes","Accommodation"
3193705,156,"Yes","Transport"
3193983,147,"Yes","Transport"
3193848,146,"Yes","Accommodation"
3193901,141,"Yes","Accommodation"
3193983,148,"Yes","Activities"
3192327,168,"Yes","Activities"
3193986,149,"Yes","Activities"
3192341,205,"No","All"
3192327,166,"Yes","Accommodation"
3193973,157,"Yes","Accommodation"
3192327,167,"Yes","Transport"
3193903,143,"Yes","Accommodation"
3193948,133,"Yes","Accommodation"
3193962,156,"Yes","Accommodation"
3193567,144,"Yes","Activities"
3193973,159,"Yes","Activities"
3193952,138,"Yes","Transport"
3192486,179,"Yes","Transport"
3193982,131,"Yes","Accommodation"
3193987,148,"Yes","Accommodation"
3192486,178,"Yes","Accommodation"
3194048,144,"Yes","Accommodation"
3193973,158,"Yes","Transport"
3194134,143,"Yes","Accommodation"
3194068,150,"Yes","Accommodation"
3194146,151,"Yes","Transport"
3192650,204,"Yes","Accommodation"
3192518,134,"Yes","Accommodation"
3194112,149,"Yes","Accommodation"
3194073,144,"Yes","Activities"
3192879,171,"Yes","Activities"
3194291,142,"Yes","Accommodation"
3193002,149,"Yes","Accommodation"
3192895,156,"Yes","Accommodation"
3194237,134,"Yes","Accommodation"
3192879,170,"Yes","Accommodation"
3193034,176,"Yes","Accommodation"
3193120,146,"Yes","Accommodation"
3193034,177,"Yes","Transport"
3193361,161,"Yes","Accommodation"
3193939,139,"Yes","Activities"
3193034,178,"Yes","Activities"
3193563,153,"Yes","Accommodation"
3193497,143,"Yes","Accommodation"
3193513,133,"Yes","Accommodation"
3193229,152,"No","All"
3193361,162,"Yes","Activities"
3193745,152,"Yes","Accommodation"
3193901,142,"Yes","Activities"
3193711,142,"Yes","Accommodation"
3193654,147,"Yes","Activities"
3193804,147,"Yes","Activities"
3193697,159,"Yes","Activities"
3193897,165,"Yes","Activities"
3194124,149,"Yes","Activities"
3192793,129,"No","All"
3194229,148,"Yes","Activities"
3194006,132,"Yes","Accommodation"
3193920,147,"Yes","Accommodation"
3193738,140,"Yes","Transport"
3194113,159,"Yes","Accommodation"
3194122,153,"Yes","Accommodation"
3193922,138,"Yes","Accommodation"
3193286,171,"No","All"
3461392,161,"No","All"
3338470,149,"Yes","Accommodation"
3461524,159,"Yes","Activities"
3461725,131,"Yes","Activities"
3461542,130,"Yes","Activities"
3461726,140,"Yes","Activities"
3461542,129,"Yes","Accommodation"
3461543,177,"Yes","Accommodation"
3461692,164,"Yes","Accommodation"
3461860,161,"Yes","Accommodation"
3461876,129,"Yes","Accommodation"
3462296,170,"Yes","Accommodation"
3461862,150,"Yes","Accommodation"
3461844,147,"Yes","Activities"
3462278,131,"No","All"
3462861,164,"Yes","Accommodation"
3461509,144,"Yes","Transport"
3462680,174,"Yes","Accommodation"
3461827,150,"Yes","Activities"
3462594,191,"Yes","Activities"
3462946,155,"No","All"
3462979,118,"No","All"
3462677,162,"Yes","Accommodation"
3461892,134,"Yes","Accommodation"
3462478,172,"Yes","Accommodation"
3462680,175,"Yes","Activities"
3462861,166,"Yes","Activities"
3463580,202,"Yes","Activities"
3463731,165,"Yes","Activities"
3463766,155,"Yes","Accommodation"
3463580,201,"Yes","Accommodation"
3465103,135,"Yes","Accommodation"
3462861,165,"Yes","Transport"
3465103,136,"Yes","Transport"
3466304,193,"Yes","Accommodation"
3463766,156,"Yes","Transport"
3466156,178,"Yes","Accommodation"
3464149,153,"No","All"
3465387,307,"No","All"
3465103,137,"Yes","Activities"
3466307,179,"Yes","Activities"
3465086,154,"Yes","Activities"
3466505,148,"Yes","Activities"
