"SurveyResponseID","AnswerNumber","WebsiteForPlanning","WebsiteForBooking","UsefulnessRating"
3186613,113,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Not Sure"
3185742,116,"Airline websites",NA,"8"
3186613,112,"www.wotif.com",NA,"7"
3185820,124,"www.tripadvisor.com",NA,"9"
3185742,116,"Friends, family and colleagues",NA,"8"
3186613,114,"Travel guides/books about New Zealand",NA,"5"
3185820,124,"www.newzealand.com",NA,"9"
3186613,112,"www.tripadvisor.com",NA,"7"
3186630,114,"None of these","None of these","None of these"
3185749,120,"Friends, family and colleagues",NA,"7"
3185835,130,"www.wotif.com",NA,"9"
3185835,130,"www.wotif.com",NA,"7"
3185749,123,"Other publications e.g. magazines",NA,"8"
3185835,129,"Travel agents in your home country over the phone",NA,"Very Useful10"
3185749,120,"Airline websites","Airline websites","7"
3185835,129,"Friends, family and colleagues",NA,"Very Useful10"
3186631,92,"Travel agents in your home country in person","Travel agents in your home country in person","9"
3185749,120,"Airline websites","Airline websites","Very Useful10"
3185838,112,"Travel agents in your home country in person","Travel agents in your home country in person","Very Useful10"
3185838,114,"Travel guides/books about New Zealand",NA,"Very Useful10"
3185838,113,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3185749,121,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3185749,122,"Travel guides/books about New Zealand",NA,"Very Useful10"
3185749,122,"Travel guides/books about New Zealand",NA,"Very Useful10"
3186632,106,"www.i-SITE.org.nz","www.i-SITE.org.nz","8"
3186632,103,"www.tripadvisor.com",NA,"Not at all Useful1"
3185854,109,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3185854,109,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"6"
3186632,109,"Travel guides/books about New Zealand",NA,"8"
3185854,108,"www.newzealand.com",NA,"9"
3185854,108,"www.lonleyplanet.com",NA,"9"
3186632,104,"www.wotif.com","www.wotif.com","8"
3185756,117,"Travel guides/books about New Zealand",NA,"9"
3185756,117,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3185854,107,"Friends, family and colleagues",NA,"8"
3186632,105,"www.newzealand.com","www.newzealand.com","8"
3185756,116,"www.newzealand.com",NA,"4"
3186632,108,"Online travel blogs","Online travel blogs","8"
3186632,107,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3185869,101,"Friends, family and colleagues",NA,"4"
3186632,107,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3185869,102,"www.newzealand.com",NA,"8"
3186632,103,"Airline websites",NA,"Not at all Useful1"
3185869,102,"www.newzealand.com",NA,"Very Useful10"
3185767,105,"www.newzealand.com",NA,"7"
3185869,101,"www.wotif.com",NA,"4"
3185869,103,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"6"
3185767,105,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3185767,106,"Another source",NA,"9"
3185767,106,"Another source",NA,"Another source"
3185767,104,"Friends, family and colleagues",NA,"Very Useful10"
3186647,125,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","8"
3185781,105,"Other publications e.g. magazines",NA,"7"
3186647,125,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","9"
3185870,124,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,""
3185781,104,"www.tripadvisor.com",NA,"9"
3186647,126,"Online travel blogs",NA,"8"
3186647,125,"www.newzealand.com",NA,"9"
3186647,124,"www.lonleyplanet.com",NA,"7"
3185870,123,"Airline websites","Airline websites","6"
3186647,124,"www.lonleyplanet.com",NA,"9"
3186647,123,"www.tripadvisor.com",NA,"7"
3185790,101,"www.wotif.com",NA,"7"
3185790,100,"Friends, family and colleagues",NA,"9"
3186648,97,"Friends, family and colleagues",NA,"Not Sure"
3185872,104,"Airline websites",NA,"7"
3185799,106,"www.wotif.com",NA,"7"
3185872,106,"www.newzealand.com",NA,"Not Sure"
3185872,107,"Travel guides/books about New Zealand",NA,"7"
3185872,107,"Travel guides/books about New Zealand",NA,"8"
3186680,92,"Friends, family and colleagues","Friends, family and colleagues","Very Useful10"
3185872,105,"www.tripadvisor.com",NA,"9"
3186680,93,"Airline websites","Airline websites","9"
3185801,114,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,""
3185872,106,"Websites of individual i-SITE centres",NA,"Not Sure"
3186681,100,"By visiting an airline outlet","By visiting an airline outlet","8"
3185806,113,"Travel guides/books about New Zealand",NA,"7"
3185808,105,"By phoning airlines",NA,"7"
3185887,115,"Friends, family and colleagues",NA,"8"
3185808,105,"Travel agents in your home country in person",NA,"7"
3186747,108,"Airline websites","Airline websites","8"
3185887,116,"www.newzealand.com",NA,"5"
3186747,109,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","8"
3186747,109,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","7"
3186747,109,"www.tripadvisor.com",NA,"7"
3185889,107,"Online travel blogs",NA,"9"
3185817,103,"Travel agents in your home country via the internet",NA,"7"
3185817,102,"Travel agents in your home country over the phone",NA,"7"
3185817,103,"Travel guides/books about New Zealand",NA,"7"
3185902,109,"Travel guides/books about New Zealand",NA,"8"
3185824,132,"Travel agents in your home country over the phone",NA,"Very Useful10"
3186748,116,"Travel guides/books about New Zealand","Travel guides/books about New Zealand","5"
3185824,131,"Friends, family and colleagues",NA,"7"
3186748,113,"Travel agents in your home country over the phone","Travel agents in your home country over the phone","8"
3185920,122,"Travel guides/books about New Zealand",NA,"9"
3185920,121,"www.i-SITE.org.nz",NA,"8"
3186748,115,"Travel agents in your home country in person","Travel agents in your home country in person","8"
3185826,118,"Travel agents in your home country in person",NA,"7"
3185826,119,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Not Sure"
3185921,112,"www.newzealand.com",NA,"9"
3186748,114,"Travel agents in your home country via the internet","Travel agents in your home country via the internet","8"
3185826,117,"Airline websites","Airline websites","8"
3186749,110,"Travel agents in your home country in person","Travel agents in your home country in person","9"
3185937,107,"Airline websites",NA,"9"
3185937,109,"Travel guides/books about New Zealand",NA,"9"
3185937,109,"Travel guides/books about New Zealand",NA,"Very Useful10"
3185840,149,"Friends, family and colleagues",NA,"9"
3185937,108,"www.tripadvisor.com",NA,"7"
3185865,117,"Travel agents in your home country in person",NA,"7"
3186765,106,"Friends, family and colleagues",NA,"Very Useful10"
3186765,107,"By phoning airlines",NA,"8"
3185937,108,"Travel agents in your home country in person",NA,"7"
3186765,106,"Airline websites","Airline websites","Very Useful10"
3185881,123,"None of these",NA,"None of these"
3186765,106,"Airline websites","Airline websites","8"
3185939,128,"Travel guides/books about New Zealand",NA,"8"
3185939,127,"Airline websites",NA,"4"
3185885,117,"Another source",NA,"Very Useful10"
3185885,116,"Friends, family and colleagues","Friends, family and colleagues","8"
3186781,98,"Airline websites",NA,"8"
3186781,99,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","8"
3186781,99,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","8"
3185885,117,"Travel guides/books about New Zealand",NA,"Very Useful10"
3186781,98,"Travel agents in your home country via the internet","Travel agents in your home country via the internet","8"
3186781,98,"Travel agents in your home country via the internet","Travel agents in your home country via the internet","8"
3185952,116,"Airline websites",NA,"9"
3185952,117,"Online travel blogs",NA,"9"
3185890,108,"Airline websites",NA,"Very Useful10"
3185952,116,"Travel agents in your home country via the internet",NA,"9"
3185890,107,"Friends, family and colleagues",NA,"9"
3186783,102,"Travel agents in your home country via the internet","Travel agents in your home country via the internet","7"
3186783,102,"Travel agents in your home country via the internet","Travel agents in your home country via the internet","7"
3185953,117,"Websites of individual i-SITE centres",NA,"7"
3185899,104,"www.lonleyplanet.com",NA,"9"
3186783,101,"Friends, family and colleagues",NA,"7"
3185953,118,"Another source",NA,"Another source"
3185953,118,"Another source",NA,"8"
3186783,101,"Airline websites","Airline websites","7"
3185899,103,"www.tripadvisor.com",NA,"Very Useful10"
3185953,116,"www.newzealand.com",NA,"6"
3186783,101,"Airline websites","Airline websites","7"
3185953,117,"Travel guides/books about New Zealand",NA,"7"
3186783,103,"www.wotif.com","www.wotif.com","7"
3186783,103,"www.wotif.com","www.wotif.com","7"
3185906,114,"Airline websites","Airline websites","6"
3185954,117,"Airline websites",NA,"8"
3186796,100,"Travel agents in your home country in person","Travel agents in your home country in person","6"
3185954,118,"Another source",NA,"Very Useful10"
3185906,115,"www.newzealand.com",NA,"9"
3185954,117,"Friends, family and colleagues",NA,"8"
3186797,107,"www.tripadvisor.com",NA,"9"
3185908,121,"Travel agents in your home country in person",NA,"7"
3185955,107,"Friends, family and colleagues",NA,"9"
3185955,108,"Another source",NA,"6"
3185955,107,"www.tripadvisor.com",NA,"9"
3186800,89,"www.tripadvisor.com","www.tripadvisor.com","6"
3185910,127,"Websites of individual i-SITE centres",NA,"9"
3185910,127,"Websites of individual i-SITE centres",NA,"Very Useful10"
3185910,125,"Friends, family and colleagues",NA,"9"
3185910,126,"www.newzealand.com",NA,"7"
3185910,126,"Facebook",NA,"7"
3185956,127,"Travel agents in your home country in person","Travel agents in your home country in person",""
3186816,104,"www.tripadvisor.com",NA,"7"
3186816,104,"www.tripadvisor.com",NA,"Very Useful10"
3185915,126,"www.newzealand.com",NA,"Very Useful10"
3186816,107,"Travel guides/books about New Zealand",NA,"Very Useful10"
3186816,105,"www.lonleyplanet.com",NA,"Very Useful10"
3185924,138,"www.newzealand.com",NA,"9"
3185969,115,"Travel agents in your home country via the internet",NA,"8"
3185924,139,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"6"
3186816,106,"Online travel blogs",NA,"Very Useful10"
3185969,117,"Another source",NA,"9"
3185969,117,"Another source",NA,"Another source"
3186816,106,"Online travel blogs",NA,"Very Useful10"
3186816,102,"Airline websites",NA,"8"
3185969,116,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","6"
3185969,115,"www.newzealand.com",NA,"8"
3186816,105,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3185926,104,"Travel agents in your home country in person","Travel agents in your home country in person",""
3186816,103,"Travel agents in your home country in person","Travel agents in your home country in person","Very Useful10"
3185935,108,"Travel agents in your home country in person","Travel agents in your home country in person","6"
3185970,122,"www.newzealand.com",NA,""
3185970,123,"Another source",NA,"6"
3185940,108,"www.tripadvisor.com",NA,"8"
3185970,123,"Another source",NA,"Another source"
3186846,101,"Friends, family and colleagues",NA,"9"
3186846,101,"Airline websites","Airline websites","9"
3185940,109,"Travel guides/books about New Zealand",NA,"9"
3186846,101,"Airline websites","Airline websites","9"
3186846,103,"Travel guides/books about New Zealand",NA,"7"
3186846,103,"Travel guides/books about New Zealand",NA,"7"
3186846,102,"www.tripadvisor.com",NA,"9"
3185971,131,"Airline websites",NA,"7"
3185942,113,"Travel agents in your home country in person",NA,"8"
3185942,113,"Another source",NA,"8"
3185942,112,"Friends, family and colleagues",NA,"9"
3186848,96,"Airline websites","Airline websites","8"
3186003,97,"www.i-SITE.org.nz",NA,"8"
3186848,97,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","8"
3185949,111,"Other publications e.g. magazines",NA,"7"
3186004,120,"None of these",NA,"None of these"
3185949,111,"www.lonleyplanet.com",NA,"7"
3185949,110,"Airline websites",NA,"9"
3186019,116,"www.newzealand.com",NA,"5"
3186849,105,"Travel guides/books about New Zealand",NA,"9"
3186849,104,"Travel agents in your home country in person","Travel agents in your home country in person","6"
3185965,111,"Travel guides/books about New Zealand",NA,"8"
3186019,115,"www.tripadvisor.com",NA,"7"
3185965,110,"www.tripadvisor.com",NA,"7"
3186863,133,"Travel guides/books about New Zealand",NA,"8"
3186863,131,"Airline websites",NA,"9"
3186036,93,"Airline websites","Airline websites","7"
3185974,110,"www.tripadvisor.com",NA,"6"
3186036,93,"Airline websites","Airline websites","7"
3185974,110,"www.tripadvisor.com",NA,"6"
3186863,132,"Online travel blogs",NA,"8"
3185974,111,"Travel guides/books about New Zealand",NA,"Very Useful10"
3186036,96,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3186036,95,"Travel agents in your home country in person",NA,"9"
3186864,123,"None of these",NA,"None of these"
3186036,96,"Other publications e.g. magazines",NA,"9"
3186036,93,"Friends, family and colleagues",NA,"7"
3185974,108,"Airline websites",NA,"Very Useful10"
3185974,109,"Travel agents in your home country in person",NA,"6"
3186865,115,"Travel agents in your home country in person",NA,"5"
3186865,115,"Travel agents in your home country in person",NA,"9"
3186865,116,"100% Pure New Zealand www.newzealand.com",NA,"7"
3185974,108,"Friends, family and colleagues",NA,"Very Useful10"
3186865,114,"By visiting an airline outlet",NA,"6"
3186865,116,"www.tripadvisor.com",NA,"7"
3186038,119,"www.i-SITE.org.nz",NA,"6"
3186865,114,"Travel agents in your home country over the phone",NA,"6"
3186038,118,"Airline websites",NA,"7"
3185992,135,"Airline websites",NA,"Very Useful10"
3186038,118,"www.tripadvisor.com",NA,"7"
3186038,120,"Travel guides/books about New Zealand",NA,"7"
3186038,120,"Travel guides/books about New Zealand",NA,"8"
3186866,100,"None of these",NA,"None of these"
3185992,136,"www.lonleyplanet.com",NA,"8"
3186015,121,"Airline websites",NA,"Very Useful10"
3186053,104,"www.lonleyplanet.com",NA,"8"
3186897,137,"Another source","Another source","Another source"
3186053,104,"www.tripadvisor.com",NA,"8"
3186897,134,"Friends, family and colleagues",NA,"9"
3186053,102,"Airline websites",NA,"7"
3186015,122,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3186897,134,"Airline websites","Airline websites","7"
3186897,134,"Airline websites","Airline websites","9"
3186015,123,"Online travel blogs",NA,"7"
3186053,105,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3186053,105,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3186015,123,"Online travel blogs",NA,"9"
3186897,136,"Another social networking website",NA,"9"
3186015,121,"Friends, family and colleagues",NA,"Very Useful10"
3186053,103,"Travel agents in your home country in person","Travel agents in your home country in person","Very Useful10"
3186024,117,"Travel agents in your home country via the internet",NA,"7"
3186898,119,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","8"
3186024,119,"www.wotif.com",NA,"7"
3186054,115,"Travel agents in your home country in person",NA,"6"
3186054,116,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"5"
3186054,116,"Weibu",NA,"5"
3186024,119,"www.lonleyplanet.com",NA,"7"
3186900,123,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"5"
3186024,117,"Travel agents in your home country over the phone",NA,"7"
3186900,121,"Airline websites",NA,"Very Useful10"
3186900,123,"www.lonleyplanet.com",NA,"5"
3186900,121,"Friends, family and colleagues",NA,"Very Useful10"
3186056,130,"Weibu",NA,"5"
3186056,129,"www.newzealand.com",NA,"7"
3186026,103,"Travel agents in your home country in person","Travel agents in your home country in person","8"
3186056,129,"www.newzealand.com",NA,"Very Useful10"
3186026,103,"Travel agents in your home country in person","Travel agents in your home country in person","9"
3186915,123,"None of these","None of these","None of these"
3186056,130,"Online travel blogs",NA,"5"
3186026,103,"Friends, family and colleagues",NA,"8"
3186056,128,"Airline websites",NA,"7"
3186056,128,"Travel agents in your home country in person",NA,"7"
3186916,119,"Friends, family and colleagues",NA,"9"
3186056,127,"Friends, family and colleagues",NA,"7"
3186916,120,"www.tripadvisor.com",NA,"9"
3186033,113,"Travel agents in your home country in person",NA,"8"
3186033,114,"Other publications e.g. magazines",NA,"Not Sure"
3186071,103,"www.wotif.com",NA,"8"
3186071,104,"Facebook",NA,"6"
3186033,113,"www.newzealand.com",NA,"8"
3186071,104,"Travel guides/books about New Zealand",NA,"6"
3186033,112,"Airline websites","Airline websites","Very Useful10"
3186930,115,"www.lonleyplanet.com",NA,"8"
3186930,117,"Travel guides/books about New Zealand",NA,"7"
3186930,117,"Travel guides/books about New Zealand",NA,"8"
3186930,114,"Airline websites",NA,"4"
3186035,120,"Airline websites",NA,"9"
3186930,114,"By visiting an airline outlet",NA,"4"
3186072,109,"Travel guides/books about New Zealand",NA,"8"
3186072,109,"Travel guides/books about New Zealand",NA,"Not Sure"
3186035,121,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3186930,116,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","7"
3186035,121,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3186931,119,"Online travel blogs",NA,""
3186072,108,"Travel agents in your home country over the phone",NA,"Very Useful10"
3186035,120,"www.newzealand.com",NA,"9"
3186931,120,"Travel guides/books about New Zealand",NA,"7"
3186931,120,"Travel guides/books about New Zealand",NA,"Very Useful10"
3186072,108,"www.newzealand.com",NA,"Very Useful10"
3186035,119,"Friends, family and colleagues",NA,"Not Sure"
3186072,107,"Airline websites","Airline websites","8"
3186072,110,"Another source","Another source","Another source"
3186932,128,"Travel guides/books about New Zealand",NA,"Very Useful10"
3186932,127,"Airline websites","Airline websites","Very Useful10"
3186040,100,"Travel guides/books about New Zealand",NA,""
3186058,125,"www.tripadvisor.com",NA,"7"
3186950,130,"Online travel blogs","Online travel blogs","9"
3186073,104,"www.newzealand.com",NA,"Very Useful10"
3186950,130,"Online travel blogs","Online travel blogs","8"
3186073,104,"Facebook",NA,"Very Useful10"
3186950,129,"www.tripadvisor.com",NA,"7"
3186058,124,"Airline websites",NA,"8"
3186073,105,"Travel guides/books about New Zealand",NA,"Very Useful10"
3186058,124,"Friends, family and colleagues",NA,"8"
3186073,105,"Travel guides/books about New Zealand",NA,"6"
3186058,126,"Another source",NA,"8"
3186058,126,"Another source",NA,"Another source"
3186950,129,"Friends, family and colleagues",NA,"7"
3186073,103,"www.tripadvisor.com",NA,"8"
3186950,131,"Another source",NA,"8"
3186074,112,"Another social networking website",NA,"9"
3186074,112,"Another social networking website",NA,"4"
3186087,119,"Online travel blogs",NA,"5"
3186074,111,"Online travel blogs",NA,"Very Useful10"
3186087,119,"Other publications e.g. magazines",NA,"5"
3186074,113,"Travel guides/books about New Zealand",NA,"8"
3186087,118,"Friends, family and colleagues",NA,"Very Useful10"
3186964,109,"Another source","Another source","Another source"
3186074,111,"www.lonleyplanet.com",NA,"Very Useful10"
3186964,107,"www.tripadvisor.com",NA,"8"
3186964,108,"Travel guides/books about New Zealand",NA,"6"
3186964,108,"Travel guides/books about New Zealand",NA,"Very Useful10"
3186964,107,"Travel agents in your home country over the phone",NA,"8"
3186964,106,"Airline websites","Airline websites","8"
3186076,122,"Travel guides/books about New Zealand",NA,"Very Useful10"
3186088,129,"Another source",NA,"9"
3186076,121,"Travel agents in your home country over the phone",NA,"9"
3186088,127,"Airline websites",NA,"8"
3186076,121,"Travel agents in your home country via the internet",NA,"9"
3186088,128,"Another social networking website",NA,"9"
3186967,114,"Airline websites","Airline websites","7"
3186088,129,"Travel guides/books about New Zealand",NA,"9"
3186967,115,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3186083,111,"www.tripadvisor.com",NA,"8"
3186982,104,"Airline websites","Airline websites","7"
3186083,112,"www.newzealand.com",NA,"8"
3186083,112,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3186089,128,"Travel guides/books about New Zealand",NA,"8"
3186999,117,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3186089,128,"Travel guides/books about New Zealand",NA,"9"
3186999,116,"www.tripadvisor.com",NA,"Very Useful10"
3186089,125,"Travel agents in your home country over the phone",NA,"9"
3186089,127,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3186092,115,"Airline websites",NA,"Very Useful10"
3186089,127,"Online travel blogs",NA,"8"
3186092,117,"www.newzealand.com",NA,"7"
3186089,126,"Travel agents in your home country in person",NA,"3"
3186089,126,"Travel agents in your home country in person",NA,"Very Useful10"
3187014,110,"Travel agents in your home country over the phone",NA,"Not Sure"
3186089,125,"Friends, family and colleagues",NA,"9"
3187014,111,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3186092,115,"Friends, family and colleagues",NA,"Very Useful10"
3187014,111,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3186101,107,"www.lonleyplanet.com",NA,"8"
3186103,128,"Friends, family and colleagues",NA,"Very Useful10"
3187014,112,"Online travel blogs",NA,"5"
3186103,129,"www.wotif.com",NA,"6"
3186103,129,"By visiting an airline outlet",NA,"6"
3187014,110,"Travel agents in your home country in person",NA,"Not Sure"
3187014,113,"Other publications e.g. magazines",NA,"8"
3186110,106,"www.wotif.com",NA,"9"
3186104,112,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3186104,111,"www.tripadvisor.com",NA,"8"
3186110,107,"Online travel blogs",NA,"8"
3186110,107,"Another source",NA,"8"
3187015,133,"Other publications e.g. magazines",NA,"8"
3187015,133,"Travel agents in your home country in person",NA,"8"
3186105,100,"Travel guides/books about New Zealand",NA,"9"
3186119,128,"Airline websites",NA,"3"
3187015,132,"Friends, family and colleagues",NA,"7"
3186119,129,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3186136,104,"Travel guides/books about New Zealand",NA,"Very Useful10"
3186119,130,"Travel guides/books about New Zealand",NA,"8"
3186119,130,"Travel guides/books about New Zealand",NA,"7"
3186119,129,"www.tripadvisor.com",NA,"9"
3186136,104,"www.tripadvisor.com",NA,"Very Useful10"
3187017,109,"Friends, family and colleagues",NA,"7"
3186136,103,"Friends, family and colleagues",NA,"Very Useful10"
3187017,109,"Travel agents in your home country via the internet",NA,"7"
3187017,110,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3187017,110,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3186126,107,"www.tripadvisor.com",NA,"6"
3186138,94,"Travel agents in your home country via the internet",NA,"8"
3186126,108,"Travel guides/books about New Zealand",NA,"5"
3186126,108,"Travel guides/books about New Zealand",NA,"9"
3186138,95,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3186126,107,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"6"
3187032,127,"Online travel blogs",NA,"5"
3186138,95,"www.newzealand.com",NA,"7"
3186126,106,"Airline websites",NA,"Very Useful10"
3187032,127,"Weibu",NA,"5"
3187032,126,"www.tripadvisor.com",NA,"8"
3186126,109,"Other publications e.g. magazines",NA,"Very Useful10"
3186133,109,"None of these",NA,"None of these"
3186153,118,"Airline websites",NA,"Very Useful10"
3186153,119,"By visiting an airline outlet",NA,"Very Useful10"
3186153,119,"Travel guides/books about New Zealand",NA,"Very Useful10"
3187047,105,"www.tripadvisor.com",NA,"9"
3186135,112,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3187047,107,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"6"
3187047,105,"Travel agents in your home country in person",NA,"9"
3186169,113,"None of these",NA,"None of these"
3186154,98,"By phoning airlines",NA,"7"
3187047,106,"www.i-SITE.org.nz",NA,"8"
3187047,106,"www.i-SITE.org.nz",NA,"7"
3186154,99,"Another social networking website",NA,"8"
3187047,104,"Friends, family and colleagues",NA,"7"
3186154,99,"Another social networking website",NA,"6"
3186154,98,"Travel agents in your home country via the internet",NA,"7"
3186174,116,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3186174,116,"Online travel blogs",NA,"8"
3187048,90,"Other publications e.g. magazines",NA,"9"
3186174,115,"www.wotif.com",NA,"7"
3187048,89,"Airline websites","Airline websites","Very Useful10"
3186176,123,"Travel agents in your home country in person",NA,"4"
3186155,123,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3186155,123,"Online travel blogs",NA,"8"
3187049,117,"Airline websites","Airline websites","Very Useful10"
3187049,117,"Airline websites","Airline websites","8"
3186155,122,"www.lonleyplanet.com",NA,"Very Useful10"
3186185,119,"Travel agents in your home country in person",NA,"Very Useful10"
3187049,119,"Travel guides/books about New Zealand",NA,"9"
3187049,119,"Travel guides/books about New Zealand",NA,"8"
3186185,120,"Another source",NA,"7"
3187049,118,"www.lonleyplanet.com",NA,"Very Useful10"
3186185,120,"Another source",NA,"Another source"
3186185,118,"Friends, family and colleagues",NA,"9"
3187049,117,"Friends, family and colleagues",NA,"8"
3186170,101,"Travel agents in your home country in person",NA,"6"
3186185,119,"Travel guides/books about New Zealand",NA,"Very Useful10"
3187050,120,"Websites of individual i-SITE centres",NA,"8"
3186172,119,"Travel agents in your home country in person",NA,"7"
3186199,109,"www.wotif.com",NA,"8"
3186172,120,"Other publications e.g. magazines",NA,"Very Useful10"
3186172,118,"Friends, family and colleagues",NA,"5"
3186199,110,"Facebook",NA,"8"
3187050,118,"www.tripadvisor.com",NA,""
3186172,120,"www.tripadvisor.com",NA,"Very Useful10"
3187050,119,"Weibu",NA,"6"
3187050,119,"Weibu",NA,"4"
3186201,119,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3186173,111,"www.tripadvisor.com",NA,"7"
3187065,108,"Online travel blogs",NA,"Very Useful10"
3186201,118,"Friends, family and colleagues",NA,"8"
3187065,108,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3186173,112,"Facebook",NA,"Very Useful10"
3187065,107,"By phoning airlines",NA,"8"
3186173,112,"Facebook",NA,"Very Useful10"
3186173,111,"Friends, family and colleagues",NA,"7"
3187067,112,"www.tripadvisor.com",NA,"Very Useful10"
3186210,124,"Airline websites","Airline websites",""
3186210,125,"www.tripadvisor.com",NA,"8"
3187067,113,"Online travel blogs",NA,"3"
3186186,119,"Friends, family and colleagues",NA,"9"
3186210,125,"www.tripadvisor.com",NA,"8"
3186186,120,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3186186,119,"www.tripadvisor.com",NA,"9"
3187082,111,"Online travel blogs",NA,"8"
3186233,105,"www.tripadvisor.com",NA,"Very Useful10"
3187082,109,"Weibu",NA,"7"
3186233,106,"www.newzealand.com",NA,"Very Useful10"
3186233,106,"www.newzealand.com",NA,"Very Useful10"
3187082,110,"www.i-SITE.org.nz",NA,"5"
3187082,110,"www.i-SITE.org.nz",NA,"Very Useful10"
3187082,108,"Friends, family and colleagues",NA,"8"
3186187,124,"www.tripadvisor.com",NA,"9"
3186235,86,"Airline websites","Airline websites","8"
3187082,109,"100% Pure New Zealand www.newzealand.com",NA,"7"
3186187,124,"www.tripadvisor.com",NA,"6"
3186187,127,"Travel guides/books about New Zealand",NA,"7"
3186187,127,"Travel guides/books about New Zealand",NA,"8"
3186249,92,"Friends, family and colleagues","Friends, family and colleagues","Very Useful10"
3186187,126,"Another social networking website",NA,"8"
3186187,123,"Airline websites",NA,"Very Useful10"
3186187,126,"Online travel blogs",NA,"8"
3187083,107,"None of these",NA,"None of these"
3186187,123,"Friends, family and colleagues",NA,"Very Useful10"
3186187,125,"Websites of individual i-SITE centres",NA,"Very Useful10"
3187098,103,"Travel agents in your home country in person",NA,"Very Useful10"
3187098,103,"100% Pure New Zealand www.newzealand.com",NA,"Very Useful10"
3186251,139,"Travel agents in your home country in person",NA,"Very Useful10"
3187098,104,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","7"
3186251,142,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
