"SurveyResponseID","AnswerNumber","WebsiteForPlanning","WebsiteForBooking","UsefulnessRating"
3184909,110,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3184909,110,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3184909,108,"Airline websites",NA,"9"
3184909,109,"Travel agents in your home country in person",NA,"6"
3184911,111,"Travel agents in your home country in person",NA,"9"
3184911,113,"Another source",NA,"7"
3184911,110,"Friends, family and colleagues",NA,"8"
3184911,112,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"6"
3184911,112,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Not Sure"
3184911,113,"Online travel blogs",NA,"7"
3184911,111,"Weibu",NA,"9"
3184928,118,"Travel guides/books about New Zealand",NA,"8"
3184928,117,"Friends, family and colleagues",NA,"8"
3184928,118,"Travel agents in your home country in person",NA,"8"
3184941,127,"Travel agents in your home country in person",NA,""
3184941,129,"Other publications e.g. magazines",NA,"9"
3184941,128,"www.lonleyplanet.com",NA,"7"
3184941,128,"www.lonleyplanet.com",NA,"5"
3184943,113,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","3"
3184943,112,"Airline websites",NA,"6"
3184943,112,"Travel agents in your home country in person",NA,"6"
3184944,143,"www.i-SITE.org.nz",NA,"7"
3184944,144,"Other publications e.g. magazines",NA,"8"
3184944,144,"Other publications e.g. magazines",NA,"Very Useful10"
3184944,141,"Friends, family and colleagues",NA,"Very Useful10"
3184944,143,"www.tripadvisor.com",NA,"7"
3184944,142,"Travel agents in your home country over the phone","Travel agents in your home country over the phone","6"
3184958,124,"www.tripadvisor.com",NA,"7"
3184958,125,"www.lonleyplanet.com",NA,"7"
3184958,125,"www.i-SITE.org.nz",NA,"7"
3184959,129,"None of these",NA,"None of these"
3184960,111,"Travel agents in your home country over the phone",NA,"9"
3184960,112,"www.tripadvisor.com",NA,"Not at all Useful1"
3184960,113,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","7"
3184960,114,"Online travel blogs",NA,"Very Useful10"
3184960,114,"Online travel blogs",NA,"9"
3184960,111,"Friends, family and colleagues",NA,"9"
3184975,128,"By phoning airlines",NA,"Very Useful10"
3184976,114,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184976,114,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184976,113,"www.newzealand.com",NA,""
3184976,112,"Friends, family and colleagues",NA,"5"
3184977,123,"Friends, family and colleagues",NA,"8"
3184977,124,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3184977,124,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Not Sure"
3184977,123,"Travel agents in your home country over the phone",NA,"8"
3184995,112,"Airline websites","Airline websites","9"
3184995,112,"Airline websites","Airline websites","Very Useful10"
3184995,112,"Friends, family and colleagues",NA,"9"
