"SurveyResponseID","AnswerNumber","SocialMediaUsed","TripStage"
3186351,96,"None of these","Planning trip to NZ"
3186322,174,"Twitter","After trip to NZ"
3185712,150,"None of these","Planning trip to NZ"
3186322,173,"Facebook","After trip to NZ"
3186187,144,"None of these","After trip to NZ"
3186326,109,"Facebook","During trip to NZ"
3186326,108,"Facebook","Planning trip to NZ"
3185704,145,"None of these","During trip to NZ"
3186126,119,"None of these","Planning trip to NZ"
3186110,125,"None of these","After trip to NZ"
3185704,144,"None of these","Planning trip to NZ"
3186199,122,"Facebook","During trip to NZ"
3186114,131,"None of these","After trip to NZ"
3186207,140,"None of these","After trip to NZ"
3185712,151,"Facebook","During trip to NZ"
3186363,171,"Facebook","During trip to NZ"
3186359,107,"Facebook","After trip to NZ"
3186207,139,"Facebook","During trip to NZ"
3185716,137,"Weibu","During trip to NZ"
3186363,170,"Facebook","Planning trip to NZ"
3186199,121,"None of these","Planning trip to NZ"
3186351,98,"None of these","After trip to NZ"
3186114,129,"None of these","Planning trip to NZ"
3186359,106,"None of these","During trip to NZ"
3185712,152,"None of these","After trip to NZ"
3186126,120,"None of these","During trip to NZ"
3186130,129,"None of these","During trip to NZ"
3186371,142,"None of these","Planning trip to NZ"
3186199,123,"Facebook","After trip to NZ"
3186114,130,"None of these","During trip to NZ"
3186126,121,"None of these","After trip to NZ"
3186363,172,"Facebook","After trip to NZ"
3186211,137,"None of these","Planning trip to NZ"
3186134,126,"None of these","Planning trip to NZ"
3185724,134,"Facebook","Planning trip to NZ"
3186215,131,"None of these","Planning trip to NZ"
3186371,143,"Facebook","During trip to NZ"
3186134,128,"Facebook","After trip to NZ"
3186130,130,"None of these","After trip to NZ"
3186387,124,"Facebook","During trip to NZ"
3185724,136,"None of these","After trip to NZ"
3186211,138,"None of these","During trip to NZ"
3185716,138,"Weibu","After trip to NZ"
3186130,128,"Facebook","Planning trip to NZ"
3186138,107,"Facebook","Planning trip to NZ"
3186134,127,"Facebook","During trip to NZ"
3186211,139,"Facebook","After trip to NZ"
3185724,135,"Facebook","During trip to NZ"
3186371,144,"None of these","After trip to NZ"
3186215,133,"None of these","After trip to NZ"
3186215,132,"None of these","During trip to NZ"
3186223,112,"None of these","During trip to NZ"
3186391,112,"Facebook","During trip to NZ"
3186387,125,"Facebook","After trip to NZ"
3186419,126,"Facebook","During trip to NZ"
3186223,113,"None of these","After trip to NZ"
3185732,124,"Facebook","During trip to NZ"
3186395,104,"None of these","After trip to NZ"
3186227,111,"None of these","During trip to NZ"
3186235,96,"None of these","After trip to NZ"
3186239,106,"None of these","After trip to NZ"
3186391,113,"Facebook","After trip to NZ"
3186239,105,"None of these","During trip to NZ"
3186138,109,"None of these","After trip to NZ"
3186419,127,"Facebook","After trip to NZ"
3186227,112,"None of these","After trip to NZ"
3186138,108,"Facebook","During trip to NZ"
3186395,103,"Facebook","During trip to NZ"
3185732,125,"None of these","After trip to NZ"
3186235,95,"None of these","During trip to NZ"
3186223,111,"None of these","Planning trip to NZ"
3186391,111,"None of these","Planning trip to NZ"
3186419,125,"None of these","Planning trip to NZ"
3186227,110,"None of these","Planning trip to NZ"
3185732,123,"None of these","Planning trip to NZ"
3186235,94,"None of these","Planning trip to NZ"
3186454,107,"Facebook","Planning trip to NZ"
3186466,179,"None of these","Planning trip to NZ"
3186387,123,"Facebook","Planning trip to NZ"
3185736,136,"None of these","After trip to NZ"
3186395,102,"Twitter","Planning trip to NZ"
3186247,99,"None of these","During trip to NZ"
3186150,137,"None of these","During trip to NZ"
3185736,134,"None of these","Planning trip to NZ"
3186474,129,"Twitter","Planning trip to NZ"
3186239,104,"None of these","Planning trip to NZ"
3186146,152,"None of these","During trip to NZ"
3186247,98,"None of these","Planning trip to NZ"
3185752,130,"None of these","Planning trip to NZ"
3186454,109,"Facebook","After trip to NZ"
3185744,131,"None of these","During trip to NZ"
3186470,114,"Facebook","During trip to NZ"
3186466,180,"None of these","During trip to NZ"
3186150,138,"Mixi","After trip to NZ"
3186154,118,"None of these","After trip to NZ"
3186470,115,"Facebook","After trip to NZ"
3186162,139,"None of these","During trip to NZ"
3186146,151,"None of these","Planning trip to NZ"
3186454,108,"Facebook","During trip to NZ"
3186170,118,"Twitter","Planning trip to NZ"
3186251,157,"Facebook","Planning trip to NZ"
3186150,136,"None of these","Planning trip to NZ"
3185744,130,"None of these","Planning trip to NZ"
3186146,153,"None of these","After trip to NZ"
3185736,135,"Facebook","During trip to NZ"
3186154,116,"None of these","Planning trip to NZ"
3186470,113,"None of these","Planning trip to NZ"
3186466,181,"None of these","After trip to NZ"
3186162,138,"None of these","Planning trip to NZ"
3186247,100,"None of these","After trip to NZ"
3186170,120,"None of these","After trip to NZ"
3186174,132,"None of these","During trip to NZ"
3185752,131,"None of these","During trip to NZ"
3185756,135,"Facebook","After trip to NZ"
3186255,121,"None of these","Planning trip to NZ"
3185756,134,"None of these","During trip to NZ"
3186478,170,"Facebook","During trip to NZ"
3186251,159,"Facebook","During trip to NZ"
3186162,140,"Twitter","After trip to NZ"
3185744,132,"None of these","After trip to NZ"
3186178,123,"None of these","Planning trip to NZ"
3186154,117,"None of these","During trip to NZ"
3185756,133,"None of these","Planning trip to NZ"
3186251,158,"Twitter","Planning trip to NZ"
3186474,130,"Facebook","During trip to NZ"
3186478,169,"None of these","Planning trip to NZ"
3186174,133,"Facebook","After trip to NZ"
3186174,131,"Facebook","Planning trip to NZ"
3185752,132,"None of these","After trip to NZ"
3186170,119,"Facebook","During trip to NZ"
3186474,131,"Twitter","After trip to NZ"
3186182,130,"None of these","Planning trip to NZ"
3185780,120,"Facebook","Planning trip to NZ"
3186251,160,"Facebook","After trip to NZ"
3186251,161,"Twitter","After trip to NZ"
3186178,125,"None of these","After trip to NZ"
3186478,173,"Twitter","After trip to NZ"
3185780,121,"None of these","During trip to NZ"
3186478,171,"Twitter","During trip to NZ"
3186182,131,"None of these","During trip to NZ"
3185780,122,"None of these","After trip to NZ"
3186534,125,"None of these","Planning trip to NZ"
3186178,124,"None of these","During trip to NZ"
3186478,172,"Facebook","After trip to NZ"
3186255,122,"None of these","During trip to NZ"
3185788,109,"None of these","Planning trip to NZ"
3186486,123,"None of these","During trip to NZ"
3186301,113,"Facebook","After trip to NZ"
3186514,108,"None of these","During trip to NZ"
3186534,126,"None of these","During trip to NZ"
3186534,127,"None of these","After trip to NZ"
3186542,101,"None of these","Planning trip to NZ"
3186486,124,"None of these","After trip to NZ"
3186301,112,"Facebook","During trip to NZ"
3186514,109,"None of these","After trip to NZ"
3186486,122,"Facebook","Planning trip to NZ"
3186255,123,"None of these","After trip to NZ"
3186301,111,"None of these","Planning trip to NZ"
3186514,107,"None of these","Planning trip to NZ"
3186186,131,"None of these","Planning trip to NZ"
3186542,102,"None of these","During trip to NZ"
3186186,132,"None of these","During trip to NZ"
3186190,131,"None of these","Planning trip to NZ"
3186594,102,"None of these","Planning trip to NZ"
3186325,144,"None of these","Planning trip to NZ"
3185788,111,"None of these","After trip to NZ"
3186598,111,"None of these","Planning trip to NZ"
3186190,133,"None of these","After trip to NZ"
3186321,98,"Facebook","After trip to NZ"
3186198,144,"None of these","Planning trip to NZ"
3186182,132,"Facebook","After trip to NZ"
3186542,103,"None of these","After trip to NZ"
3186321,97,"Facebook","During trip to NZ"
3186186,133,"None of these","After trip to NZ"
3185796,132,"Facebook","Planning trip to NZ"
3185788,110,"None of these","During trip to NZ"
3186602,137,"Facebook","Planning trip to NZ"
3186190,132,"None of these","During trip to NZ"
3186321,96,"None of these","Planning trip to NZ"
3186337,138,"None of these","Planning trip to NZ"
3185808,119,"None of these","Planning trip to NZ"
3186594,104,"None of these","After trip to NZ"
3186325,145,"Facebook","During trip to NZ"
3186598,113,"None of these","After trip to NZ"
3186198,145,"Twitter","During trip to NZ"
3186598,112,"None of these","During trip to NZ"
3185796,133,"None of these","During trip to NZ"
3186350,138,"None of these","Planning trip to NZ"
3186602,139,"Facebook","After trip to NZ"
3186350,139,"Facebook","During trip to NZ"
3185808,121,"Mixi","After trip to NZ"
3186337,140,"Facebook","After trip to NZ"
3186606,143,"None of these","During trip to NZ"
3185808,120,"Facebook","During trip to NZ"
3186631,103,"None of these","Planning trip to NZ"
3185820,143,"Facebook","Planning trip to NZ"
3186619,113,"Facebook","During trip to NZ"
3185816,136,"Facebook","During trip to NZ"
3186198,146,"Mixi","After trip to NZ"
3186631,104,"Facebook","During trip to NZ"
3186210,137,"None of these","During trip to NZ"
3186602,138,"Facebook","During trip to NZ"
3186337,139,"Facebook","During trip to NZ"
3186606,144,"None of these","After trip to NZ"
3185816,135,"None of these","Planning trip to NZ"
3185816,137,"None of these","After trip to NZ"
3186210,136,"None of these","Planning trip to NZ"
3186619,114,"Facebook","After trip to NZ"
3186366,112,"None of these","During trip to NZ"
3185820,144,"Twitter","During trip to NZ"
3186631,105,"Facebook","After trip to NZ"
3186366,113,"Facebook","After trip to NZ"
3186370,141,"None of these","During trip to NZ"
3186594,103,"None of these","During trip to NZ"
3186370,140,"None of these","Planning trip to NZ"
3185796,134,"Facebook","After trip to NZ"
3186325,146,"Facebook","After trip to NZ"
3186606,142,"None of these","Planning trip to NZ"
3186619,112,"Facebook","Planning trip to NZ"
3186366,111,"Twitter","Planning trip to NZ"
3186350,140,"None of these","After trip to NZ"
3186639,120,"Weibu","After trip to NZ"
3185820,145,"Twitter","After trip to NZ"
3186210,138,"None of these","After trip to NZ"
3186647,147,"Facebook","After trip to NZ"
3186222,123,"None of these","After trip to NZ"
3186370,142,"None of these","After trip to NZ"
3185824,145,"None of these","After trip to NZ"
3186651,122,"Twitter","During trip to NZ"
3186378,149,"Facebook","After trip to NZ"
3186651,121,"Facebook","During trip to NZ"
3186639,119,"Weibu","During trip to NZ"
3186258,108,"Facebook","After trip to NZ"
3185824,144,"None of these","During trip to NZ"
3186647,146,"Facebook","During trip to NZ"
3186222,122,"None of these","During trip to NZ"
3186254,109,"None of these","After trip to NZ"
3186378,148,"Facebook","During trip to NZ"
3186651,123,"Facebook","After trip to NZ"
3186254,108,"None of these","During trip to NZ"
3186258,107,"None of these","During trip to NZ"
3186655,130,"Facebook","After trip to NZ"
3186655,129,"Facebook","During trip to NZ"
3185824,143,"None of these","Planning trip to NZ"
3186378,147,"None of these","Planning trip to NZ"
3186647,145,"None of these","Planning trip to NZ"
3186651,120,"Facebook","Planning trip to NZ"
3186222,121,"None of these","Planning trip to NZ"
3186687,117,"Facebook","Planning trip to NZ"
3185832,133,"None of these","Planning trip to NZ"
3186691,160,"None of these","Planning trip to NZ"
3186274,109,"Facebook","Planning trip to NZ"
3186266,113,"Facebook","During trip to NZ"
3186691,161,"None of these","During trip to NZ"
3185832,135,"Facebook","After trip to NZ"
3186274,111,"Facebook","After trip to NZ"
3186639,118,"Weibu","Planning trip to NZ"
3186687,119,"Facebook","After trip to NZ"
3185845,140,"None of these","After trip to NZ"
3186254,107,"None of these","Planning trip to NZ"
3186707,103,"None of these","During trip to NZ"
3186258,106,"Facebook","Planning trip to NZ"
3186655,128,"None of these","Planning trip to NZ"
3186402,143,"Facebook","Planning trip to NZ"
3186707,102,"None of these","Planning trip to NZ"
3186266,114,"Facebook","After trip to NZ"
3185845,139,"Facebook","During trip to NZ"
3186286,104,"Facebook","Planning trip to NZ"
3186723,108,"None of these","Planning trip to NZ"
3185861,133,"None of these","Planning trip to NZ"
3186266,112,"Facebook","Planning trip to NZ"
3186687,118,"Facebook","During trip to NZ"
3185832,134,"None of these","During trip to NZ"
3186691,162,"None of these","After trip to NZ"
3186274,110,"Facebook","During trip to NZ"
3185845,138,"None of these","Planning trip to NZ"
3186278,145,"None of these","Planning trip to NZ"
3186278,147,"Facebook","After trip to NZ"
3186410,103,"Facebook","After trip to NZ"
3186278,146,"Facebook","During trip to NZ"
3186402,145,"Facebook","After trip to NZ"
3186410,102,"Facebook","During trip to NZ"
3186410,101,"None of these","Planning trip to NZ"
3186723,109,"None of these","During trip to NZ"
3185865,133,"None of these","During trip to NZ"
3185861,134,"None of these","During trip to NZ"
3186707,104,"None of these","After trip to NZ"
3186414,188,"None of these","Planning trip to NZ"
3186414,190,"None of these","After trip to NZ"
3186747,124,"None of these","Planning trip to NZ"
3186434,133,"None of these","Planning trip to NZ"
3186723,110,"None of these","After trip to NZ"
3186286,106,"Facebook","After trip to NZ"
3186418,148,"None of these","After trip to NZ"
3186426,117,"Facebook","Planning trip to NZ"
3185873,132,"Kaixin or RenRen","Planning trip to NZ"
3186402,144,"Facebook","During trip to NZ"
3186286,105,"Facebook","During trip to NZ"
3185861,135,"None of these","After trip to NZ"
3186418,147,"None of these","During trip to NZ"
3186755,121,"Twitter","Planning trip to NZ"
3185869,119,"None of these","During trip to NZ"
3186426,118,"Facebook","During trip to NZ"
3186438,116,"None of these","Planning trip to NZ"
3186414,189,"None of these","During trip to NZ"
3186418,146,"None of these","Planning trip to NZ"
3185865,132,"None of these","Planning trip to NZ"
3186735,116,"None of these","Planning trip to NZ"
3185869,118,"None of these","Planning trip to NZ"
3186735,118,"None of these","After trip to NZ"
3186294,106,"None of these","Planning trip to NZ"
3185865,134,"Facebook","After trip to NZ"
3186747,126,"Facebook","After trip to NZ"
3186775,159,"None of these","Planning trip to NZ"
3185877,158,"None of these","Planning trip to NZ"
3186735,117,"None of these","During trip to NZ"
3185869,120,"None of these","After trip to NZ"
3186747,125,"Facebook","During trip to NZ"
3186434,135,"None of these","After trip to NZ"
3186755,123,"Kaixin or RenRen","After trip to NZ"
3186438,118,"None of these","After trip to NZ"
3186294,107,"None of these","During trip to NZ"
3185873,133,"None of these","During trip to NZ"
3186434,134,"None of these","During trip to NZ"
3186755,122,"Weibu","During trip to NZ"
3186294,108,"None of these","After trip to NZ"
3186775,160,"Facebook","During trip to NZ"
3186783,114,"Facebook","During trip to NZ"
3185877,159,"Facebook","During trip to NZ"
3186469,162,"Facebook","During trip to NZ"
3186426,119,"Facebook","After trip to NZ"
3186775,161,"Facebook","After trip to NZ"
3185877,160,"None of these","After trip to NZ"
3185873,134,"None of these","After trip to NZ"
3186469,161,"Facebook","Planning trip to NZ"
3186438,117,"Facebook","During trip to NZ"
3186469,163,"Facebook","After trip to NZ"
3186477,112,"None of these","After trip to NZ"
3186300,127,"None of these","During trip to NZ"
3186783,115,"Facebook","After trip to NZ"
3186477,111,"None of these","During trip to NZ"
3185881,140,"Facebook","Planning trip to NZ"
3185885,130,"None of these","Planning trip to NZ"
3186819,111,"Facebook","After trip to NZ"
3186845,103,"None of these","Planning trip to NZ"
3186826,114,"None of these","After trip to NZ"
3186783,116,"Twitter","After trip to NZ"
3185881,142,"None of these","After trip to NZ"
3186783,113,"None of these","Planning trip to NZ"
3185885,131,"Facebook","During trip to NZ"
3186819,109,"Facebook","Planning trip to NZ"
3186826,113,"Facebook","During trip to NZ"
3185889,124,"Twitter","After trip to NZ"
3185897,129,"None of these","Planning trip to NZ"
3185881,141,"None of these","During trip to NZ"
3186300,126,"None of these","Planning trip to NZ"
3186477,110,"None of these","Planning trip to NZ"
3185889,123,"None of these","During trip to NZ"
3186300,128,"Facebook","After trip to NZ"
3186819,110,"Facebook","During trip to NZ"
3186304,121,"None of these","Planning trip to NZ"
3185885,132,"Facebook","After trip to NZ"
3186826,112,"None of these","Planning trip to NZ"
3185893,120,"Facebook","After trip to NZ"
3186481,121,"None of these","After trip to NZ"
3186845,104,"None of these","During trip to NZ"
3185889,122,"None of these","Planning trip to NZ"
3185893,118,"None of these","Planning trip to NZ"
3186481,120,"None of these","During trip to NZ"
3186505,183,"None of these","Planning trip to NZ"
3186849,114,"None of these","Planning trip to NZ"
3186304,122,"Facebook","During trip to NZ"
3186316,94,"Facebook","Planning trip to NZ"
3186481,119,"None of these","Planning trip to NZ"
3185893,119,"Facebook","During trip to NZ"
3185909,155,"Facebook","Planning trip to NZ"
3186517,144,"None of these","Planning trip to NZ"
3186865,130,"None of these","Planning trip to NZ"
3185897,130,"None of these","During trip to NZ"
3186304,123,"Facebook","After trip to NZ"
3185909,156,"None of these","During trip to NZ"
3186849,116,"None of these","After trip to NZ"
3186505,184,"None of these","During trip to NZ"
3185897,131,"Facebook","After trip to NZ"
3186849,115,"None of these","During trip to NZ"
3185909,157,"Facebook","After trip to NZ"
3186845,105,"None of these","After trip to NZ"
3185921,125,"None of these","Planning trip to NZ"
3186533,143,"None of these","Planning trip to NZ"
3186537,106,"None of these","Planning trip to NZ"
3186505,185,"None of these","After trip to NZ"
3185937,126,"Weibu","Planning trip to NZ"
3186869,121,"Facebook","Planning trip to NZ"
3186517,145,"Facebook","During trip to NZ"
3186533,145,"None of these","After trip to NZ"
3186316,95,"None of these","During trip to NZ"
3186865,132,"Facebook","After trip to NZ"
3186533,144,"None of these","During trip to NZ"
3185921,127,"None of these","After trip to NZ"
3186865,131,"Facebook","During trip to NZ"
3186517,146,"None of these","After trip to NZ"
3185921,126,"None of these","During trip to NZ"
3186869,123,"Facebook","After trip to NZ"
3186537,107,"None of these","During trip to NZ"
3186545,112,"Twitter","After trip to NZ"
3186545,111,"None of these","During trip to NZ"
3186340,118,"Facebook","After trip to NZ"
3186877,128,"None of these","Planning trip to NZ"
3186869,122,"None of these","During trip to NZ"
3186549,127,"Facebook","After trip to NZ"
3185937,128,"None of these","After trip to NZ"
3186537,108,"None of these","After trip to NZ"
3186565,131,"None of these","Planning trip to NZ"
3186316,96,"Facebook","After trip to NZ"
3185937,127,"None of these","During trip to NZ"
3186340,117,"Facebook","During trip to NZ"
3186545,110,"None of these","Planning trip to NZ"
3186549,125,"None of these","Planning trip to NZ"
3185949,125,"None of these","Planning trip to NZ"
3185949,127,"Facebook","After trip to NZ"
3186877,129,"None of these","During trip to NZ"
3186885,146,"None of these","After trip to NZ"
3186549,126,"Facebook","During trip to NZ"
3186340,116,"None of these","Planning trip to NZ"
3186369,108,"None of these","After trip to NZ"
3185949,126,"None of these","During trip to NZ"
3185953,133,"Facebook","During trip to NZ"
3186877,130,"None of these","After trip to NZ"
3186565,132,"Facebook","During trip to NZ"
3186565,133,"Twitter","After trip to NZ"
3186573,117,"Facebook","During trip to NZ"
3186369,107,"None of these","During trip to NZ"
3186889,158,"None of these","After trip to NZ"
3186885,144,"None of these","Planning trip to NZ"
3186573,116,"Facebook","Planning trip to NZ"
3185953,132,"Facebook","Planning trip to NZ"
3186885,145,"None of these","During trip to NZ"
3186889,156,"None of these","Planning trip to NZ"
3186581,118,"None of these","Planning trip to NZ"
3185953,134,"Facebook","After trip to NZ"
3186889,157,"None of these","During trip to NZ"
3186573,118,"Facebook","After trip to NZ"
3186369,106,"None of these","Planning trip to NZ"
3185965,129,"None of these","Planning trip to NZ"
3186893,127,"None of these","After trip to NZ"
3186581,120,"None of these","After trip to NZ"
3186897,155,"Facebook","During trip to NZ"
3186385,164,"Facebook","During trip to NZ"
3186385,163,"Facebook","Planning trip to NZ"
3186597,135,"None of these","Planning trip to NZ"
3186897,154,"None of these","Planning trip to NZ"
3186385,165,"Facebook","After trip to NZ"
3186905,149,"Twitter","After trip to NZ"
3186893,125,"Facebook","Planning trip to NZ"
3186397,157,"None of these","During trip to NZ"
3186897,156,"Facebook","After trip to NZ"
3185965,130,"None of these","During trip to NZ"
3186905,148,"None of these","During trip to NZ"
3186597,137,"Facebook","After trip to NZ"
3185969,132,"Facebook","After trip to NZ"
3185969,130,"None of these","Planning trip to NZ"
3186605,133,"Weibu","Planning trip to NZ"
3186397,156,"None of these","Planning trip to NZ"
3186613,141,"None of these","Planning trip to NZ"
3186618,139,"None of these","Planning trip to NZ"
3186597,136,"Facebook","During trip to NZ"
3185969,131,"Facebook","During trip to NZ"
3186605,134,"Weibu","During trip to NZ"
3186397,158,"Facebook","After trip to NZ"
3186905,147,"None of these","Planning trip to NZ"
3186909,140,"None of these","Planning trip to NZ"
3185973,134,"Facebook","Planning trip to NZ"
3186401,106,"None of these","During trip to NZ"
3186613,142,"Facebook","During trip to NZ"
3186893,126,"None of these","During trip to NZ"
3186618,140,"None of these","During trip to NZ"
3186581,119,"None of these","During trip to NZ"
3186605,135,"Weibu","After trip to NZ"
3185973,135,"None of these","During trip to NZ"
3185965,131,"None of these","After trip to NZ"
3186921,151,"None of these","During trip to NZ"
3186401,105,"None of these","Planning trip to NZ"
3186909,142,"None of these","After trip to NZ"
3186409,152,"Facebook","Planning trip to NZ"
3186909,141,"Facebook","During trip to NZ"
3185973,136,"None of these","After trip to NZ"
3186401,107,"None of these","After trip to NZ"
3186618,141,"None of these","After trip to NZ"
3186921,152,"None of these","After trip to NZ"
3186409,155,"Facebook","After trip to NZ"
3186009,141,"Facebook","During trip to NZ"
3186613,143,"None of these","After trip to NZ"
3186409,153,"Facebook","During trip to NZ"
3186925,121,"Facebook","After trip to NZ"
3186421,102,"None of these","After trip to NZ"
3186033,132,"None of these","During trip to NZ"
3186622,133,"None of these","After trip to NZ"
3186409,154,"Twitter","During trip to NZ"
3186925,120,"None of these","During trip to NZ"
3186413,134,"None of these","During trip to NZ"
3186448,127,"None of these","After trip to NZ"
3186448,126,"None of these","During trip to NZ"
3186937,146,"None of these","During trip to NZ"
3186622,132,"None of these","During trip to NZ"
3186033,133,"None of these","After trip to NZ"
3186009,142,"None of these","After trip to NZ"
3186413,135,"None of these","After trip to NZ"
3186421,101,"Facebook","During trip to NZ"
3186937,147,"None of these","After trip to NZ"
3186921,150,"None of these","Planning trip to NZ"
3186009,140,"None of these","Planning trip to NZ"
3186413,133,"None of these","Planning trip to NZ"
3186626,119,"None of these","Planning trip to NZ"
3186421,100,"None of these","Planning trip to NZ"
3186937,145,"None of these","Planning trip to NZ"
3186448,125,"None of these","Planning trip to NZ"
3186925,119,"None of these","Planning trip to NZ"
3186941,112,"None of these","Planning trip to NZ"
3186622,131,"None of these","Planning trip to NZ"
3186033,131,"None of these","Planning trip to NZ"
3186468,137,"None of these","Planning trip to NZ"
3186041,137,"Facebook","Planning trip to NZ"
3186456,113,"Twitter","Planning trip to NZ"
3186630,125,"None of these","Planning trip to NZ"
3186626,121,"Facebook","After trip to NZ"
3186941,113,"None of these","During trip to NZ"
3186630,127,"Twitter","During trip to NZ"
3186456,115,"Facebook","After trip to NZ"
3186041,138,"None of these","During trip to NZ"
3186630,126,"Facebook","During trip to NZ"
3186945,134,"None of these","During trip to NZ"
3186626,120,"Facebook","During trip to NZ"
3186468,138,"None of these","During trip to NZ"
3186468,139,"None of these","After trip to NZ"
3186041,140,"Mixi","After trip to NZ"
3186945,135,"None of these","After trip to NZ"
3186634,117,"None of these","During trip to NZ"
3186045,125,"Facebook","During trip to NZ"
3186456,114,"Facebook","During trip to NZ"
3186953,139,"Facebook","After trip to NZ"
3186630,128,"Facebook","After trip to NZ"
3186053,122,"Facebook","After trip to NZ"
3186953,138,"Facebook","During trip to NZ"
3186045,126,"Facebook","After trip to NZ"
3186941,114,"None of these","After trip to NZ"
3186961,124,"Facebook","After trip to NZ"
3186041,139,"Facebook","After trip to NZ"
3186630,129,"Twitter","After trip to NZ"
3186634,118,"None of these","After trip to NZ"
3186053,121,"None of these","During trip to NZ"
3186961,123,"None of these","During trip to NZ"
3186969,115,"None of these","During trip to NZ"
3186953,137,"Facebook","Planning trip to NZ"
3186634,116,"None of these","Planning trip to NZ"
3186053,120,"None of these","Planning trip to NZ"
3186961,122,"None of these","Planning trip to NZ"
3186969,114,"None of these","Planning trip to NZ"
3186045,124,"None of these","Planning trip to NZ"
3186488,100,"None of these","Planning trip to NZ"
3186973,146,"None of these","Planning trip to NZ"
3186057,142,"None of these","Planning trip to NZ"
3186985,142,"Weibu","Planning trip to NZ"
3186488,102,"None of these","After trip to NZ"
3186662,111,"None of these","After trip to NZ"
3186973,148,"Weibu","After trip to NZ"
3186057,144,"Facebook","After trip to NZ"
3186512,146,"Facebook","After trip to NZ"
3186520,138,"None of these","Planning trip to NZ"
3186073,116,"Twitter","Planning trip to NZ"
3186686,164,"None of these","After trip to NZ"
3186985,143,"Weibu","During trip to NZ"
3186945,133,"None of these","Planning trip to NZ"
3186662,109,"None of these","Planning trip to NZ"
3186686,162,"None of these","Planning trip to NZ"
3186512,144,"Facebook","Planning trip to NZ"
3186969,116,"None of these","After trip to NZ"
3186973,147,"None of these","During trip to NZ"
3186057,143,"None of these","During trip to NZ"
3186690,106,"None of these","Planning trip to NZ"
3186536,107,"None of these","Planning trip to NZ"
3186993,142,"Weibu","Planning trip to NZ"
3187001,124,"Kaixin or RenRen","Planning trip to NZ"
3186662,110,"Facebook","During trip to NZ"
3186488,101,"None of these","During trip to NZ"
3186686,163,"None of these","During trip to NZ"
3186512,145,"Facebook","During trip to NZ"
3186524,104,"None of these","Planning trip to NZ"
3186985,144,"Kaixin or RenRen","After trip to NZ"
3186520,140,"Facebook","After trip to NZ"
3186073,117,"None of these","During trip to NZ"
3186524,106,"None of these","After trip to NZ"
3186524,105,"None of these","During trip to NZ"
3187001,125,"None of these","During trip to NZ"
3186993,144,"Weibu","After trip to NZ"
3186089,139,"Facebook","After trip to NZ"
3186089,138,"None of these","During trip to NZ"
3186520,139,"Facebook","During trip to NZ"
3187005,150,"None of these","Planning trip to NZ"
3186093,135,"None of these","Planning trip to NZ"
3187005,151,"None of these","During trip to NZ"
3186093,137,"None of these","After trip to NZ"
3186690,108,"None of these","After trip to NZ"
3186694,115,"None of these","After trip to NZ"
3186089,137,"None of these","Planning trip to NZ"
3186694,114,"None of these","During trip to NZ"
3186540,151,"None of these","Planning trip to NZ"
3187005,152,"Twitter","After trip to NZ"
3186694,113,"None of these","Planning trip to NZ"
3186536,108,"Facebook","During trip to NZ"
3186097,128,"None of these","Planning trip to NZ"
3186101,121,"None of these","Planning trip to NZ"
3187013,126,"None of these","During trip to NZ"
3186073,118,"None of these","After trip to NZ"
3186993,143,"None of these","During trip to NZ"
3186690,107,"None of these","During trip to NZ"
3187013,125,"None of these","Planning trip to NZ"
3187001,126,"None of these","After trip to NZ"
3186093,136,"Facebook","During trip to NZ"
3186726,177,"Facebook","Planning trip to NZ"
3186536,109,"Facebook","After trip to NZ"
3186097,129,"None of these","During trip to NZ"
3187025,132,"Weibu","Planning trip to NZ"
3186544,98,"None of these","Planning trip to NZ"
3187017,123,"Weibu","Planning trip to NZ"
3187021,129,"None of these","Planning trip to NZ"
3186097,130,"Mixi","After trip to NZ"
3187013,127,"None of these","After trip to NZ"
3186734,126,"Facebook","Planning trip to NZ"
3187017,124,"Weibu","During trip to NZ"
3187021,130,"None of these","During trip to NZ"
3186540,153,"None of these","After trip to NZ"
3187017,125,"None of these","After trip to NZ"
3187021,131,"None of these","After trip to NZ"
3186129,147,"None of these","After trip to NZ"
3186726,178,"Facebook","During trip to NZ"
3186540,152,"None of these","During trip to NZ"
3186544,100,"None of these","After trip to NZ"
3186101,122,"Facebook","During trip to NZ"
3187025,133,"None of these","During trip to NZ"
3186734,128,"Facebook","After trip to NZ"
3186105,120,"Facebook","After trip to NZ"
3187029,132,"Weibu","After trip to NZ"
3186556,111,"None of these","Planning trip to NZ"
3186734,127,"Facebook","During trip to NZ"
3187025,134,"Kaixin or RenRen","After trip to NZ"
3187029,129,"Twitter","Planning trip to NZ"
3186105,118,"None of these","Planning trip to NZ"
3187029,130,"Weibu","Planning trip to NZ"
3186726,179,"Facebook","After trip to NZ"
3187037,138,"Weibu","Planning trip to NZ"
3186129,145,"None of these","Planning trip to NZ"
3186544,99,"None of these","During trip to NZ"
3186145,146,"Facebook","Planning trip to NZ"
3186101,123,"Facebook","After trip to NZ"
3186742,126,"None of these","Planning trip to NZ"
3186556,112,"None of these","During trip to NZ"
3186105,119,"Facebook","During trip to NZ"
3187029,131,"None of these","During trip to NZ"
3186129,146,"None of these","During trip to NZ"
3187037,139,"Weibu","During trip to NZ"
3187041,122,"Kaixin or RenRen","After trip to NZ"
