"SurveyResponseID","AnswerNumber","SocialMediaUsed","TripStage"
3184708,133,"None of these","Planning trip to NZ"
3184708,134,"Facebook","During trip to NZ"
3184682,125,"Facebook","After trip to NZ"
3184685,140,"None of these","Planning trip to NZ"
3184673,145,"None of these","During trip to NZ"
3184707,130,"None of these","Planning trip to NZ"
3184715,144,"Weibu","Planning trip to NZ"
3184685,142,"None of these","After trip to NZ"
3184703,130,"Facebook","After trip to NZ"
3184697,135,"None of these","Planning trip to NZ"
3184693,137,"None of these","Planning trip to NZ"
3184702,129,"None of these","Planning trip to NZ"
3184712,132,"None of these","Planning trip to NZ"
3184682,124,"None of these","During trip to NZ"
3184696,141,"None of these","After trip to NZ"
3184677,128,"None of these","During trip to NZ"
3184700,140,"None of these","After trip to NZ"
3184690,126,"Facebook","During trip to NZ"
3184708,135,"Facebook","After trip to NZ"
3184693,138,"Facebook","During trip to NZ"
3184693,139,"Twitter","During trip to NZ"
3184727,145,"None of these","After trip to NZ"
3184707,132,"Facebook","After trip to NZ"
3184702,130,"None of these","During trip to NZ"
3184697,137,"None of these","After trip to NZ"
3184693,140,"Facebook","After trip to NZ"
3184712,134,"None of these","After trip to NZ"
3184707,131,"Facebook","During trip to NZ"
3184712,133,"None of these","During trip to NZ"
3184715,146,"None of these","After trip to NZ"
3184715,145,"Weibu","During trip to NZ"
3184702,131,"None of these","After trip to NZ"
3184727,144,"Facebook","During trip to NZ"
3184697,136,"None of these","During trip to NZ"
3184724,136,"Facebook","During trip to NZ"
3184724,137,"Facebook","After trip to NZ"
3184733,110,"None of these","During trip to NZ"
3184713,149,"None of these","During trip to NZ"
3184721,131,"Facebook","During trip to NZ"
3184727,143,"None of these","Planning trip to NZ"
3184713,148,"None of these","Planning trip to NZ"
3184745,146,"None of these","Planning trip to NZ"
3184733,111,"None of these","After trip to NZ"
3184713,150,"Facebook","After trip to NZ"
3184730,136,"Facebook","Planning trip to NZ"
3184753,141,"Facebook","Planning trip to NZ"
3184728,136,"None of these","After trip to NZ"
3184745,147,"None of these","During trip to NZ"
3184733,109,"Facebook","Planning trip to NZ"
3184724,135,"None of these","Planning trip to NZ"
3184728,134,"None of these","Planning trip to NZ"
3184722,110,"None of these","Planning trip to NZ"
3184721,130,"None of these","Planning trip to NZ"
3184730,137,"None of these","During trip to NZ"
3184734,114,"Facebook","After trip to NZ"
3184742,132,"Facebook","During trip to NZ"
3184743,141,"Facebook","Planning trip to NZ"
3184742,131,"None of these","Planning trip to NZ"
3184750,151,"Facebook","Planning trip to NZ"
3184734,113,"Facebook","During trip to NZ"
3184745,148,"None of these","After trip to NZ"
3184765,122,"Facebook","Planning trip to NZ"
3184746,114,"None of these","Planning trip to NZ"
3184773,142,"Facebook","Planning trip to NZ"
3184729,128,"Facebook","During trip to NZ"
3184753,143,"Facebook","After trip to NZ"
3184728,135,"Facebook","During trip to NZ"
3184734,112,"None of these","Planning trip to NZ"
3184729,127,"Facebook","Planning trip to NZ"
3184721,132,"None of these","After trip to NZ"
3184730,138,"Facebook","After trip to NZ"
3184734,115,"Mixi","After trip to NZ"
3184753,142,"Facebook","During trip to NZ"
3184742,133,"Facebook","After trip to NZ"
3184746,115,"None of these","During trip to NZ"
3184765,124,"None of these","After trip to NZ"
3184729,129,"Twitter","During trip to NZ"
3184773,143,"None of these","During trip to NZ"
3184722,112,"Facebook","After trip to NZ"
3184765,123,"Facebook","During trip to NZ"
3184729,130,"None of these","After trip to NZ"
3184746,116,"Facebook","After trip to NZ"
3184722,111,"None of these","During trip to NZ"
3184793,140,"None of these","Planning trip to NZ"
3184773,144,"None of these","After trip to NZ"
3184809,128,"None of these","Planning trip to NZ"
3184748,128,"None of these","Planning trip to NZ"
3184789,129,"None of these","Planning trip to NZ"
3184750,153,"Twitter","During trip to NZ"
3184793,141,"None of these","During trip to NZ"
3184789,131,"Facebook","After trip to NZ"
3184743,143,"Facebook","After trip to NZ"
3184750,154,"None of these","After trip to NZ"
3184809,130,"None of these","After trip to NZ"
3184770,133,"None of these","After trip to NZ"
3184766,129,"None of these","After trip to NZ"
3184748,129,"Facebook","During trip to NZ"
3184770,131,"None of these","Planning trip to NZ"
3184774,129,"Weibu","During trip to NZ"
3184766,127,"None of these","Planning trip to NZ"
3184743,142,"None of these","During trip to NZ"
3184750,152,"Facebook","During trip to NZ"
3184789,130,"Facebook","During trip to NZ"
3184793,142,"Mixi","After trip to NZ"
3184766,128,"None of these","During trip to NZ"
3184809,129,"None of these","During trip to NZ"
3184743,144,"Twitter","After trip to NZ"
3184813,133,"None of these","Planning trip to NZ"
3184772,134,"None of these","Planning trip to NZ"
3184817,135,"Twitter","Planning trip to NZ"
3184770,132,"Facebook","During trip to NZ"
3184747,131,"Facebook","Planning trip to NZ"
3184778,133,"None of these","During trip to NZ"
3184813,134,"None of these","During trip to NZ"
3184747,132,"None of these","During trip to NZ"
3184748,131,"None of these","After trip to NZ"
3184780,131,"None of these","Planning trip to NZ"
3184774,128,"None of these","Planning trip to NZ"
3184748,130,"Twitter","During trip to NZ"
3184817,134,"Kaixin or RenRen","Planning trip to NZ"
