"SurveyResponseID","AnswerNumber","AmenityType","SatisfactionRatingReason"
3184724,106,"Customer service","Staff not friendly"
3184651,101,"Commercial transport","No reason"
3184708,95,"Food & beverage outlets","Alcohol too expensive"
3184708,98,"Maori activities experienced","Another indifferent or poor aspect"
3184712,104,"Maori activities experienced","Good quality/standard"
3184647,97,"Maori activities experienced","Entertaining"
3184712,101,"Activities experienced","Hard to find/need better signage"
3184639,102,"Customer service","Staff didn't care"
3184651,103,"Maori activities experienced","Informative"
3184663,109,"Maori activities experienced","Learnt about a new culture"
3184651,106,"Maori activities experienced","Well organised"
3184663,110,"Maori activities experienced","Entertaining"
3184663,113,"Maori activities experienced","Well organised"
3184724,105,"Maori activities experienced","Good staff"
3184724,108,"Sense of safety","No reason"
3184728,104,"Commercial transport","Expensive"
3184730,110,"Activities experienced","Another reason"
3184625,95,"Maori activities experienced","Entertaining"
3184728,107,"Maori activities experienced","Informative"
3184728,110,"Maori activities experienced","Well organised"
3184671,99,"Food & beverage outlets","No reason"
3184663,111,"Maori activities experienced","Good quality/standard"
3184724,104,"Maori activities experienced","Good quality/standard"
3184625,96,"Customer service","No reason"
3184730,109,"Activities experienced","Too expensive"
3184728,103,"Food & beverage outlets","Not as good as you get overseas"
3184728,106,"Maori activities experienced","Learnt about a new culture"
3184675,80,"Maori activities experienced","Well organised"
3184663,112,"Maori activities experienced","Good staff"
3184728,102,"Food & beverage outlets","Too expensive"
3184667,95,"Activities experienced","Another reason"
3184663,115,"NZ environment","Weather"
3184728,109,"Maori activities experienced","Good staff"
3184675,77,"Maori activities experienced","Learnt about a new culture"
3184734,85,"Maori activities experienced","Good staff"
3184683,108,"Accommodation","No free internet"
3184728,105,"Commercial transport","Another reason"
3184750,118,"Commercial transport","Inconvenient public transportation"
3184671,100,"Activities experienced","No reason"
3184671,103,"Customer service","Another reason"
3184734,86,"Customer service","No reason"
3184683,111,"Maori activities experienced","Good quality/standard"
3184730,112,"Customer service","No reason"
3184625,94,"Maori activities experienced","Informative"
3184728,108,"Maori activities experienced","Entertaining"
3184667,96,"Maori activities experienced","Entertaining"
3184730,111,"Maori activities experienced","Good quality/standard"
3184671,101,"Maori activities experienced","Learnt about a new culture"
3184734,84,"Maori activities experienced","Learnt about a new culture"
3184675,78,"Maori activities experienced","Entertaining"
3184675,79,"Maori activities experienced","Good quality/standard"
3184742,101,"Accommodation","No air-conditioning/heating inadequate"
3184746,84,"Maori activities experienced","Entertaining"
3184671,102,"Customer service","Staff didn't care"
3184750,119,"Maori activities experienced","Informative"
3184766,87,"Accommodation","No free internet"
3184766,86,"Accommodation","Poor/old facilities"
3184766,90,"Maori activities experienced","Good staff"
3184778,97,"Maori activities experienced","Learnt about a new culture"
3184746,83,"Maori activities experienced","Learnt about a new culture"
3184746,86,"Maori activities experienced","Good staff"
3184750,121,"Maori activities experienced","Did not live up to expectations"
3184766,89,"Maori activities experienced","Entertaining"
3184766,92,"Maori activities experienced","Well organised"
3184770,101,"Maori activities experienced","Well organised"
3184742,102,"Maori activities experienced","No reason"
3184683,112,"Maori activities experienced","Poor quality/standard"
3184746,85,"Maori activities experienced","Good quality/standard"
3184778,100,"Maori activities experienced","Well organised"
3184691,102,"NZ environment","Weather"
3184778,94,"Accommodation","No free internet"
3184770,99,"Commercial transport","Inconvenient public transportation"
3184774,98,"Commercial transport","No reason"
3184786,90,"Food & beverage outlets","Poor food quality"
3184786,93,"Maori activities experienced","Well organised"
3184778,96,"Commercial transport","Inconvenient public transportation"
3184683,114,"i-Sites","Too busy/long queues"
3184778,99,"Maori activities experienced","Entertaining"
3184691,100,"Maori activities experienced","Entertaining"
3184786,92,"Maori activities experienced","Learnt about a new culture"
3184786,91,"Food & beverage outlets","Alcohol too expensive"
3184691,103,"NZ environment","More effort to preserve natural environment requir"
3184750,120,"Maori activities experienced","Good quality/standard"
3184766,88,"Accommodation","No air-conditioning/heating inadequate"
3184766,91,"Maori activities experienced","Did not live up to expectations"
3184770,100,"Maori activities experienced","Good quality/standard"
3184774,99,"Maori activities experienced","Good staff"
3184778,95,"Commercial transport","Expensive"
3184683,115,"i-Sites","Shut too early/short opening hours"
3184683,113,"Customer service","Staff not friendly"
3184778,101,"Customer service","Staff not knowledgeable"
3184695,104,"Maori activities experienced","Good staff"
3184699,97,"Accommodation","Generally poor standard"
3184790,102,"Maori activities experienced","Learnt about a new culture"
3184683,110,"Activities experienced","Hard to find/need better signage"
3184699,100,"Food & beverage outlets","Supermarkets lack of variety"
3184790,105,"Maori activities experienced","Good quality/standard"
3184766,93,"Sense of safety","Poor road signage"
3184699,103,"Maori activities experienced","Well organised"
3184778,103,"Sense of safety","No reason"
3184794,101,"Accommodation","No air-conditioning/heating inadequate"
3184695,105,"Maori activities experienced","Well organised"
3184790,101,"Accommodation","Noisy"
3184790,104,"Maori activities experienced","Entertaining"
3184790,107,"i-Sites","Only had local information"
3184794,100,"Accommodation","Poor/old facilities"
3184699,101,"Activities experienced","Have to cancel the activity due to weather/road  c"
3184703,100,"Activities experienced","No reason"
3184778,102,"Customer service","Slow"
3184699,98,"Food & beverage outlets","Too expensive"
3184790,100,"Accommodation","Poor standard of cleanliness/dirty"
3184790,103,"Maori activities experienced","Informative"
3184802,88,"Activities experienced","Another reason"
3184778,98,"Maori activities experienced","Informative"
3184691,101,"Maori activities experienced","Good staff"
3184683,109,"Activities experienced","Too expensive"
3184695,103,"Maori activities experienced","Entertaining"
3184794,103,"Food & beverage outlets","No reason"
3184802,86,"Accommodation","Poor value for money"
3184802,89,"Maori activities experienced","Entertaining"
3184794,104,"Maori activities experienced","Learnt about a new culture"
3184802,90,"Maori activities experienced","Well organised"
3184806,108,"Maori activities experienced","Learnt about a new culture"
3184794,106,"Maori activities experienced","Well organised"
3184802,85,"Accommodation","No free internet"
3184806,107,"Activities experienced","Another reason"
3184699,99,"Food & beverage outlets","Not as good as you get overseas"
3184790,106,"Maori activities experienced","Well organised"
3184699,102,"Activities experienced","Not very exciting/boring"
3184703,102,"Maori activities experienced","Entertaining"
3184707,100,"Commercial transport","Expensive"
3184818,95,"Commercial transport","No reason"
3184703,101,"Maori activities experienced","Learnt about a new culture"
3184806,110,"Maori activities experienced","Entertaining"
3184703,104,"Maori activities experienced","Well organised"
3184818,98,"Maori activities experienced","Well organised"
3184830,96,"Food & beverage outlets","Poor service"
3184818,96,"Maori activities experienced","Learnt about a new culture"
3184806,111,"Maori activities experienced","Well organised"
3184703,103,"Maori activities experienced","Good quality/standard"
3184707,99,"Accommodation","Poor/old facilities"
3184610,94,"Maori activities experienced","Poor quality/standard"
3184822,114,"Food & beverage outlets","No reason"
3184822,115,"Maori activities experienced","Informative"
3184830,97,"Food & beverage outlets","Not as good as you get overseas"
3184802,87,"Activities experienced","Not very exciting/boring"
3184794,102,"Accommodation","Another reason"
3184794,105,"Maori activities experienced","Informative"
3184806,106,"Activities experienced","Too expensive"
3184703,105,"Customer service","Staff didn't care"
3184806,109,"Maori activities experienced","Informative"
3184818,94,"Food & beverage outlets","Limited choices"
3184834,106,"Food & beverage outlets","Limited choices"
3184834,109,"Maori activities experienced","Well organised"
3184850,84,"Accommodation","No free internet"
3184850,87,"Food & beverage outlets","Poor food quality"
3184850,90,"NZ environment","No reason"
3184858,95,"Food & beverage outlets","Supermarkets lack of variety"
3184818,97,"Maori activities experienced","Good quality/standard"
3184610,95,"Customer service","Staff not friendly"
3184830,98,"Food & beverage outlets","Poor food quality"
3184830,100,"Food & beverage outlets","Supermarkets lack of variety"
3184834,105,"Accommodation","Poor value for money"
3184850,83,"Accommodation","Poor/old facilities"
3184850,86,"Food & beverage outlets","Limited choices"
3184850,89,"Maori activities experienced","Well organised"
3184858,94,"Food & beverage outlets","Poor food quality"
3184830,99,"Food & beverage outlets","Alcohol too expensive"
3184830,102,"Maori activities experienced","Poor quality/standard"
3184614,86,"Food & beverage outlets","Limited choices"
3184834,108,"Maori activities experienced","Entertaining"
3184850,85,"Accommodation","Poor value for money"
3184858,98,"Maori activities experienced","Well organised"
3184866,87,"Maori activities experienced","Informative"
3184830,101,"Maori activities experienced","Learnt about a new culture"
3184614,85,"Food & beverage outlets","Too expensive"
3184834,104,"Accommodation","Too expensive"
3184834,107,"Maori activities experienced","Learnt about a new culture"
3184850,88,"Maori activities experienced","Good quality/standard"
3184834,110,"Customer service","No reason"
3184866,91,"Customer service","Another reason"
3184858,97,"Maori activities experienced","Good staff"
3184866,86,"Maori activities experienced","Learnt about a new culture"
3184866,90,"Maori activities experienced","Well organised"
3184874,95,"Maori activities experienced","Good quality/standard"
3184874,98,"Maori activities experienced","Well organised"
3184878,98,"Maori activities experienced","Good staff"
3184882,110,"Maori activities experienced","Good staff"
3184890,102,"Maori activities experienced","Well organised"
3184894,107,"Maori activities experienced","Learnt about a new culture"
3184918,90,"Maori activities experienced","Informative"
3184918,96,"NZ environment","Another reason"
3184878,97,"Maori activities experienced","Learnt about a new culture"
3184882,109,"Food & beverage outlets","Poor food quality"
3184890,98,"Food & beverage outlets","No reason"
3184890,101,"Maori activities experienced","Good staff"
3184890,104,"i-Sites","No reason"
3184918,92,"Maori activities experienced","Good quality/standard"
3184930,84,"Maori activities experienced","Good quality/standard"
3184930,87,"NZ environment","Another reason"
3184882,112,"Customer service","Staff not friendly"
3184934,93,"Accommodation","Poor/old facilities"
3184930,81,"Commercial transport","Expensive"
3184858,96,"Maori activities experienced","Learnt about a new culture"
3184866,88,"Maori activities experienced","Entertaining"
3184874,96,"Maori activities experienced","Good staff"
3184882,107,"Food & beverage outlets","Too expensive"
3184890,99,"Maori activities experienced","Learnt about a new culture"
3184894,108,"Maori activities experienced","Well organised"
3184918,91,"Maori activities experienced","Entertaining"
3184930,85,"Maori activities experienced","Well organised"
3184934,94,"Accommodation","No free internet"
3184934,97,"Maori activities experienced","Learnt about a new culture"
3184866,89,"Maori activities experienced","Poor quality/standard"
3184866,92,"i-Sites","No reason"
3184874,97,"Maori activities experienced","Did not live up to expectations"
3184882,108,"Food & beverage outlets","Limited choices"
3184882,111,"Maori activities experienced","Well organised"
3184890,100,"Maori activities experienced","Informative"
3184934,96,"Activities experienced","Too expensive"
3184938,95,"Customer service","Another reason"
3184918,93,"Sense of safety","Crime/graffiti"
3184629,126,"Maori activities experienced","Learnt about a new culture"
3184918,94,"Sense of safety","Another reason"
3184930,82,"Activities experienced","Another reason"
3184938,93,"Customer service","Staff didn't care"
3184918,95,"NZ environment","Weather"
3184930,83,"Maori activities experienced","Entertaining"
3184930,86,"NZ environment","Weather"
3184890,103,"Customer service","Staff not friendly"
3184934,99,"Maori activities experienced","Good quality/standard"
3184938,92,"Maori activities experienced","Entertaining"
3184629,127,"Maori activities experienced","Informative"
3184954,99,"Maori activities experienced","Learnt about a new culture"
3184954,102,"Maori activities experienced","Well organised"
3184958,108,"Maori activities experienced","Good quality/standard"
3184962,107,"Maori activities experienced","Good quality/standard"
3184966,103,"Food & beverage outlets","Not as good as you get overseas"
3184966,110,"Maori activities experienced","Good staff"
3184970,86,"Food & beverage outlets","Poor food quality"
3184954,103,"Customer service","Staff not friendly"
3184954,100,"Maori activities experienced","Entertaining"
3184958,107,"Maori activities experienced","Entertaining"
3184962,103,"Accommodation","Poor standard of cleanliness/dirty"
3184962,106,"Maori activities experienced","Entertaining"
3184966,102,"Food & beverage outlets","Limited choices"
3184966,109,"Maori activities experienced","Learnt about a new culture"
3184970,89,"Maori activities experienced","Well organised"
3184974,85,"Food & beverage outlets","No reason"
3184958,109,"Maori activities experienced","Good staff"
3184962,105,"Maori activities experienced","Learnt about a new culture"
3184966,101,"Food & beverage outlets","Too expensive"
3184966,104,"Food & beverage outlets","Poor food quality"
3184970,87,"Food & beverage outlets","Alcohol too expensive"
3184974,86,"Maori activities experienced","Learnt about a new culture"
3184894,109,"Customer service","No reason"
3184938,94,"Customer service","Slow"
3184934,98,"Maori activities experienced","Entertaining"
3184966,112,"Sense of safety","No reason"
3184982,112,"Customer service","Staff not friendly"
3184982,113,"Customer service","Slow"
3184982,116,"Sense of safety","No safety barriers"
3184970,90,"Customer service","No reason"
3184982,114,"Customer service","Another reason"
3184938,91,"Maori activities experienced","Learnt about a new culture"
3184954,104,"Sense of safety","No reason"
3184629,128,"Maori activities experienced","Good quality/standard"
3184954,101,"Maori activities experienced","Good staff"
3184970,88,"Maori activities experienced","Learnt about a new culture"
3184974,89,"Maori activities experienced","Well organised"
3184982,110,"Maori activities experienced","Good staff"
3184986,119,"Food & beverage outlets","Too expensive"
3184986,122,"Maori activities experienced","Entertaining"
3184982,107,"Maori activities experienced","Learnt about a new culture"
3184982,117,"NZ environment","Another reason"
3184986,123,"Maori activities experienced","Good staff"
3184990,96,"Maori activities experienced","Learnt about a new culture"
3184990,99,"i-Sites","Shut too early/short opening hours"
3184974,88,"Maori activities experienced","Good quality/standard"
3184982,109,"Maori activities experienced","Entertaining"
3184982,115,"i-Sites","No reason"
3184986,118,"Accommodation","No free internet"
3184986,121,"Maori activities experienced","Informative"
3184986,124,"Maori activities experienced","Well organised"
3184998,104,"Maori activities experienced","Learnt about a new culture"
3184966,108,"Activities experienced","Did not live up to expectations"
3184966,111,"Customer service","Staff not friendly"
3184970,91,"Sense of safety","Felt unsafe"
3184974,87,"Maori activities experienced","Entertaining"
3184982,108,"Maori activities experienced","Informative"
3184982,111,"Maori activities experienced","Did not live up to expectations"
3184986,120,"Food & beverage outlets","Poor food quality"
3184990,97,"Maori activities experienced","Well organised"
3184990,101,"Sense of safety","Another reason"
3184629,130,"Customer service","No reason"
3184998,107,"Customer service","Staff not friendly"
3185002,106,"Accommodation","Poor/old facilities"
3185002,109,"Accommodation","Another reason"
3185002,107,"Accommodation","No free internet"
3184629,129,"Maori activities experienced","Well organised"
3184966,107,"Commercial transport","Another reason"
3185002,110,"Commercial transport","Inconvenient public transportation"
3184990,100,"Sense of safety","Felt unsafe"
3184998,105,"Maori activities experienced","Good quality/standard"
3184990,98,"i-Sites","Only had local information"
3184998,106,"Maori activities experienced","Good staff"
3185002,108,"Accommodation","Noisy"
3184954,98,"Commercial transport","No reason"
3184966,106,"Commercial transport","Rental car/company did not meet expectations"
3184998,103,"Commercial transport","The transport was delayed"
3184637,100,"Customer service","Staff not friendly"
3184962,104,"Commercial transport","Inconvenient public transportation"
3184637,96,"Commercial transport","Poor customer service"
3184637,99,"Maori activities experienced","Good quality/standard"
3184645,94,"Maori activities experienced","Did not live up to expectations"
3185002,112,"Maori activities experienced","Learnt about a new culture"
3185006,108,"Accommodation","Another reason"
3185010,104,"Maori activities experienced","Well organised"
3185014,100,"Food & beverage outlets","Poor food quality"
3185018,93,"Food & beverage outlets","Alcohol too expensive"
3184645,95,"i-Sites","Poor customer service"
3185014,103,"Maori activities experienced","Good staff"
3185018,96,"Maori activities experienced","Did not live up to expectations"
3184629,132,"i-Sites","Another reason"
3184637,95,"Food & beverage outlets","Poor service"
3184637,98,"Maori activities experienced","Informative"
3184637,101,"i-Sites","Pushed certain activities"
3185002,113,"Maori activities experienced","Well organised"
3185006,109,"Maori activities experienced","Good quality/standard"
3185010,102,"Maori activities experienced","Informative"
3185018,97,"Maori activities experienced","Well organised"
3185022,109,"Maori activities experienced","Learnt about a new culture"
3184934,95,"Commercial transport","No reason"
3184966,105,"Commercial transport","Expensive"
3184629,131,"i-Sites","Only had local information"
3184637,94,"Food & beverage outlets","Too expensive"
3184637,97,"Maori activities experienced","Learnt about a new culture"
3184645,93,"Maori activities experienced","Good staff"
3185010,103,"Maori activities experienced","Good quality/standard"
3185014,102,"Maori activities experienced","Learnt about a new culture"
3185018,95,"Maori activities experienced","Entertaining"
3185030,88,"Activities experienced","Not very exciting/boring"
3185030,94,"Customer service","Staff not friendly"
3185022,112,"i-Sites","No reason"
3185030,91,"Maori activities experienced","Entertaining"
3185018,94,"Activities experienced","No reason"
3185030,92,"Maori activities experienced","Good quality/standard"
3185030,95,"NZ environment","No reason"
3185014,101,"Commercial transport","No reason"
3185038,99,"Accommodation","No reason"
3185022,111,"Maori activities experienced","Well organised"
3185030,90,"Maori activities experienced","Informative"
3185030,93,"Maori activities experienced","Well organised"
3185038,101,"Maori activities experienced","Entertaining"
3185042,104,"Food & beverage outlets","Too expensive"
3185042,110,"Maori activities experienced","Informative"
3185050,109,"Maori activities experienced","Informative"
3184645,98,"Sense of safety","Felt unsafe"
3185038,100,"Maori activities experienced","Learnt about a new culture"
3184645,97,"i-Sites","Another reason"
3185042,109,"Maori activities experienced","Learnt about a new culture"
3185042,112,"Maori activities experienced","Well organised"
3185050,110,"Maori activities experienced","Entertaining"
3185054,90,"Commercial transport","No reason"
3185038,102,"Maori activities experienced","Well organised"
3185042,105,"Food & beverage outlets","Poor service"
3185042,111,"Maori activities experienced","Good staff"
3185042,107,"Commercial transport","Expensive"
3185006,110,"Sense of safety","No reason"
3185022,110,"Maori activities experienced","Informative"
3185030,89,"Maori activities experienced","Learnt about a new culture"
3185002,111,"Commercial transport","Another reason"
3184649,105,"Commercial transport","No reason"
3184645,96,"i-Sites","Lack of knowledge on free attractions"
3185042,103,"Accommodation","No reason"
3185042,106,"Food & beverage outlets","Poor food quality"
3185042,113,"Maori activities experienced","Another indifferent or poor aspect"
3185050,112,"Sense of safety","Poor road signage"
3185054,92,"Customer service","Staff not friendly"
3184645,100,"Sense of safety","No safety barriers"
3185042,108,"Activities experienced","No reason"
3185054,93,"Customer service","Staff seemed rushed"
3185050,113,"NZ environment","No reason"
3185066,110,"Accommodation","Too expensive"
3185066,113,"Maori activities experienced","Good staff"
3185078,88,"Maori activities experienced","Entertaining"
3185086,112,"Food & beverage outlets","Poor food quality"
3185086,119,"Maori activities experienced","Well organised"
3185054,89,"Accommodation","Too expensive"
3185066,109,"Accommodation","Poor/old facilities"
3185066,112,"Maori activities experienced","Informative"
3185074,98,"Maori activities experienced","Well organised"
3185078,87,"Maori activities experienced","Informative"
3185086,115,"Maori activities experienced","Informative"
3185086,118,"Maori activities experienced","Good staff"
3185090,117,"Maori activities experienced","Learnt about a new culture"
3185074,96,"Maori activities experienced","Learnt about a new culture"
3185074,99,"Maori activities experienced","Another indifferent or poor aspect"
3185078,86,"Maori activities experienced","Learnt about a new culture"
3185086,116,"Maori activities experienced","Entertaining"
3185090,119,"Maori activities experienced","Entertaining"
3185066,114,"Sense of safety","Crime/graffiti"
3185086,113,"Activities experienced","No reason"
3185090,122,"Customer service","Staff not friendly"
3185090,118,"Maori activities experienced","Informative"
3185090,120,"Maori activities experienced","Good quality/standard"
3185098,96,"Customer service","No reason"
3185094,101,"Customer service","Another reason"
3185090,121,"Maori activities experienced","Well organised"
3185094,95,"Accommodation","Poor value for money"
3184645,99,"Sense of safety","Poor road signage"
3185050,111,"Maori activities experienced","Good staff"
3185054,91,"Maori activities experienced","No reason"
3185054,94,"i-Sites","No reason"
3185066,111,"Accommodation","Noisy"
3185074,97,"Maori activities experienced","Good staff"
3185094,98,"Maori activities experienced","Good quality/standard"
3185098,94,"Maori activities experienced","Entertaining"
3185086,114,"Maori activities experienced","Learnt about a new culture"
3185086,117,"Maori activities experienced","Good quality/standard"
3185074,100,"Sense of safety","Another reason"
3185094,96,"Food & beverage outlets","Poor food quality"
3185106,99,"Maori activities experienced","Good quality/standard"
3184614,87,"Food & beverage outlets","Alcohol too expensive"
3185114,104,"Maori activities experienced","Informative"
3185094,97,"Maori activities experienced","Learnt about a new culture"
3185094,100,"Maori activities experienced","Well organised"
3185098,93,"Maori activities experienced","Learnt about a new culture"
3185106,98,"Accommodation","No reason"
3185114,103,"Maori activities experienced","Learnt about a new culture"
3185114,106,"Maori activities experienced","Well organised"
3184614,90,"Maori activities experienced","Good staff"
3185134,96,"Maori activities experienced","Good staff"
3185094,99,"Maori activities experienced","Good staff"
3185094,102,"i-Sites","No reason"
3185098,95,"Maori activities experienced","Well organised"
3184614,88,"Maori activities experienced","Informative"
3185122,103,"Accommodation","Another reason"
3185122,106,"Maori activities experienced","Informative"
3184618,113,"Maori activities experienced","Learnt about a new culture"
3185134,94,"Food & beverage outlets","Alcohol too expensive"
3184614,91,"Customer service","Staff didn't care"
3185138,95,"Maori activities experienced","Learnt about a new culture"
3185138,98,"Maori activities experienced","Well organised"
3185158,120,"Sense of safety","Crime/graffiti"
3185138,97,"Maori activities experienced","Entertaining"
3185158,112,"Food & beverage outlets","Supermarkets lack of variety"
3185106,100,"Maori activities experienced","Good staff"
3185114,105,"Maori activities experienced","Entertaining"
3184614,89,"Maori activities experienced","Good quality/standard"
3185122,104,"Food & beverage outlets","Poor service"
3184618,111,"Accommodation","Too expensive"
3185122,107,"Maori activities experienced","Good quality/standard"
3185134,95,"Maori activities experienced","Learnt about a new culture"
3185158,114,"Maori activities experienced","Entertaining"
3185158,117,"Maori activities experienced","Poor quality/standard"
3185114,107,"NZ environment","Dull cities"
3185122,102,"Accommodation","Poor standard of cleanliness/dirty"
3185122,105,"Maori activities experienced","Learnt about a new culture"
3184618,112,"Accommodation","No air-conditioning/heating inadequate"
3185134,93,"Food & beverage outlets","Too expensive"
3185138,99,"Customer service","Slow"
3185138,96,"Maori activities experienced","Informative"
3185158,111,"Food & beverage outlets","Too expensive"
3185158,118,"i-Sites","Too busy/long queues"
3185162,87,"Maori activities experienced","Informative"
3184707,102,"Maori activities experienced","Entertaining"
3185170,118,"Maori activities experienced","Informative"
3185170,121,"Maori activities experienced","Good staff"
3185174,101,"Maori activities experienced","Learnt about a new culture"
