"SurveyResponseID","AnswerNumber","AmenityType","SatisfactionRatingReason"
3184649,114,"Customer service","Staff not knowledgeable"
3184661,81,"Maori activities experienced","Informative"
3184649,113,"Customer service","Staff didn't care"
3184665,93,"Maori activities experienced","Learnt about a new culture"
3184673,111,"Maori activities experienced","Informative"
3184727,105,"Maori activities experienced","Good staff"
3184715,111,"Maori activities experienced","Good quality/standard"
3184733,79,"Commercial transport","Inconvenient public transportation"
3184727,99,"Food & beverage outlets","Not as good as you get overseas"
3184727,106,"Maori activities experienced","Well organised"
3185687,99,"Accommodation","Poor/old facilities"
3185687,103,"Maori activities experienced","Entertaining"
3184665,96,"Maori activities experienced","Good staff"
3185691,105,"Food & beverage outlets","Poor service"
3184649,112,"Customer service","Staff not friendly"
3184745,114,"Food & beverage outlets","No reason"
3184753,110,"Maori activities experienced","Informative"
3184745,115,"Maori activities experienced","Informative"
3184745,118,"Maori activities experienced","Well organised"
3185691,108,"Maori activities experienced","Entertaining"
3184727,101,"Commercial transport","Poor customer service"
3184727,98,"Food & beverage outlets","Poor service"
3184727,104,"Maori activities experienced","Entertaining"
3184745,117,"Maori activities experienced","Poor quality/standard"
3184753,109,"Maori activities experienced","Learnt about a new culture"
3184753,112,"Maori activities experienced","Did not live up to expectations"
3184753,113,"NZ environment","Weather"
3184665,99,"i-Sites","Shut too early/short opening hours"
3185687,102,"Maori activities experienced","Learnt about a new culture"
3184673,114,"i-Sites","Too busy/long queues"
3185691,104,"Food & beverage outlets","Too expensive"
3184677,94,"Food & beverage outlets","Poor food quality"
3184715,112,"i-Sites","Too busy/long queues"
3184727,100,"Food & beverage outlets","Poor food quality"
3184727,103,"Maori activities experienced","Informative"
3184733,80,"Maori activities experienced","Good quality/standard"
3185675,109,"Sense of safety","Poor road signage"
3184673,112,"Customer service","Staff didn't care"
3184677,95,"Activities experienced","No reason"
3184727,102,"Activities experienced","Have to cancel the activity due to weather/road  c"
3184661,83,"Customer service","Staff didn't care"
3184673,113,"Customer service","Another reason"
3184673,116,"Sense of safety","No reason"
3184773,110,"Activities experienced","Poor service"
3184665,97,"Customer service","Staff not friendly"
3184765,87,"Customer service","Staff didn't care"
3184773,111,"Activities experienced","Another reason"
3184745,116,"Maori activities experienced","Good staff"
3184753,111,"Maori activities experienced","Good staff"
3184765,85,"Maori activities experienced","Good staff"
3184618,115,"Maori activities experienced","Good staff"
3184773,112,"Maori activities experienced","Learnt about a new culture"
3184773,109,"Commercial transport","No reason"
3184685,113,"Maori activities experienced","Learnt about a new culture"
3185699,108,"NZ environment","More effort to preserve natural environment requir"
3185719,104,"Accommodation","No air-conditioning/heating inadequate"
3184765,86,"Maori activities experienced","Did not live up to expectations"
3184618,114,"Maori activities experienced","Entertaining"
3185695,96,"Maori activities experienced","Entertaining"
3185699,102,"Food & beverage outlets","Poor food quality"
3185699,105,"Maori activities experienced","Entertaining"
3185719,105,"Maori activities experienced","Learnt about a new culture"
3185723,78,"Maori activities experienced","Learnt about a new culture"
3184649,115,"Sense of safety","Another reason"
3184765,83,"Maori activities experienced","Learnt about a new culture"
3184773,107,"Food & beverage outlets","Limited choices"
3185695,97,"Maori activities experienced","Well organised"
3185699,103,"Food & beverage outlets","Supermarkets lack of variety"
3185699,106,"Maori activities experienced","Good staff"
3185699,109,"NZ environment","Another reason"
3185719,102,"Accommodation","Too expensive"
3184765,84,"Maori activities experienced","Good quality/standard"
3185691,109,"Customer service","Staff not friendly"
3185723,79,"Maori activities experienced","Informative"
3185731,100,"Maori activities experienced","Informative"
3184618,116,"Customer service","No reason"
3185691,111,"Customer service","Slow"
3184677,97,"Customer service","Staff didn't care"
3185731,103,"Customer service","No reason"
3185759,101,"Activities experienced","Too expensive"
3184773,108,"Food & beverage outlets","Poor food quality"
3185695,95,"Maori activities experienced","Informative"
3185759,106,"Maori activities experienced","Well organised"
3185767,85,"Maori activities experienced","Learnt about a new culture"
3185755,95,"Food & beverage outlets","Poor food quality"
3185759,104,"Maori activities experienced","Informative"
3184677,98,"NZ environment","Another reason"
3185699,104,"Maori activities experienced","Learnt about a new culture"
3185699,107,"Maori activities experienced","Well organised"
3185719,103,"Accommodation","No free internet"
3185719,106,"Maori activities experienced","Good quality/standard"
3185723,80,"Maori activities experienced","Good quality/standard"
3185731,101,"Maori activities experienced","Entertaining"
3185775,96,"Maori activities experienced","Informative"
3185791,103,"Maori activities experienced","Informative"
3185791,106,"i-Sites","Another reason"
3185795,105,"Accommodation","No free internet"
3185775,98,"Maori activities experienced","Poor quality/standard"
3185795,104,"Accommodation","Too expensive"
3185759,105,"Maori activities experienced","Entertaining"
3185767,87,"Maori activities experienced","Well organised"
3185775,99,"Maori activities experienced","Well organised"
3185759,102,"Activities experienced","Did not live up to expectations"
3185755,96,"Commercial transport","Expensive"
3185767,84,"Commercial transport","No reason"
3185791,102,"Commercial transport","No reason"
3185755,97,"Commercial transport","Poor customer service"
3185731,99,"Maori activities experienced","Learnt about a new culture"
3185691,110,"Customer service","Staff seemed rushed"
3185723,81,"Customer service","Another reason"
3185731,102,"Maori activities experienced","Well organised"
3185755,98,"Maori activities experienced","No reason"
3185759,103,"Maori activities experienced","Learnt about a new culture"
3185767,86,"Maori activities experienced","Informative"
3185775,97,"Maori activities experienced","Entertaining"
3185775,95,"Activities experienced","Another reason"
3185795,110,"Activities experienced","No reason"
3185795,113,"Customer service","Staff not friendly"
3185791,105,"i-Sites","Too busy/long queues"
3185795,108,"Food & beverage outlets","Poor food quality"
3185795,111,"Maori activities experienced","Good quality/standard"
3185795,114,"i-Sites","No reason"
3185799,91,"Maori activities experienced","Informative"
3185803,100,"Food & beverage outlets","Limited choices"
3185795,112,"Maori activities experienced","Good staff"
3185799,92,"Maori activities experienced","Entertaining"
3185823,100,"Maori activities experienced","Entertaining"
3185823,103,"i-Sites","Another reason"
3185827,109,"Food & beverage outlets","No reason"
3185827,112,"Maori activities experienced","Entertaining"
3185795,107,"Food & beverage outlets","Too expensive"
3185799,90,"Maori activities experienced","Learnt about a new culture"
3185819,112,"Accommodation","No free internet"
3185827,110,"Commercial transport","Expensive"
3185775,94,"Activities experienced","Not very exciting/boring"
3185819,113,"Accommodation","Another reason"
3185791,104,"Customer service","Slow"
3185795,106,"Accommodation","Another reason"
3185823,99,"Maori activities experienced","Learnt about a new culture"
3185840,124,"Maori activities experienced","Learnt about a new culture"
3184622,104,"Maori activities experienced","Learnt about a new culture"
3185840,127,"Maori activities experienced","Good staff"
3185844,101,"Maori activities experienced","Learnt about a new culture"
3185844,104,"Customer service","No reason"
3185844,99,"Food & beverage outlets","Poor food quality"
3185844,102,"Maori activities experienced","Entertaining"
3185795,109,"Food & beverage outlets","Alcohol too expensive"
3185803,101,"Maori activities experienced","Entertaining"
3185819,114,"Maori activities experienced","Informative"
3185823,101,"Maori activities experienced","Good staff"
3185827,113,"Maori activities experienced","Good staff"
3185840,123,"Accommodation","Another reason"
3185840,126,"Maori activities experienced","Entertaining"
3185848,113,"Maori activities experienced","Good staff"
3185848,116,"i-Sites","Too busy/long queues"
3185860,88,"Maori activities experienced","Informative"
3185868,99,"Activities experienced","No reason"
3185848,111,"Food & beverage outlets","Poor food quality"
3185848,114,"Maori activities experienced","Well organised"
3185868,101,"Maori activities experienced","Entertaining"
3185844,97,"Accommodation","Poor/old facilities"
3185844,103,"Maori activities experienced","Good staff"
3185848,112,"Maori activities experienced","Learnt about a new culture"
3185860,87,"Maori activities experienced","Learnt about a new culture"
3185860,90,"Maori activities experienced","Well organised"
3185868,102,"Maori activities experienced","Good quality/standard"
3185860,86,"Commercial transport","Inconvenient public transportation"
3185848,115,"Customer service","Slow"
3185872,88,"Activities experienced","No reason"
3185844,100,"Commercial transport","Inconvenient public transportation"
3185827,111,"Maori activities experienced","Learnt about a new culture"
3185827,114,"Maori activities experienced","Well organised"
3185823,102,"Customer service","No reason"
3185840,128,"Customer service","Staff seemed rushed"
3185840,125,"Maori activities experienced","Informative"
3185872,89,"Maori activities experienced","Learnt about a new culture"
3185880,100,"Maori activities experienced","Learnt about a new culture"
3185880,103,"i-Sites","Hard to find"
3185884,93,"Maori activities experienced","Learnt about a new culture"
3185884,96,"Maori activities experienced","Well organised"
3185880,102,"Maori activities experienced","Good staff"
3185872,91,"Maori activities experienced","Well organised"
3185880,99,"Accommodation","No air-conditioning/heating inadequate"
3185884,95,"Maori activities experienced","Good quality/standard"
3185884,92,"Activities experienced","No reason"
3185844,98,"Food & beverage outlets","Poor service"
3185860,89,"Maori activities experienced","Entertaining"
3185868,100,"Maori activities experienced","Learnt about a new culture"
3185868,103,"Maori activities experienced","Poor quality/standard"
3185872,90,"Maori activities experienced","Entertaining"
3185924,114,"Accommodation","Poor/old facilities"
3185880,98,"Accommodation","Poor/old facilities"
3185880,101,"Maori activities experienced","Informative"
3185884,94,"Maori activities experienced","Entertaining"
3185908,105,"Accommodation","No reason"
3185920,106,"Food & beverage outlets","Too expensive"
3185920,109,"Maori activities experienced","Good quality/standard"
3185884,97,"Customer service","No reason"
3185928,98,"Activities experienced","Too expensive"
3185928,101,"Activities experienced","Another reason"
3185924,115,"Accommodation","Generally poor standard"
3185924,118,"Maori activities experienced","Informative"
3185928,105,"Maori activities experienced","Poor quality/standard"
3185932,107,"Maori activities experienced","Informative"
3185908,106,"Maori activities experienced","Informative"
3185920,107,"Maori activities experienced","Learnt about a new culture"
3185920,110,"Maori activities experienced","Poor quality/standard"
3185928,99,"Activities experienced","Have to cancel the activity due to weather/road  c"
3185924,119,"Maori activities experienced","Entertaining"
3185924,121,"Maori activities experienced","Another indifferent or poor aspect"
3185924,124,"NZ environment","Dull cities"
3185928,104,"Maori activities experienced","Good staff"
3185952,99,"Commercial transport","No reason"
3185928,107,"Sense of safety","No reason"
3185952,102,"Sense of safety","Another reason"
3185924,122,"i-Sites","Poor customer service"
3185928,102,"Maori activities experienced","Learnt about a new culture"
3185932,108,"Maori activities experienced","Entertaining"
3185924,116,"Commercial transport","Inconvenient public transportation"
3185932,111,"Sense of safety","Poor road signage"
3185908,107,"Maori activities experienced","Entertaining"
3185920,108,"Maori activities experienced","Entertaining"
3185920,111,"Sense of safety","No safety barriers"
3185928,100,"Activities experienced","Hard to find/need better signage"
3185932,110,"Maori activities experienced","Well organised"
3185940,96,"Maori activities experienced","Informative"
3185952,100,"Maori activities experienced","Learnt about a new culture"
3185956,115,"Maori activities experienced","Entertaining"
3185992,118,"Maori activities experienced","Learnt about a new culture"
3185940,97,"Maori activities experienced","Entertaining"
3185952,101,"Maori activities experienced","Good staff"
3185956,116,"Maori activities experienced","Good staff"
3185984,98,"Food & beverage outlets","No reason"
3185940,95,"Maori activities experienced","Learnt about a new culture"
3185940,98,"Maori activities experienced","Well organised"
3185984,103,"Maori activities experienced","Entertaining"
3185956,118,"Sense of safety","No reason"
3186000,96,"Activities experienced","Another reason"
3185984,101,"Maori activities experienced","Learnt about a new culture"
3185984,104,"Maori activities experienced","Good quality/standard"
3185992,119,"Maori activities experienced","Entertaining"
3185980,89,"Activities experienced","No reason"
3186000,95,"Activities experienced","Not very exciting/boring"
3186000,98,"Sense of safety","No reason"
3185924,117,"Maori activities experienced","Learnt about a new culture"
3185924,120,"Maori activities experienced","Well organised"
3185924,123,"i-Sites","Too busy/long queues"
3186000,94,"Accommodation","No reason"
3186000,97,"Maori activities experienced","Learnt about a new culture"
3186004,104,"Food & beverage outlets","Too expensive"
3186004,107,"Maori activities experienced","Informative"
3186019,93,"Food & beverage outlets","Too expensive"
3185928,103,"Maori activities experienced","Informative"
3185928,106,"Maori activities experienced","Well organised"
3185932,109,"Maori activities experienced","Good staff"
3185956,114,"Maori activities experienced","Learnt about a new culture"
3186004,105,"Food & beverage outlets","Alcohol too expensive"
3186019,94,"Food & beverage outlets","Supermarkets lack of variety"
3186019,100,"Sense of safety","No safety barriers"
3186019,97,"Maori activities experienced","Entertaining"
3186024,99,"Maori activities experienced","Informative"
3186024,102,"Maori activities experienced","Well organised"
3186028,92,"Maori activities experienced","Entertaining"
3186032,101,"Food & beverage outlets","Not as good as you get overseas"
3186019,99,"Customer service","Staff not knowledgeable"
3186024,103,"Customer service","Staff not knowledgeable"
3186019,96,"Maori activities experienced","Informative"
3186024,98,"Maori activities experienced","Learnt about a new culture"
3186024,105,"NZ environment","No reason"
3186028,91,"Maori activities experienced","Learnt about a new culture"
3186028,94,"Maori activities experienced","Well organised"
3186032,100,"Accommodation","Poor standard of cleanliness/dirty"
3186024,100,"Maori activities experienced","Entertaining"
3186028,93,"Maori activities experienced","Good staff"
3185956,117,"i-Sites","Lack of knowledge on free attractions"
3185980,90,"Maori activities experienced","Learnt about a new culture"
3185984,102,"Maori activities experienced","Informative"
3185992,120,"NZ environment","Another reason"
3186004,108,"Maori activities experienced","Well organised"
3186024,104,"Sense of safety","Crime/graffiti"
3186019,95,"Maori activities experienced","Learnt about a new culture"
3186028,95,"Customer service","Staff seemed rushed"
3186036,81,"Maori activities experienced","Learnt about a new culture"
3186048,101,"Maori activities experienced","Entertaining"
3186056,112,"Maori activities experienced","Learnt about a new culture"
3186028,96,"Customer service","Staff didn't care"
3186040,90,"Maori activities experienced","Good quality/standard"
3186048,98,"Food & beverage outlets","Poor food quality"
3186048,102,"Maori activities experienced","Good quality/standard"
3186052,107,"Maori activities experienced","Good staff"
3186032,103,"Maori activities experienced","Good quality/standard"
3186036,80,"Food & beverage outlets","Too expensive"
3186040,89,"Maori activities experienced","Entertaining"
3186048,97,"Food & beverage outlets","Poor service"
3186048,100,"Maori activities experienced","Learnt about a new culture"
3186052,106,"Maori activities experienced","Entertaining"
3186056,110,"Food & beverage outlets","Not as good as you get overseas"
3186072,97,"Maori activities experienced","Entertaining"
3186019,98,"Maori activities experienced","Good staff"
3186024,101,"Maori activities experienced","Good staff"
3186028,90,"Activities experienced","Another reason"
3186032,102,"Maori activities experienced","Learnt about a new culture"
3186036,82,"Maori activities experienced","Good quality/standard"
3186040,88,"Maori activities experienced","Informative"
3186052,105,"Maori activities experienced","Informative"
3186056,111,"Activities experienced","Another reason"
3186056,115,"Sense of safety","No reason"
3186076,99,"Food & beverage outlets","Too expensive"
3186076,102,"Maori activities experienced","Did not live up to expectations"
3186056,113,"Customer service","Staff not knowledgeable"
3186052,104,"Commercial transport","Expensive"
3185984,100,"Commercial transport","Inconvenient public transportation"
3186004,106,"Commercial transport","Expensive"
3186080,95,"Maori activities experienced","Learnt about a new culture"
3186052,108,"NZ environment","Another reason"
3186076,98,"Accommodation","Poor/old facilities"
3186076,101,"Food & beverage outlets","Poor food quality"
3186080,94,"Food & beverage outlets","Supermarkets lack of variety"
3184685,115,"NZ environment","More effort to preserve natural environment requir"
3186080,98,"Sense of safety","No reason"
3186048,99,"Activities experienced","Another reason"
3186056,114,"Customer service","Slow"
3186072,98,"Maori activities experienced","Good staff"
3186076,100,"Food & beverage outlets","Not as good as you get overseas"
3186080,93,"Food & beverage outlets","Poor food quality"
3184685,114,"Maori activities experienced","Informative"
3185984,99,"Commercial transport","Rental car/company did not meet expectations"
3186080,97,"Maori activities experienced","Well organised"
3184685,116,"NZ environment","Another reason"
3184693,111,"Maori activities experienced","Entertaining"
3186084,91,"Maori activities experienced","Learnt about a new culture"
3186084,94,"NZ environment","Another reason"
3186088,116,"Maori activities experienced","Entertaining"
3186092,99,"Maori activities experienced","Good quality/standard"
3186096,114,"Accommodation","No reason"
3186096,117,"Maori activities experienced","Learnt about a new culture"
3186116,94,"Maori activities experienced","Good quality/standard"
3186080,96,"Maori activities experienced","Good quality/standard"
3186084,90,"Accommodation","Poor standard of cleanliness/dirty"
3186084,93,"Maori activities experienced","Well organised"
3186088,115,"Maori activities experienced","Learnt about a new culture"
3186092,98,"Maori activities experienced","Learnt about a new culture"
3186096,120,"Maori activities experienced","Well organised"
3186104,99,"Maori activities experienced","No reason"
3186116,93,"Maori activities experienced","Learnt about a new culture"
3186128,104,"Food & beverage outlets","Poor service"
3186092,95,"Activities experienced","Poor service"
3184693,110,"Maori activities experienced","Learnt about a new culture"
3186096,115,"Food & beverage outlets","No reason"
3186096,118,"Maori activities experienced","Informative"
3186092,96,"Activities experienced","Have to cancel the activity due to weather/road  c"
3186128,108,"Maori activities experienced","Good staff"
3186168,110,"Food & beverage outlets","Not as good as you get overseas"
3186168,113,"Maori activities experienced","Entertaining"
3184693,109,"Food & beverage outlets","Too expensive"
3184693,112,"Maori activities experienced","Well organised"
3186128,107,"Maori activities experienced","Informative"
3186168,109,"Food & beverage outlets","Too expensive"
3186168,112,"Maori activities experienced","Learnt about a new culture"
3186176,101,"Accommodation","Poor standard of cleanliness/dirty"
3186176,104,"Maori activities experienced","Informative"
3186180,97,"Maori activities experienced","Learnt about a new culture"
3186180,100,"Maori activities experienced","Well organised"
3186326,85,"Maori activities experienced","Informative"
3186128,109,"Maori activities experienced","Well organised"
3186136,94,"Maori activities experienced","Good staff"
3186168,111,"Food & beverage outlets","Supermarkets lack of variety"
3186168,114,"Maori activities experienced","Good staff"
3186176,103,"Maori activities experienced","Learnt about a new culture"
3186176,106,"Maori activities experienced","Good staff"
3186180,99,"Maori activities experienced","Entertaining"
3186084,92,"Maori activities experienced","Good quality/standard"
3186088,114,"Food & beverage outlets","Poor food quality"
3186363,128,"Maori activities experienced","Not very exciting/boring"
3186371,110,"Maori activities experienced","Good quality/standard"
3186088,117,"NZ environment","No reason"
3186096,119,"Maori activities experienced","Entertaining"
3186128,103,"Food & beverage outlets","Too expensive"
3186092,97,"Activities experienced","Another reason"
3186172,104,"Maori activities experienced","Entertaining"
3186176,107,"i-Sites","No reason"
3186326,84,"Food & beverage outlets","No reason"
3186363,129,"Maori activities experienced","Well organised"
3186371,108,"Maori activities experienced","Informative"
3186454,83,"Food & beverage outlets","Limited choices"
3184773,115,"Maori activities experienced","Well organised"
3186248,94,"Customer service","Staff not friendly"
3186310,82,"Customer service","Staff not knowledgeable"
3186180,102,"i-Sites","Shut too early/short opening hours"
3184773,114,"Maori activities experienced","Good quality/standard"
3186363,126,"Activities experienced","Too expensive"
3186116,92,"Commercial transport","No reason"
3186371,111,"Maori activities experienced","Good staff"
3184773,113,"Maori activities experienced","Entertaining"
3184773,116,"i-Sites","No reason"
3184789,100,"Food & beverage outlets","Limited choices"
3186092,100,"Customer service","Another reason"
3184789,101,"Food & beverage outlets","Poor food quality"
3186096,116,"Commercial transport","No reason"
3186128,106,"Commercial transport","Another reason"
3186514,80,"Activities experienced","No reason"
3186176,102,"Accommodation","No free internet"
3186176,105,"Maori activities experienced","Good quality/standard"
3186180,98,"Maori activities experienced","Informative"
3186180,101,"i-Sites","Pushed certain activities"
3186326,86,"Maori activities experienced","Not very exciting/boring"
3184789,103,"Maori activities experienced","Good staff"
3184793,108,"Food & beverage outlets","Supermarkets lack of variety"
3184697,98,"Maori activities experienced","Learnt about a new culture"
3186542,82,"Maori activities experienced","Entertaining"
3186639,91,"Accommodation","No free internet"
3186707,81,"NZ environment","Dull cities"
3186651,79,"Activities experienced","Did not live up to expectations"
3184789,104,"Maori activities experienced","Did not live up to expectations"
3184793,107,"Food & beverage outlets","Poor food quality"
3186631,81,"Food & beverage outlets","Poor food quality"
3186687,83,"NZ environment","Another reason"
3184793,106,"Food & beverage outlets","Poor service"
3184697,99,"Maori activities experienced","Entertaining"
3186542,81,"Maori activities experienced","Learnt about a new culture"
3186631,80,"Food & beverage outlets","Limited choices"
3186639,92,"Activities experienced","Not very exciting/boring"
3184793,110,"Maori activities experienced","Well organised"
3186651,80,"Customer service","Staff not friendly"
3186363,127,"Maori activities experienced","Learnt about a new culture"
3186371,109,"Maori activities experienced","Entertaining"
3186454,84,"i-Sites","Not sure"
3184789,99,"Food & beverage outlets","Too expensive"
3186128,105,"Commercial transport","Expensive"
3184789,102,"Maori activities experienced","Entertaining"
3186639,90,"Accommodation","Poor/old facilities"
3186651,82,"Customer service","Staff didn't care"
3186707,78,"Activities experienced","Too expensive"
3186723,78,"Customer service","Not sure"
3186755,101,"Sense of safety","Another reason"
3184809,91,"Maori activities experienced","Learnt about a new culture"
3184809,94,"Maori activities experienced","Well organised"
3184813,106,"Maori activities experienced","Good quality/standard"
3186755,99,"Accommodation","No free internet"
3186707,79,"Activities experienced","Not very exciting/boring"
3186775,121,"Activities experienced","Poor service"
3184813,109,"Customer service","Another reason"
3184809,93,"Maori activities experienced","Good quality/standard"
3184813,105,"Maori activities experienced","Learnt about a new culture"
3184813,108,"Maori activities experienced","Well organised"
3184817,97,"Maori activities experienced","Informative"
3186845,80,"Customer service","Staff didn't care"
3184817,96,"Maori activities experienced","Learnt about a new culture"
3186849,94,"Customer service","Staff didn't care"
3184821,114,"Customer service","Staff not friendly"
3186755,98,"Accommodation","Poor standard of cleanliness/dirty"
3186775,120,"Food & beverage outlets","Too expensive"
3186687,82,"Customer service","No reason"
3184817,95,"Accommodation","Noisy"
3184817,98,"Maori activities experienced","Entertaining"
3186845,81,"Customer service","Staff not knowledgeable"
3186707,80,"NZ environment","Weather"
3186631,82,"Activities experienced","Too expensive"
3184793,111,"i-Sites","Too busy/long queues"
3184809,92,"Maori activities experienced","Entertaining"
3184813,107,"Maori activities experienced","Good staff"
3186755,97,"Accommodation","Poor/old facilities"
3186755,100,"Accommodation","Poor value for money"
3186651,81,"Customer service","Staff seemed rushed"
3186845,79,"Activities experienced","Poor service"
3184821,109,"Accommodation","Too expensive"
3186865,89,"Food & beverage outlets","Poor food quality"
3184817,99,"i-Sites","Poor customer service"
3184821,108,"Accommodation","Poor/old facilities"
3184821,111,"Maori activities experienced","Learnt about a new culture"
3186256,78,"Commercial transport","No reason"
3184821,110,"Accommodation","Noisy"
3184821,113,"Maori activities experienced","Another indifferent or poor aspect"
3184833,114,"Food & beverage outlets","Too expensive"
3186180,96,"Commercial transport","No reason"
3186310,81,"Commercial transport","No reason"
3184697,101,"NZ environment","No reason"
3184713,117,"Accommodation","No free internet"
3186865,99,"NZ environment","Dull cities"
3186865,92,"Activities experienced","Have to cancel the activity due to weather/road  c"
3184833,115,"Food & beverage outlets","Poor service"
3184713,116,"Accommodation","Too expensive"
3184713,119,"Maori activities experienced","Well organised"
3186865,94,"Maori activities experienced","Learnt about a new culture"
3186869,90,"Food & beverage outlets","Poor food quality"
3186869,93,"Maori activities experienced","Informative"
3186865,91,"Activities experienced","Too expensive"
3186865,97,"Customer service","No reason"
3184833,118,"Commercial transport","Inconvenient public transportation"
3184833,117,"Commercial transport","Expensive"
3184793,109,"Commercial transport","Poor customer service"
3184809,90,"Commercial transport","No reason"
3186849,93,"Commercial transport","Expensive"
3184713,118,"Maori activities experienced","Informative"
3186865,96,"Maori activities experienced","Well organised"
3186869,92,"Maori activities experienced","Learnt about a new culture"
3186865,93,"Activities experienced","Did not live up to expectations"
3186865,90,"Commercial transport","No reason"
3184817,100,"i-Sites","Shut too early/short opening hours"
3184821,112,"Maori activities experienced","Good staff"
3186172,103,"Commercial transport","Inconvenient public transportation"
3186514,79,"Commercial transport","No reason"
3184833,116,"Food & beverage outlets","Poor food quality"
3184697,100,"Maori activities experienced","Good quality/standard"
3184713,120,"NZ environment","Dull cities"
3186865,95,"Maori activities experienced","Good quality/standard"
3186865,98,"i-Sites","No reason"
3186869,91,"Food & beverage outlets","Supermarkets lack of variety"
3186869,95,"Maori activities experienced","Well organised"
3186877,100,"Maori activities experienced","Learnt about a new culture"
3186885,108,"Food & beverage outlets","Not as good as you get overseas"
3186885,111,"Maori activities experienced","Informative"
3186889,117,"Food & beverage outlets","Limited choices"
3186889,120,"Maori activities experienced","Another indifferent or poor aspect"
3186893,93,"Maori activities experienced","Learnt about a new culture"
3186905,107,"Food & beverage outlets","Limited choices"
3186885,114,"Customer service","Staff not friendly"
3186905,110,"Activities experienced","No reason"
3186877,101,"Maori activities experienced","Informative"
3186885,109,"Food & beverage outlets","Poor food quality"
3186889,118,"Maori activities experienced","Entertaining"
3186893,95,"Maori activities experienced","Well organised"
3186897,120,"Maori activities experienced","Learnt about a new culture"
3186897,123,"Maori activities experienced","Good staff"
3186905,109,"Food & beverage outlets","Poor food quality"
3186905,112,"Maori activities experienced","Good staff"
3186897,117,"Commercial transport","Expensive"
3186897,118,"Commercial transport","Poor customer service"
3186885,112,"Maori activities experienced","Entertaining"
3186893,94,"Maori activities experienced","Entertaining"
3186897,122,"Maori activities experienced","Good quality/standard"
3186905,108,"Food & beverage outlets","Not as good as you get overseas"
3186905,111,"Maori activities experienced","Learnt about a new culture"
3186885,115,"Customer service","Staff didn't care"
3186897,119,"Commercial transport","Inconvenient public transportation"
3186869,94,"Maori activities experienced","Good staff"
3186877,99,"Food & beverage outlets","No reason"
3186905,115,"Maori activities experienced","Well organised"
3186909,105,"Food & beverage outlets","Poor food quality"
3186909,108,"Maori activities experienced","Learnt about a new culture"
3186905,114,"Maori activities experienced","Poor quality/standard"
3186909,104,"Food & beverage outlets","Too expensive"
3186909,110,"Maori activities experienced","Did not live up to expectations"
3186877,102,"Maori activities experienced","Good staff"
3186885,110,"Maori activities experienced","Learnt about a new culture"
3186885,113,"Maori activities experienced","Good staff"
3186921,104,"Food & beverage outlets","Not as good as you get overseas"
3186921,107,"Maori activities experienced","Good staff"
3186905,117,"Sense of safety","Felt unsafe"
3186889,119,"Maori activities experienced","Well organised"
3186897,121,"Maori activities experienced","Informative"
3186897,124,"Maori activities experienced","Well organised"
3186905,113,"Maori activities experienced","Did not live up to expectations"
3186909,109,"Maori activities experienced","Entertaining"
3184833,119,"Maori activities experienced","Learnt about a new culture"
3186921,103,"Food & beverage outlets","Too expensive"
3186905,116,"Customer service","Slow"
3186921,106,"Maori activities experienced","Entertaining"
3184833,120,"Maori activities experienced","Entertaining"
3186925,94,"Maori activities experienced","Did not live up to expectations"
3186941,87,"Maori activities experienced","Informative"
3186945,106,"Maori activities experienced","Did not live up to expectations"
3186909,106,"Activities experienced","Too expensive"
3186925,90,"Maori activities experienced","Learnt about a new culture"
3186925,93,"Maori activities experienced","Good staff"
3184833,122,"NZ environment","Another reason"
3186937,107,"Maori activities experienced","Good quality/standard"
3186945,105,"Maori activities experienced","Entertaining"
3186905,119,"Sense of safety","No safety barriers"
3186905,118,"Sense of safety","Poor road signage"
3186921,109,"i-Sites","Pushed certain activities"
3186925,92,"Maori activities experienced","Entertaining"
3186925,95,"Maori activities experienced","Poor quality/standard"
3186937,106,"Maori activities experienced","Learnt about a new culture"
3186937,109,"i-Sites","Hard to find"
3186941,86,"Maori activities experienced","Learnt about a new culture"
3186941,89,"NZ environment","No reason"
3186945,104,"Maori activities experienced","Informative"
3186961,85,"Commercial transport","Poor customer service"
3186953,106,"Food & beverage outlets","Supermarkets lack of variety"
3186953,107,"Maori activities experienced","Learnt about a new culture"
3186973,107,"Commercial transport","Inconvenient public transportation"
3186921,102,"Accommodation","Generally poor standard"
3186921,105,"Maori activities experienced","Learnt about a new culture"
3186921,108,"i-Sites","Too busy/long queues"
3186925,91,"Maori activities experienced","Informative"
3184833,121,"i-Sites","No reason"
3186937,108,"Maori activities experienced","Well organised"
3186941,88,"Maori activities experienced","Well organised"
3186961,84,"Commercial transport","Expensive"
3186945,107,"Maori activities experienced","Another indifferent or poor aspect"
3186937,104,"Activities experienced","Too expensive"
3186945,103,"Activities experienced","Did not live up to expectations"
3186909,111,"Customer service","Slow"
3186921,110,"Sense of safety","No reason"
3186953,110,"Sense of safety","Another reason"
3186961,89,"Sense of safety","No reason"
3186961,83,"Food & beverage outlets","No reason"
3186961,86,"Maori activities experienced","Entertaining"
3186973,106,"Food & beverage outlets","Poor food quality"
3186973,109,"Maori activities experienced","Informative"
3186985,110,"Food & beverage outlets","Supermarkets lack of variety"
3186961,87,"Maori activities experienced","Good staff"
3186973,110,"Maori activities experienced","Entertaining"
3186985,108,"Food & beverage outlets","Poor food quality"
