"SurveyResponseID","AnswerNumber","HobbitExpType"
3185971,128,"I wanted to visit Hobbiton"
3186028,107,"The scenery"
3186028,108,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3186062,134,"Wanted to see if the scenery was like it was in the film"
3186062,135,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186062,136,"Wanted to see where the film was made"
3186084,107,"The scenery"
3186084,108,"Wanted to see if the scenery was like it was in the film"
3186084,109,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186084,110,"Wanted to see where the film was made"
3186097,107,"The scenery"
3186097,108,"Wanted to see if the scenery was like it was in the film"
3186097,109,"Wanted to see where the film was made"
3186097,110,"I wanted to visit Hobbiton"
3186105,96,"The scenery"
3186105,97,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186127,112,"The scenery"
3186127,113,"Wanted to see if the scenery was like it was in the film"
3186127,114,"I wanted to visit Hobbiton"
3186146,130,"The scenery"
3186146,131,"Wanted to see if the scenery was like it was in the film"
3186146,132,"Something else"
3186215,105,"The scenery"
3186215,106,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186215,107,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3186233,101,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186233,102,"I wanted to visit Hobbiton"
3186251,133,"The scenery"
3186251,134,"Wanted to see where the film was made"
3186251,135,"I wanted to visit Hobbiton"
3186251,136,"Something else"
3186268,99,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186268,100,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3186319,118,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186319,119,"Wanted to see where the film was made"
3186319,120,"I wanted to visit Hobbiton"
3186319,121,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3186414,146,"The scenery"
3186414,147,"Wanted to see if the scenery was like it was in the film"
3186414,148,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186414,149,"I wanted to visit Hobbiton"
3186414,150,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3186511,123,"Wanted to see if the scenery was like it was in the film"
3186511,124,"Wanted to see where the film was made"
3186511,125,"I wanted to visit Hobbiton"
3186517,122,"The scenery"
3186517,123,"I wanted to visit Hobbiton"
3186596,96,"The scenery"
3186596,97,"Wanted to see if the scenery was like it was in the film"
3186596,98,"Wanted to see where the film was made"
3186598,98,"The scenery"
3186604,88,"The scenery"
3186607,112,"The scenery"
3186607,113,"Wanted to see if the scenery was like it was in the film"
3186607,114,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186607,115,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3186639,104,"The scenery"
3186656,145,"The scenery"
3186656,146,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186656,147,"Wanted to see where the film was made"
3186656,148,"I wanted to visit Hobbiton"
3186662,91,"The scenery"
3186668,132,"The scenery"
3186668,133,"Wanted to see if the scenery was like it was in the film"
3186723,92,"The scenery"
3186723,93,"Wanted to see where the film was made"
3186863,126,"The scenery"
3186863,127,"Wanted to see if the scenery was like it was in the film"
3186863,128,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186865,110,"The scenery"
3186865,111,"Wanted to see where the film was made"
3186889,133,"The scenery"
3186922,126,"Wanted to see if the scenery was like it was in the film"
3186924,104,"The scenery"
3186924,105,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186961,99,"The scenery"
3186961,100,"Wanted to see where the film was made"
3186961,101,"I wanted to visit Hobbiton"
3186985,123,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186999,110,"The scenery"
3186999,111,"Wanted to see if the scenery was like it was in the film"
3186999,112,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3186999,113,"Wanted to see where the film was made"
3187008,115,"The scenery"
3187008,116,"I wanted to visit Hobbiton"
3187013,111,"The scenery"
3187013,112,"Wanted to see if the scenery was like it was in the film"
3187015,128,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187015,129,"Wanted to see where the film was made"
3187053,113,"The scenery"
3187053,114,"Wanted to see if the scenery was like it was in the film"
3187053,115,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187053,116,"Wanted to see where the film was made"
3187053,117,"I wanted to visit Hobbiton"
