"SurveyResponseID","AnswerNumber","iSiteUsage"
3185190,85,"Access to resources to assist you to plan"
3185163,86,"Attractions / Activities"
3185190,88,"Attractions / Activities"
3185199,83,"General information about the region you were in"
3185163,82,"Maps"
3185190,86,"Internet access"
3185199,86,"Accommodation in the region you were in"
3185199,87,"Accommodation in a different region"
3185204,89,"Accommodation in the region you were in"
3185199,85,"General information about a different region"
3185208,81,"General information about the region you were in"
3185199,84,"Maps"
3185204,87,"Maps"
3185208,82,"Weather information"
3185213,84,"Accommodation in a different region"
3185204,88,"Directions"
3185213,86,"Suggested itineraries"
3185208,84,"Attractions / Activities"
3185213,80,"General information about the region you were in"
3185213,81,"Check/confirm existing travel plans"
3185213,85,"Attractions / Activities"
3185208,83,"Maps"
3185213,82,"Weather information"
3185213,83,"Internet access"
3185224,81,"Information about amenities/services for the town you were in"
3185224,82,"Accommodation in the region you were in"
3185224,83,"Accommodation in a different region"
3185231,101,"Information about amenities/services for the town you were in"
3185423,82,"Accommodation in the region you were in"
3185224,79,"Maps"
3185231,99,"Weather information"
3185224,84,"Attractions / Activities"
3185231,98,"General information about the region you were in"
3185423,80,"General information about the region you were in"
3185423,81,"Compare prices / find deals"
3185425,89,"Accommodation in the region you were in"
3185425,90,"Transport/ travel options around New Zealand"
3185473,99,"Information about amenities/services for the town you were in"
3185231,100,"Maps"
3185473,98,"Maps"
3185224,80,"Directions"
3185441,80,"Directions"
3185425,91,"Attractions / Activities"
3185441,81,"Attractions / Activities"
3185473,97,"General information about the region you were in"
3185473,100,"Accommodation in a different region"
3185231,102,"Accommodation in the region you were in"
3185231,103,"Accommodation in a different region"
3185231,104,"Transport/ travel options around New Zealand"
3185231,105,"Event information"
3185441,82,"Suggested itineraries"
3185473,101,"Attractions / Activities"
3185489,90,"General information about the region you were in"
3185240,92,"Transport/ travel options around New Zealand"
3185240,93,"Flights within New Zealand"
3185489,91,"Maps"
3185233,85,"Maps"
3185240,89,"Maps"
3185240,90,"Internet access"
3185489,92,"Directions"
3185240,91,"General information about a different region"
3185233,84,"General information about the region you were in"
3185233,86,"Attractions / Activities"
3185240,88,"General information about the region you were in"
3185575,80,"Information about amenities/services for the town you were in"
3185575,77,"Maps"
3185575,78,"Internet access"
3185616,81,"Weather information"
3185575,76,"Check/confirm existing travel plans"
3185575,81,"Attractions / Activities"
3185616,80,"General information about the region you were in"
3185616,84,"Event information"
3185616,82,"Maps"
3185632,88,"Maps"
3185575,79,"Directions"
3185616,83,"Information about Maori culture / cultural activities"
3185288,83,"Directions"
3185632,89,"Directions"
3185632,90,"General information about a different region"
3185288,82,"General information about the region you were in"
3185288,84,"Attractions / Activities"
3185632,91,"Attractions / Activities"
3185297,93,"Accommodation in the region you were in"
3185297,91,"Maps"
3185650,91,"Maps"
3185297,90,"General information about the region you were in"
3185297,92,"Compare prices / find deals"
3185297,94,"Attractions / Activities"
3185650,90,"General information about the region you were in"
3185650,93,"Overview of NZ regions"
3185313,88,"Transport/ travel options around New Zealand"
3185313,89,"Event information"
3185650,92,"Directions"
3185650,95,"Suggested itineraries"
3185313,86,"Access to resources to assist you to plan"
3185650,94,"Attractions / Activities"
3185313,90,"Attractions / Activities"
3185322,84,"General information about the region you were in"
3185322,87,"Information about amenities/services for the town you were in"
3185322,88,"Accommodation in the region you were in"
3185313,87,"Maps"
3185322,85,"Internet access"
3185313,91,"Suggested itineraries"
3185322,86,"Directions"
3185331,93,"Suggested itineraries"
3185331,91,"Compare prices / find deals"
3185331,92,"Attractions / Activities"
3185347,100,"General information about the region you were in"
3185347,102,"Information about amenities/services for the town you were in"
3185347,103,"Accommodation in the region you were in"
3185347,105,"Suggested itineraries"
3185331,90,"Maps"
3185347,101,"Maps"
3185347,104,"Attractions / Activities"
3185734,73,"General information about the region you were in"
3185734,76,"Attractions / Activities"
3185372,86,"Information about amenities/services for the town you were in"
3185741,93,"Accommodation in the region you were in"
3185734,74,"Maps"
3185372,85,"Maps"
3185741,89,"Weather information"
3185734,75,"Directions"
3185734,77,"Suggested itineraries"
3185741,91,"Compare prices / find deals"
3185741,92,"Overview of NZ regions"
3185741,94,"Attractions / Activities"
3185757,82,"General information about the region you were in"
3185392,68,"General information about the region you were in"
3185372,84,"Access to resources to assist you to plan"
3185757,83,"Access to resources to assist you to plan"
3185757,86,"Directions"
3185757,87,"General information about a different region"
3185392,69,"Access to resources to assist you to plan"
3185741,90,"Maps"
3185757,84,"Weather information"
3185392,72,"Information about amenities/services for the town you were in"
3185392,73,"Transport/ travel options around New Zealand"
3185167,87,"Accommodation in a different region"
3185392,71,"Overview of NZ regions"
3185392,74,"Attractions / Activities"
3185167,86,"Overview of NZ regions"
3185757,85,"Maps"
3185167,84,"Maps"
3185392,70,"Directions"
3185167,85,"Directions"
3185167,88,"Transport/ travel options around New Zealand"
3185408,82,"Information about amenities/services for the town you were in"
3185167,89,"Attractions / Activities"
3185408,79,"General information about the region you were in"
3185408,83,"Attractions / Activities"
3185408,80,"Weather information"
3185408,81,"Maps"
3185185,92,"Maps"
3185408,84,"Suggested itineraries"
3185775,80,"Information about amenities/services for the town you were in"
3185775,76,"General information about the region you were in"
3185775,78,"Compare prices / find deals"
3185775,79,"Overview of NZ regions"
3185415,84,"Attractions / Activities"
3185201,85,"Check/confirm existing travel plans"
3185185,93,"General information about a different region"
3185185,94,"Suggested itineraries"
3185201,88,"Flights within New Zealand"
3185201,89,"Attractions / Activities"
3185791,82,"Check/confirm existing travel plans"
3185791,86,"Overview of NZ regions"
3185775,77,"Maps"
3185201,86,"Maps"
3185201,87,"General information about a different region"
3185791,84,"Information about Maori culture / cultural activities"
3185235,104,"Accommodation in the region you were in"
3185235,101,"General information about the region you were in"
3185235,105,"Attractions / Activities"
3185254,72,"Attractions / Activities"
3185791,83,"Maps"
3185235,102,"Internet access"
3185254,70,"Maps"
3185367,94,"Weather information"
3185791,85,"Directions"
3185235,103,"Directions"
3185254,71,"Information about Maori culture / cultural activities"
3185420,81,"Transport/ travel options around New Zealand"
3185368,78,"General information about the region you were in"
3185368,79,"Check/confirm existing travel plans"
3185387,77,"Attractions / Activities"
3185420,82,"Attractions / Activities"
3185367,95,"Maps"
3185387,76,"Maps"
3185434,101,"Transport/ travel options around New Zealand"
3185502,99,"Accommodation in the region you were in"
3185434,102,"Attractions / Activities"
3185502,96,"General information about the region you were in"
3185420,79,"Maps"
3185502,97,"Weather information"
3185420,80,"Directions"
3185420,83,"Suggested itineraries"
3185434,99,"Directions"
3185434,100,"General information about a different region"
3185502,100,"Event information"
3185504,96,"Information about amenities/services for the town you were in"
3185504,97,"Accommodation in the region you were in"
3185504,98,"Transport/ travel options around New Zealand"
3185504,95,"General information about the region you were in"
3185521,82,"Access to resources to assist you to plan"
3185521,83,"Directions"
3185521,84,"General information about a different region"
3185521,85,"Suggested itineraries"
3185538,77,"Information about amenities/services for the town you were in"
3185538,78,"Event information"
3185538,76,"Overview of NZ regions"
3185538,79,"Attractions / Activities"
3185553,90,"General information about the region you were in"
3185502,98,"Maps"
3185538,75,"Weather information"
3185538,74,"Access to resources to assist you to plan"
3185553,91,"Access to resources to assist you to plan"
3185553,93,"Overview of NZ regions"
3185554,85,"Overview of NZ regions"
3185554,86,"Attractions / Activities"
3185587,87,"General information about the region you were in"
3185553,92,"Maps"
3185554,82,"Weather information"
3185553,94,"General information about a different region"
3185554,84,"Directions"
3185587,88,"Access to resources to assist you to plan"
3185587,89,"Accommodation in a different region"
3185603,86,"Information about amenities/services for the town you were in"
3185587,90,"Attractions / Activities"
3185554,83,"Maps"
3185601,83,"Maps"
3185603,82,"Weather information"
3185601,84,"General information about a different region"
3185603,83,"Maps"
3185618,89,"Maps"
3185603,84,"Directions"
3185603,85,"General information about a different region"
3185603,89,"Suggested itineraries"
3185618,90,"Directions"
3185618,92,"Suggested itineraries"
3185603,88,"Attractions / Activities"
3185618,91,"Overview of NZ regions"
3185603,87,"Event information"
3185791,87,"Information about amenities/services for the town you were in"
3185791,88,"Accommodation in a different region"
3185823,85,"Transport/ travel options around New Zealand"
3185823,83,"Weather information"
3185823,84,"Maps"
3185832,85,"Maps"
3185832,86,"Information about Maori culture / cultural activities"
3185823,82,"General information about the region you were in"
3185823,86,"Attractions / Activities"
3185832,87,"Overview of NZ regions"
3185843,90,"General information about the region you were in"
3185843,94,"Information about amenities/services for the town you were in"
3185843,95,"Accommodation in a different region"
3185843,92,"Internet access"
3185843,91,"Access to resources to assist you to plan"
3185843,93,"Directions"
3185848,93,"Information about Maori culture / cultural activities"
3185848,90,"General information about the region you were in"
3185848,91,"Check/confirm existing travel plans"
3185848,94,"Information about amenities/services for the town you were in"
3185848,95,"Accommodation in a different region"
3185859,84,"Information about amenities/services for the town you were in"
3185848,92,"Maps"
3185859,81,"Maps"
3185859,80,"Access to resources to assist you to plan"
3185848,96,"Attractions / Activities"
3185859,79,"General information about the region you were in"
3185859,82,"Compare prices / find deals"
3185859,85,"Accommodation in the region you were in"
3185893,75,"Transport/ travel options around New Zealand"
3185893,76,"Event information"
3185859,83,"Directions"
3185866,99,"General information about a different region"
3185866,100,"Suggested itineraries"
3185859,86,"Attractions / Activities"
3185866,98,"Check/confirm existing travel plans"
3185907,84,"Check/confirm existing travel plans"
3185907,88,"Information about amenities/services for the town you were in"
3185907,89,"Accommodation in the region you were in"
3185907,90,"Transport/ travel options around New Zealand"
3185893,74,"Maps"
3185907,85,"Maps"
3185907,86,"Information about Maori culture / cultural activities"
3185907,87,"General information about a different region"
3185907,91,"Attractions / Activities"
3185909,104,"Compare prices / find deals"
3185909,106,"Information about amenities/services for the town you were in"
3185909,107,"Accommodation in the region you were in"
3185909,109,"Something else"
3185909,103,"Maps"
3185932,89,"Maps"
3185909,108,"Attractions / Activities"
3185932,87,"General information about the region you were in"
3185932,90,"Overview of NZ regions"
3185909,105,"General information about a different region"
3185932,88,"Access to resources to assist you to plan"
3185950,88,"Information about amenities/services for the town you were in"
3185950,86,"Weather information"
3185950,87,"Maps"
3185959,83,"Maps"
3185932,92,"Attractions / Activities"
3185950,85,"General information about the region you were in"
3185959,81,"General information about the region you were in"
3185959,85,"Information about amenities/services for the town you were in"
3185973,81,"Accommodation in the region you were in"
3185973,82,"Event information"
3185932,91,"General information about a different region"
3185959,82,"Access to resources to assist you to plan"
3185959,84,"Directions"
3185973,80,"General information about a different region"
3185973,83,"Attractions / Activities"
3185982,76,"General information about the region you were in"
3185982,77,"Check/confirm existing travel plans"
3185449,81,"Accommodation in the region you were in"
3185433,87,"Information about Maori culture / cultural activities"
3185973,79,"Maps"
3185449,78,"Weather information"
3185433,86,"General information about the region you were in"
3185433,88,"Attractions / Activities"
3185449,77,"General information about the region you were in"
3185449,80,"Overview of NZ regions"
3185449,82,"Attractions / Activities"
3185492,72,"General information about a different region"
3185508,83,"Access to resources to assist you to plan"
3185508,84,"Directions"
3185508,85,"General information about a different region"
3185449,79,"Maps"
3185556,74,"Weather information"
3185508,82,"General information about the region you were in"
3185508,88,"Attractions / Activities"
3185556,73,"General information about the region you were in"
3185565,77,"Overview of NZ regions"
3185508,89,"Suggested itineraries"
3185565,76,"Directions"
3185565,78,"General information about a different region"
3185492,73,"Information about amenities/services for the town you were in"
3185508,86,"Accommodation in a different region"
3185508,87,"Event information"
3185982,78,"Maps"
3185991,91,"Maps"
3185982,79,"Attractions / Activities"
3185991,92,"Compare prices / find deals"
3186000,74,"General information about the region you were in"
3185991,90,"Access to resources to assist you to plan"
3185991,93,"Directions"
3186000,75,"Access to resources to assist you to plan"
3185556,75,"Accommodation in a different region"
3185565,79,"Information about amenities/services for the town you were in"
3185565,80,"Accommodation in the region you were in"
3185991,94,"Transport/ travel options around New Zealand"
3186000,76,"Weather information"
3186000,77,"Maps"
3186009,89,"Maps"
3186000,80,"Attractions / Activities"
3186000,78,"Information about amenities/services for the town you were in"
3186000,79,"Transport/ travel options around New Zealand"
3186009,90,"Accommodation in the region you were in"
3186009,91,"Accommodation in a different region"
3186009,92,"Event information"
3186027,81,"Accommodation in the region you were in"
3186032,84,"Transport/ travel options around New Zealand"
3186009,93,"Attractions / Activities"
3186032,83,"Overview of NZ regions"
3186009,94,"Suggested itineraries"
3186027,82,"Suggested itineraries"
3186032,85,"Suggested itineraries"
3186048,80,"Information about amenities/services for the town you were in"
3186048,81,"Accommodation in a different region"
3186032,82,"Maps"
3186059,82,"Maps"
3186059,83,"Information about amenities/services for the town you were in"
3186059,84,"Event information"
3186093,87,"Accommodation in the region you were in"
3186093,88,"Accommodation in a different region"
3186048,82,"Attractions / Activities"
3186093,86,"Maps"
3185638,89,"Maps"
3186059,81,"General information about the region you were in"
3186093,84,"General information about the region you were in"
3186048,79,"Directions"
3186093,90,"Suggested itineraries"
3185638,90,"Information about Maori culture / cultural activities"
3185638,91,"General information about a different region"
3185653,94,"Accommodation in the region you were in"
3186093,85,"Check/confirm existing travel plans"
3186093,89,"Attractions / Activities"
3185638,92,"Attractions / Activities"
3185653,90,"General information about the region you were in"
3185653,93,"Overview of NZ regions"
3185653,95,"Attractions / Activities"
3185653,91,"Access to resources to assist you to plan"
3185653,96,"Suggested itineraries"
3185653,92,"Maps"
3185669,99,"Maps"
3186134,77,"Information about Maori culture / cultural activities"
3186134,78,"Directions"
3185686,81,"Directions"
3185686,83,"Suggested itineraries"
3185669,100,"Information about amenities/services for the town you were in"
3185669,101,"Transport/ travel options around New Zealand"
3186134,79,"Accommodation in the region you were in"
3186157,80,"Transport/ travel options around New Zealand"
3185704,95,"Transport/ travel options around New Zealand"
3185686,80,"Maps"
3186157,78,"Maps"
3186157,79,"Internet access"
3185704,92,"Maps"
3185704,93,"Internet access"
3185669,102,"Attractions / Activities"
3185686,82,"Attractions / Activities"
3186157,77,"General information about the region you were in"
3186157,81,"Attractions / Activities"
3185704,94,"Compare prices / find deals"
3185704,96,"Attractions / Activities"
3185704,97,"Suggested itineraries"
3186175,66,"Maps"
3185722,98,"Maps"
3185736,82,"Internet access"
3185722,97,"Access to resources to assist you to plan"
3186227,71,"Information about amenities/services for the town you were in"
3185753,83,"Weather information"
3185770,83,"Weather information"
3186175,65,"General information about the region you were in"
3186175,67,"Attractions / Activities"
3185722,96,"General information about the region you were in"
3185722,99,"Attractions / Activities"
3185736,83,"Attractions / Activities"
3185770,81,"General information about the region you were in"
3185770,85,"Accommodation in the region you were in"
3186207,89,"Access to resources to assist you to plan"
3186207,90,"Directions"
3185753,84,"Directions"
3186227,72,"Suggested itineraries"
3185770,84,"Maps"
3185786,82,"Maps"
3185786,84,"Accommodation in a different region"
3185565,81,"Event information"
3185770,82,"Access to resources to assist you to plan"
3185770,86,"Suggested itineraries"
3185786,83,"General information about a different region"
3185565,83,"Suggested itineraries"
3185581,82,"General information about a different region"
3185786,81,"Check/confirm existing travel plans"
3185786,85,"Attractions / Activities"
3186261,81,"Maps"
3185581,81,"Maps"
3185583,92,"Accommodation in the region you were in"
3185583,93,"Accommodation in a different region"
3185583,91,"Information about Maori culture / cultural activities"
3185583,94,"Suggested itineraries"
3185565,82,"Attractions / Activities"
3185583,88,"General information about the region you were in"
3185592,75,"General information about the region you were in"
3185583,89,"Weather information"
3185583,90,"Maps"
3185592,76,"Maps"
3185592,77,"Information about amenities/services for the town you were in"
3185592,78,"Event information"
3185622,79,"Information about amenities/services for the town you were in"
3185622,80,"Transport/ travel options around New Zealand"
3185633,84,"Access to resources to assist you to plan"
3185592,79,"Attractions / Activities"
3185622,78,"Weather information"
3185633,88,"Accommodation in the region you were in"
3185647,81,"Information about amenities/services for the town you were in"
3185649,82,"Information about amenities/services for the town you were in"
3185633,86,"Directions"
3185633,87,"General information about a different region"
3185647,80,"Directions"
3185649,79,"Access to resources to assist you to plan"
3185633,85,"Maps"
3185647,79,"Maps"
3185649,80,"Maps"
3185649,81,"Internet access"
3185649,83,"Transport/ travel options around New Zealand"
3185656,76,"Information about amenities/services for the town you were in"
3185656,77,"Accommodation in the region you were in"
3185674,95,"Information about amenities/services for the town you were in"
3185674,96,"Accommodation in the region you were in"
3185674,97,"Accommodation in a different region"
3185656,78,"Attractions / Activities"
3185674,98,"Attractions / Activities"
3185717,98,"Information about amenities/services for the town you were in"
3185724,84,"Accommodation in the region you were in"
3185674,94,"Directions"
3185717,97,"General information about a different region"
3185717,96,"General information about the region you were in"
3185717,99,"Attractions / Activities"
3185724,83,"General information about the region you were in"
3185742,82,"Maps"
3185742,83,"Internet access"
3185781,68,"Information about amenities/services for the town you were in"
3185781,69,"Accommodation in the region you were in"
3185742,84,"Directions"
3185767,70,"Suggested itineraries"
3185781,67,"Directions"
3185799,76,"Directions"
3185786,86,"Suggested itineraries"
3185767,69,"Attractions / Activities"
3185799,75,"General information about the region you were in"
3185824,95,"Directions"
3185824,96,"General information about a different region"
3185767,68,"Maps"
3185808,75,"Maps"
3185808,74,"Check/confirm existing travel plans"
3185808,76,"Attractions / Activities"
3185802,79,"General information about the region you were in"
3185802,80,"Compare prices / find deals"
3185802,81,"Attractions / Activities"
3185824,94,"General information about the region you were in"
3185824,97,"Event information"
3185826,87,"Accommodation in the region you were in"
3185826,85,"Directions"
3185826,86,"General information about a different region"
3185826,89,"Suggested itineraries"
3186261,84,"Event information"
3185819,96,"Information about amenities/services for the town you were in"
3185826,84,"Maps"
3185819,94,"Maps"
3186261,82,"Directions"
3186261,83,"General information about a different region"
3185819,95,"Directions"
3185819,98,"Suggested itineraries"
3185824,98,"Attractions / Activities"
3185826,88,"Attractions / Activities"
3186261,85,"Attractions / Activities"
3185819,93,"General information about the region you were in"
3185819,97,"Attractions / Activities"
3185838,78,"Information about amenities/services for the town you were in"
3185838,79,"Transport/ travel options around New Zealand"
3185835,94,"General information about the region you were in"
3185835,96,"Attractions / Activities"
3185838,77,"General information about the region you were in"
3185838,81,"Attractions / Activities"
3186300,77,"General information about the region you were in"
3185838,80,"Event information"
3185854,79,"See ratings by other travellers"
3185854,80,"Transport/ travel options around New Zealand"
3185854,78,"Access to resources to assist you to plan"
3186300,79,"Attractions / Activities"
3185854,77,"General information about the region you were in"
3185854,81,"Attractions / Activities"
3185865,82,"General information about the region you were in"
3185835,95,"Maps"
3186300,78,"Maps"
3185865,83,"Weather information"
3185865,85,"Accommodation in a different region"
3186325,88,"Information about amenities/services for the town you were in"
3185865,86,"Attractions / Activities"
3185872,75,"Attractions / Activities"
3186325,85,"General information about the region you were in"
3186325,87,"Compare prices / find deals"
3185865,84,"Maps"
3185872,74,"Maps"
3186325,89,"Accommodation in a different region"
3185881,92,"Transport/ travel options around New Zealand"
3186325,90,"Attractions / Activities"
3185885,83,"General information about the region you were in"
3185881,89,"Access to resources to assist you to plan"
3185902,68,"Access to resources to assist you to plan"
3186325,86,"Maps"
3185881,90,"Maps"
3185881,91,"To meet other travellers"
3185902,72,"Information about amenities/services for the town you were in"
3185902,73,"Accommodation in a different region"
3185902,74,"Transport/ travel options around New Zealand"
3185902,71,"Overview of NZ regions"
3185899,71,"General information about the region you were in"
3185885,84,"Directions"
3185899,73,"General information about a different region"
3185902,69,"Maps"
3185902,70,"Internet access"
3185956,94,"General information about the region you were in"
3185956,99,"Attractions / Activities"
3185970,83,"General information about the region you were in"
3185970,84,"Check/confirm existing travel plans"
3185956,95,"Access to resources to assist you to plan"
3185956,97,"Information about Maori culture / cultural activities"
3185956,98,"Directions"
3185956,100,"Suggested itineraries"
3185899,72,"Maps"
3185956,96,"Weather information"
3186072,81,"Information about amenities/services for the town you were in"
3186053,68,"General information about the region you were in"
3186053,70,"Attractions / Activities"
3186072,80,"Compare prices / find deals"
3185970,85,"Weather information"
3185970,86,"Maps"
3185970,87,"Internet access"
3186053,69,"Maps"
3186072,79,"Maps"
3185899,74,"Information about amenities/services for the town you were in"
3185899,75,"Accommodation in the region you were in"
3185910,87,"Information about amenities/services for the town you were in"
3185910,88,"Transport/ travel options around New Zealand"
3185910,86,"Directions"
3185910,90,"Suggested itineraries"
3185910,84,"General information about the region you were in"
3185910,85,"Compare prices / find deals"
3185910,89,"Attractions / Activities"
3185924,96,"Accommodation in the region you were in"
3185924,97,"Accommodation in a different region"
3185924,98,"Flights within New Zealand"
3185924,93,"Information about Maori culture / cultural activities"
3185924,92,"General information about the region you were in"
3185924,94,"Compare prices / find deals"
3185924,99,"Attractions / Activities"
3185940,77,"General information about the region you were in"
3185940,79,"Information about amenities/services for the town you were in"
3185940,80,"Accommodation in the region you were in"
3185949,84,"Event information"
3185940,81,"Attractions / Activities"
3186072,82,"Attractions / Activities"
3186015,87,"General information about the region you were in"
3185924,95,"Directions"
3185949,82,"Access to resources to assist you to plan"
3185940,78,"Maps"
3185949,83,"Maps"
3186073,75,"Information about amenities/services for the town you were in"
3186073,76,"Accommodation in the region you were in"
3186073,74,"General information about the region you were in"
3186073,77,"Attractions / Activities"
3186015,88,"Compare prices / find deals"
3186015,89,"Overview of NZ regions"
3186015,90,"Attractions / Activities"
3186024,81,"General information about the region you were in"
3186024,82,"Internet access"
3186026,74,"Information about amenities/services for the town you were in"
3186026,75,"Transport/ travel options around New Zealand"
3186026,76,"Event information"
3186024,83,"Attractions / Activities"
3186026,70,"General information about the region you were in"
3186024,84,"Suggested itineraries"
3186026,71,"Access to resources to assist you to plan"
3186026,73,"Information about Maori culture / cultural activities"
3186089,90,"Accommodation in the region you were in"
3186089,89,"Directions"
3186089,91,"Suggested itineraries"
3186089,86,"General information about the region you were in"
3186103,86,"General information about the region you were in"
3186026,72,"Maps"
3186089,87,"Weather information"
3186089,88,"Maps"
3186103,87,"Maps"
3186103,89,"Accommodation in a different region"
3186103,90,"Event information"
3186153,91,"Event information"
3186103,91,"Attractions / Activities"
3186153,90,"Overview of NZ regions"
3186092,77,"General information about the region you were in"
3186103,88,"Directions"
3186092,79,"General information about a different region"
3186153,89,"Maps"
3186092,78,"Weather information"
3186155,82,"Information about amenities/services for the town you were in"
3186155,83,"Accommodation in the region you were in"
3186092,80,"Accommodation in the region you were in"
3186155,81,"Compare prices / find deals"
3186092,81,"Attractions / Activities"
3186170,71,"General information about the region you were in"
3186155,78,"Weather information"
3186155,79,"Maps"
3186155,80,"Internet access"
3186170,74,"Transport/ travel options around New Zealand"
3186170,75,"Flights within New Zealand"
3186101,76,"Accommodation in the region you were in"
3186101,74,"General information about the region you were in"
3186101,77,"Attractions / Activities"
3186101,75,"Directions"
3186101,78,"Suggested itineraries"
3186170,72,"Weather information"
3186186,92,"Flights within New Zealand"
3338447,81,"Information about amenities/services for the town you were in"
3338447,82,"Accommodation in the region you were in"
3338447,83,"Transport/ travel options around New Zealand"
3338447,84,"Event information"
3186186,93,"Attractions / Activities"
3186110,74,"Overview of NZ regions"
3186110,75,"Attractions / Activities"
3186170,73,"Maps"
3186186,90,"Weather information"
3186186,91,"Maps"
3186110,72,"Maps"
3186110,73,"Internet access"
3186190,78,"Weather information"
3338431,79,"Attractions / Activities"
3338447,80,"General information about the region you were in"
3338447,85,"Attractions / Activities"
3338464,92,"General information about the region you were in"
3338464,93,"Check/confirm existing travel plans"
3338464,96,"Compare prices / find deals"
3338431,78,"Directions"
3338464,95,"Information about Maori culture / cultural activities"
3338431,77,"Maps"
3338464,94,"Maps"
3338479,80,"Information about amenities/services for the town you were in"
3338479,81,"Accommodation in the region you were in"
3338479,84,"Something else"
3338479,77,"General information about the region you were in"
3338479,82,"Attractions / Activities"
3338482,92,"Attractions / Activities"
3338495,105,"Compare prices / find deals"
3338479,78,"Access to resources to assist you to plan"
3338479,83,"Suggested itineraries"
3338479,79,"Maps"
3338482,90,"Weather information"
3338495,102,"Weather information"
3338495,107,"Overview of NZ regions"
3338498,91,"General information about the region you were in"
3338482,91,"General information about a different region"
3338482,93,"Suggested itineraries"
3338495,101,"Access to resources to assist you to plan"
3338495,104,"Information about Maori culture / cultural activities"
3338495,106,"Directions"
3338498,94,"Directions"
3338495,103,"Maps"
3338498,92,"Weather information"
3338498,96,"Transport/ travel options around New Zealand"
3338515,71,"Information about amenities/services for the town you were in"
3338515,72,"Transport/ travel options around New Zealand"
3338529,81,"Information about amenities/services for the town you were in"
3338562,117,"Information about amenities/services for the town you were in"
3338562,118,"Accommodation in the region you were in"
3338562,119,"Accommodation in a different region"
3338562,120,"Transport/ travel options around New Zealand"
3338498,93,"Maps"
3338515,70,"Maps"
3338562,121,"Event information"
3338498,97,"Attractions / Activities"
3338515,73,"Attractions / Activities"
3338547,96,"General information about the region you were in"
3338547,97,"Attractions / Activities"
3338562,112,"General information about the region you were in"
3338562,115,"Compare prices / find deals"
3338498,95,"General information about a different region"
3338564,161,"Information about amenities/services for the town you were in"
3338564,162,"Accommodation in the region you were in"
3338564,163,"Transport/ travel options around New Zealand"
3338562,122,"Attractions / Activities"
3338564,154,"General information about the region you were in"
3338564,158,"Compare prices / find deals"
3338564,159,"Overview of NZ regions"
3338564,164,"Attractions / Activities"
3338562,114,"Maps"
3338564,156,"Weather information"
3338564,157,"Maps"
3338565,128,"Maps"
3338498,98,"Suggested itineraries"
3338515,74,"Suggested itineraries"
3338562,113,"Access to resources to assist you to plan"
3338562,116,"General information about a different region"
3338564,155,"Access to resources to assist you to plan"
3338564,160,"General information about a different region"
3338565,130,"Transport/ travel options around New Zealand"
3338579,87,"Attractions / Activities"
3338565,129,"Directions"
3338565,131,"Suggested itineraries"
3338579,86,"Directions"
3338579,88,"Suggested itineraries"
3338914,88,"Directions"
3186190,80,"Directions"
3186190,81,"General information about a different region"
3338914,89,"Transport/ travel options around New Zealand"
3186190,82,"Information about amenities/services for the town you were in"
3338967,89,"Information about Maori culture / cultural activities"
3338579,85,"Maps"
3338914,87,"Maps"
3338915,77,"Maps"
3186190,79,"Maps"
3338967,87,"Weather information"
3338914,90,"Attractions / Activities"
3338915,78,"Attractions / Activities"
3186190,83,"Attractions / Activities"
3338967,86,"General information about the region you were in"
3461417,82,"Information about amenities/services for the town you were in"
3186119,97,"Access to resources to assist you to plan"
3186119,99,"General information about a different region"
3186169,80,"Suggested itineraries"
3338967,88,"Maps"
3186119,98,"Maps"
3461417,81,"Maps"
3186169,79,"Maps"
3461432,73,"Weather information"
3461432,74,"Maps"
3186176,84,"Maps"
3186119,100,"Attractions / Activities"
3461432,71,"General information about the region you were in"
3461432,76,"Attractions / Activities"
3186176,81,"General information about the region you were in"
3186176,82,"Check/confirm existing travel plans"
3461449,79,"General information about the region you were in"
3461432,72,"Access to resources to assist you to plan"
3461432,77,"Suggested itineraries"
3186176,83,"Access to resources to assist you to plan"
3461432,75,"Accommodation in the region you were in"
3461449,83,"Accommodation in the region you were in"
3461449,84,"Event information"
3461451,88,"Transport/ travel options around New Zealand"
3461449,85,"Attractions / Activities"
3461451,85,"General information about the region you were in"
3186459,84,"Attractions / Activities"
3461467,75,"Compare prices / find deals"
3461449,80,"Maps"
3461467,74,"Maps"
3461467,76,"Overview of NZ regions"
3461449,81,"Directions"
3461449,82,"General information about a different region"
3461451,86,"Information about Maori culture / cultural activities"
3461451,87,"Directions"
3186459,83,"Directions"
3461467,73,"Access to resources to assist you to plan"
3461468,75,"Accommodation in the region you were in"
3461486,105,"Accommodation in the region you were in"
3461486,106,"Transport/ travel options around New Zealand"
3461499,97,"Information about amenities/services for the town you were in"
3461499,98,"Transport/ travel options around New Zealand"
3461499,99,"Event information"
3461467,78,"Attractions / Activities"
3461468,71,"General information about the region you were in"
3461468,76,"Attractions / Activities"
3461468,73,"Weather information"
3461468,74,"Maps"
3461486,104,"Maps"
3461486,107,"Attractions / Activities"
3461499,100,"Attractions / Activities"
3461501,86,"General information about the region you were in"
3461501,88,"Attractions / Activities"
3461467,77,"General information about a different region"
3461468,72,"Access to resources to assist you to plan"
3461468,77,"Suggested itineraries"
3461486,108,"Suggested itineraries"
3461502,97,"Accommodation in the region you were in"
3461502,98,"Transport/ travel options around New Zealand"
3461502,99,"Event information"
