"SurveyResponseID","AnswerNumber","HobbitExpType"
3185373,154,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185373,155,"Visited Hobbiton"
3185373,156,"Visited Hobbit Film site(s)"
3185373,157,"Something else"
3185395,177,"Group tour specifically organised for Hobbit fans"
3185395,178,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185395,179,"Visited Hobbiton"
3185395,180,"Visited Hobbit Film site(s)"
3185395,181,"Something else"
3185398,149,"Group tour specifically organised for Hobbit fans"
3185398,150,"Visited Hobbiton"
3185398,151,"Visited Hobbit Film site(s)"
3185398,152,"Something else"
3185410,161,"Group tour specifically organised for Hobbit fans"
3185410,162,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185410,163,"Visited Hobbiton"
3185410,164,"Visited Hobbit Film site(s)"
3185410,165,"Something else"
3185414,157,"Group tour specifically organised for Hobbit fans"
3185414,158,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185414,159,"Visited Hobbit Film site(s)"
3185414,160,"Something else"
3185420,165,"Group tour specifically organised for Hobbit fans"
3185420,166,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185420,167,"Visited Hobbiton"
3185420,168,"Visited Hobbit Film site(s)"
3185420,169,"Something else"
3185459,157,"Group tour specifically organised for Hobbit fans"
3185459,158,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185459,159,"Visited Hobbit Film site(s)"
3185459,160,"Something else"
3185477,155,"Group tour specifically organised for Hobbit fans"
3185477,156,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185477,157,"Something else"
3185500,156,"Group tour specifically organised for Hobbit fans"
3185500,157,"Something else"
3185503,161,"Group tour specifically organised for Hobbit fans"
3185503,162,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185503,163,"Something else"
3185549,145,"Group tour specifically organised for Hobbit fans"
3185549,146,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185549,147,"Visited Hobbit Film site(s)"
3185549,148,"Something else"
3185556,149,"Group tour specifically organised for Hobbit fans"
3185556,150,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185556,151,"Visited Hobbit Film site(s)"
3185556,152,"Something else"
3185561,183,"Group tour specifically organised for Hobbit fans"
3185561,184,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185561,185,"Visited Hobbiton"
3185561,186,"Visited Hobbit Film site(s)"
3185561,187,"Something else"
3185570,162,"Group tour specifically organised for Hobbit fans"
3185570,163,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185570,164,"Visited Hobbit Film site(s)"
3185570,165,"Something else"
3185611,167,"Group tour specifically organised for Hobbit fans"
3185611,168,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185611,169,"Visited Hobbit Film site(s)"
3185611,170,"Something else"
3185616,151,"Group tour specifically organised for Hobbit fans"
3185616,152,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185616,153,"Visited Hobbiton"
3185616,154,"Visited Hobbit Film site(s)"
3185616,155,"Something else"
3185638,171,"Group tour specifically organised for Hobbit fans"
3185638,172,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185638,173,"Visited Hobbiton"
3185638,174,"Visited Hobbit Film site(s)"
3185675,170,"Group tour specifically organised for Hobbit fans"
3185675,171,"Visited Hobbiton"
3185675,172,"Visited Hobbit Film site(s)"
3185675,173,"Something else"
3185724,168,"Group tour specifically organised for Hobbit fans"
3185724,169,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185724,170,"Visited Hobbiton"
3185724,171,"Something else"
3185752,157,"Group tour specifically organised for Hobbit fans"
3185752,158,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185752,159,"Visited Hobbiton"
3185752,160,"Something else"
3185767,145,"Group tour specifically organised for Hobbit fans"
3185767,146,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185767,147,"Visited Hobbiton"
3185767,148,"Visited Hobbit Film site(s)"
3185767,149,"Something else"
3185775,151,"Group tour specifically organised for Hobbit fans"
3185775,152,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185775,153,"Visited Hobbit Film site(s)"
3185775,154,"Something else"
3185780,149,"Group tour specifically organised for Hobbit fans"
3185780,150,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185780,151,"Visited Hobbit Film site(s)"
3185780,152,"Something else"
3185848,177,"Group tour specifically organised for Hobbit fans"
3185848,178,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185848,179,"Visited Hobbiton"
3185848,180,"Visited Hobbit Film site(s)"
3185848,181,"Something else"
3185872,157,"Group tour specifically organised for Hobbit fans"
3185872,158,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185872,159,"Something else"
3185873,159,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185873,160,"Visited Hobbiton"
3185873,161,"Visited Hobbit Film site(s)"
3185873,162,"Something else"
3185881,168,"Group tour specifically organised for Hobbit fans"
3185881,169,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185881,170,"Something else"
3185914,163,"Group tour specifically organised for Hobbit fans"
3185914,164,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185914,165,"Visited Hobbit Film site(s)"
3185914,166,"Something else"
3185937,155,"Group tour specifically organised for Hobbit fans"
3185937,156,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185937,157,"Visited Hobbit Film site(s)"
3185937,158,"Something else"
3185940,158,"Group tour specifically organised for Hobbit fans"
3185940,159,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185940,160,"Something else"
3185952,161,"Group tour specifically organised for Hobbit fans"
3185952,162,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185952,163,"Visited Hobbiton"
3185952,164,"Visited Hobbit Film site(s)"
3185956,175,"Group tour specifically organised for Hobbit fans"
3185956,176,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185956,177,"Visited Hobbiton"
3185956,178,"Visited Hobbit Film site(s)"
3185959,156,"Group tour specifically organised for Hobbit fans"
3185959,157,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185959,158,"Visited Hobbiton"
3185959,159,"Something else"
3185962,166,"Group tour specifically organised for Hobbit fans"
3185962,167,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185962,168,"Visited Hobbiton"
3185962,169,"Visited Hobbit Film site(s)"
3185962,170,"Something else"
3185965,154,"Group tour specifically organised for Hobbit fans"
3185965,155,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185965,156,"Visited Hobbiton"
3185965,157,"Something else"
3185982,155,"Group tour specifically organised for Hobbit fans"
3185982,156,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185982,157,"Visited Hobbit Film site(s)"
3185991,172,"Group tour specifically organised for Hobbit fans"
3185991,173,"Visited Hobbiton"
3185991,174,"Visited Hobbit Film site(s)"
3185991,175,"Something else"
3186050,163,"Group tour specifically organised for Hobbit fans"
3186050,164,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186050,165,"Visited Hobbit Film site(s)"
3186066,132,"Group tour specifically organised for Hobbit fans"
3186066,133,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186087,161,"Group tour specifically organised for Hobbit fans"
3186087,162,"Something else"
3186098,156,"Group tour specifically organised for Hobbit fans"
3186098,157,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186098,158,"Visited Hobbit Film site(s)"
3186098,159,"Something else"
3186101,153,"Group tour specifically organised for Hobbit fans"
3186101,154,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186101,155,"Visited Hobbiton"
3186101,156,"Something else"
3186114,155,"Group tour specifically organised for Hobbit fans"
3186114,156,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186114,157,"Something else"
3186116,158,"Group tour specifically organised for Hobbit fans"
3186116,159,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186116,160,"Visited Hobbit Film site(s)"
3186116,161,"Something else"
3186130,156,"Group tour specifically organised for Hobbit fans"
3186130,157,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186134,168,"Group tour specifically organised for Hobbit fans"
3186134,169,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186134,170,"Visited Hobbit Film site(s)"
3186134,171,"Something else"
3186143,159,"Group tour specifically organised for Hobbit fans"
3186143,160,"Visited Hobbiton"
3186143,161,"Visited Hobbit Film site(s)"
3186143,162,"Something else"
3186168,169,"Group tour specifically organised for Hobbit fans"
3186168,170,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186168,171,"Visited Hobbiton"
3186168,172,"Something else"
3186176,170,"Group tour specifically organised for Hobbit fans"
3186176,171,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186176,172,"Visited Hobbiton"
3186176,173,"Visited Hobbit Film site(s)"
3186176,174,"Something else"
3186186,157,"Group tour specifically organised for Hobbit fans"
3186186,158,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186186,159,"Something else"
3186190,159,"Group tour specifically organised for Hobbit fans"
3186190,160,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186190,161,"Visited Hobbit Film site(s)"
3186216,185,"Not sure"
3186233,154,"Group tour specifically organised for Hobbit fans"
3186233,155,"Visited Hobbiton"
3186233,156,"Something else"
3186251,205,"Visited Hobbiton"
3186251,206,"Something else"
3186258,137,"Visited Hobbit Film site(s)"
3186258,138,"Something else"
3186310,136,"Not sure"
3186319,169,"Group tour specifically organised for Hobbit fans"
3186319,170,"Visited Hobbiton"
3186327,142,"Not sure"
3186337,170,"Visited Hobbiton"
3186350,166,"Something else"
3186366,147,"Not sure"
3186414,215,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186414,216,"Visited Hobbiton"
3186414,217,"Visited Hobbit Film site(s)"
3186419,159,"Visited Hobbiton"
3186466,205,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186466,206,"Visited Hobbiton"
3186466,207,"Visited Hobbit Film site(s)"
3186470,147,"Group tour specifically organised for Hobbit fans"
3186470,148,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186470,149,"Visited Hobbit Film site(s)"
3186477,136,"Something else"
3186534,152,"Not sure"
3186576,146,"Visited Hobbiton"
3186581,144,"Not sure"
3186599,152,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186599,153,"Visited Hobbit Film site(s)"
3186618,165,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186618,166,"Visited Hobbiton"
3186618,167,"Visited Hobbit Film site(s)"
3186652,144,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186656,211,"Visited Hobbiton"
3186668,181,"Something else"
3186775,188,"Visited Hobbiton"
3186778,204,"Visited Hobbit Film site(s)"
3186819,141,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186823,156,"Group tour specifically organised for Hobbit fans"
3186823,157,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186823,158,"Visited Hobbiton"
3186823,159,"Visited Hobbit Film site(s)"
3186823,160,"Something else"
3186864,164,"Group tour specifically organised for Hobbit fans"
3186864,165,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186864,166,"Visited Hobbiton"
3186864,167,"Visited Hobbit Film site(s)"
3186864,168,"Something else"
3186866,144,"Group tour specifically organised for Hobbit fans"
3186866,145,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186866,146,"Visited Hobbit Film site(s)"
3186866,147,"Something else"
3186867,160,"Group tour specifically organised for Hobbit fans"
3186867,161,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186867,162,"Something else"
3186885,169,"Group tour specifically organised for Hobbit fans"
3186885,170,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186885,171,"Visited Hobbiton"
3186885,172,"Visited Hobbit Film site(s)"
3186885,173,"Something else"
3186911,170,"Group tour specifically organised for Hobbit fans"
3186911,171,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186911,172,"Visited Hobbit Film site(s)"
3186911,173,"Something else"
3186924,146,"Group tour specifically organised for Hobbit fans"
3186924,147,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186924,148,"Visited Hobbiton"
3186924,149,"Visited Hobbit Film site(s)"
3186924,150,"Something else"
3186938,169,"Group tour specifically organised for Hobbit fans"
3186938,170,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186938,171,"Visited Hobbit Film site(s)"
3186938,172,"Something else"
3186941,138,"Group tour specifically organised for Hobbit fans"
3186941,139,"Visited Hobbiton"
3186941,140,"Visited Hobbit Film site(s)"
3186941,141,"Something else"
3186950,181,"Group tour specifically organised for Hobbit fans"
3186950,182,"Visited Hobbit Film site(s)"
3186950,183,"Something else"
3186959,161,"Group tour specifically organised for Hobbit fans"
3186959,162,"Visited Hobbiton"
3186959,163,"Visited Hobbit Film site(s)"
3186959,164,"Something else"
3186961,153,"Visited Hobbit Film site(s)"
3186993,171,"Group tour specifically organised for Hobbit fans"
3186993,172,"Organised local sightseeing tour which included Hobbit Film site(s)"
3186993,173,"Visited Hobbit Film site(s)"
3187013,152,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187013,153,"Visited Hobbit Film site(s)"
3187049,173,"Group tour specifically organised for Hobbit fans"
3187049,174,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187049,175,"Something else"
3187098,151,"Group tour specifically organised for Hobbit fans"
3187098,152,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187098,153,"Visited Hobbiton"
3187098,154,"Visited Hobbit Film site(s)"
3187098,155,"Something else"
3187108,176,"Group tour specifically organised for Hobbit fans"
3187108,177,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187108,178,"Visited Hobbit Film site(s)"
3187108,179,"Something else"
3187116,163,"Group tour specifically organised for Hobbit fans"
3187116,164,"Visited Hobbit Film site(s)"
3187117,156,"Group tour specifically organised for Hobbit fans"
3187117,157,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187117,158,"Visited Hobbiton"
3187117,159,"Visited Hobbit Film site(s)"
3187140,159,"Group tour specifically organised for Hobbit fans"
3187140,160,"Visited Hobbit Film site(s)"
3187140,161,"Something else"
3187146,129,"Visited Hobbit Film site(s)"
3187163,181,"Group tour specifically organised for Hobbit fans"
3187163,182,"Visited Hobbiton"
3187163,183,"Visited Hobbit Film site(s)"
3187163,184,"Something else"
3187169,160,"Group tour specifically organised for Hobbit fans"
3187169,161,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187169,162,"Visited Hobbit Film site(s)"
3187169,163,"Something else"
3187191,180,"Visited Hobbiton"
3187202,141,"Visited Hobbiton"
3187219,171,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187219,172,"Visited Hobbiton"
3187219,173,"Visited Hobbit Film site(s)"
3187219,174,"Something else"
3187261,165,"Group tour specifically organised for Hobbit fans"
3187261,166,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187261,167,"Visited Hobbiton"
3187261,168,"Visited Hobbit Film site(s)"
3187261,169,"Something else"
3187277,156,"Group tour specifically organised for Hobbit fans"
3187277,157,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187277,158,"Visited Hobbit Film site(s)"
3187293,169,"Group tour specifically organised for Hobbit fans"
3187293,170,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187293,171,"Something else"
3187303,149,"Group tour specifically organised for Hobbit fans"
3187303,150,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187303,151,"Visited Hobbiton"
3187303,152,"Visited Hobbit Film site(s)"
3187303,153,"Something else"
3187337,169,"Group tour specifically organised for Hobbit fans"
3187337,170,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187337,171,"Visited Hobbit Film site(s)"
3187340,151,"Group tour specifically organised for Hobbit fans"
3187340,152,"Visited Hobbit Film site(s)"
3187340,153,"Something else"
3187364,163,"Group tour specifically organised for Hobbit fans"
3187364,164,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187378,150,"Group tour specifically organised for Hobbit fans"
3187378,151,"Visited Hobbiton"
3187435,154,"Group tour specifically organised for Hobbit fans"
3187435,155,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187435,156,"Something else"
3187445,166,"Visited Hobbit Film site(s)"
3187453,156,"Group tour specifically organised for Hobbit fans"
3187453,157,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187453,158,"Visited Hobbit Film site(s)"
3187453,159,"Something else"
3187496,167,"Group tour specifically organised for Hobbit fans"
3187496,168,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187496,169,"Something else"
3187498,128,"Visited Hobbiton"
3187508,153,"Group tour specifically organised for Hobbit fans"
3187508,154,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187508,155,"Visited Hobbit Film site(s)"
3187508,156,"Something else"
3187513,161,"Group tour specifically organised for Hobbit fans"
3187513,162,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187513,163,"Visited Hobbiton"
3187513,164,"Visited Hobbit Film site(s)"
3187513,165,"Something else"
3187525,160,"Group tour specifically organised for Hobbit fans"
3187525,161,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187525,162,"Visited Hobbit Film site(s)"
3187563,171,"Group tour specifically organised for Hobbit fans"
3187563,172,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187563,173,"Visited Hobbiton"
3187563,174,"Visited Hobbit Film site(s)"
3187563,175,"Something else"
3187580,156,"Group tour specifically organised for Hobbit fans"
