"SurveyResponseID","AnswerNumber","AirlineUsed","AirlineRating"
3184793,147,"Singapore Airlines","8"
3184824,152,"JetStar","6"
3184911,134,"Air New Zealand","Excellent  10"
3184773,151,"China Southern","8"
3184832,157,"Emirates","8"
3184766,131,"Emirates","9"
3184774,136,"Air New Zealand","Excellent  10"
3184742,140,"Emirates","Excellent  10"
3184875,150,"Air New Zealand","7"
3184816,129,"Air New Zealand","9"
3184820,125,"Air New Zealand","Excellent  10"
3184750,167,"Not sure",NA
3184895,133,"Qantas","Excellent  10"
3184824,153,"Qantas","9"
3184836,144,"Not sure",NA
3184832,155,"JetStar","6"
3184773,150,"Air New Zealand","Excellent  10"
3184793,146,"Air New Zealand","7"
3184790,153,"Virgin/Virgin Blue/Pacific Blue","6"
3184939,132,"Air New Zealand","Excellent  10"
3184790,152,"JetStar","8"
3184813,137,"Air New Zealand","Excellent  10"
3184840,149,"Air New Zealand","8"
3184830,132,"Air New Zealand","Excellent  10"
3184971,145,"Qantas","8"
3184837,151,"Qantas","7"
3184850,118,"Virgin/Virgin Blue/Pacific Blue","5"
3184943,144,"Emirates","8"
3184852,169,"Emirates","8"
3184809,132,"Not sure",NA
3184833,155,"JetStar","8"
3184802,120,"Not sure",NA
3184995,137,"Air New Zealand","9"
3184890,136,"Air New Zealand","7"
3184818,133,"Not sure",NA
3184778,136,"Air New Zealand","Excellent  10"
3184955,126,"Singapore Airlines","3"
3184794,154,"JetStar","4"
3184959,148,"Air New Zealand","7"
3184880,137,"JetStar","8"
3184947,136,"Not sure",NA
3184858,135,"Another airline",NA
3184868,146,"Not sure",NA
3184987,149,"Not sure",NA
3184713,157,"Emirates","9"
3184971,146,"Emirates","9"
3184848,160,"Cathay Pacific","9"
3184951,116,"Not sure",NA
3184882,147,"JetStar","6"
3184943,143,"Air New Zealand","Excellent  10"
3184894,141,"JetStar","5"
3184821,147,"Air New Zealand","7"
3184971,144,"Air New Zealand","8"
3184880,136,"Air Asia X","8"
3184880,138,"Virgin/Virgin Blue/Pacific Blue","8"
3184817,141,"Not sure",NA
3184866,128,"Not sure",NA
3184890,137,"JetStar","4"
3184806,148,"Not sure",NA
3184849,142,"Air New Zealand","Excellent  10"
3184874,136,"Not sure",NA
3184959,149,"Singapore Airlines","8"
3184813,138,"JetStar","4"
3184794,153,"Air New Zealand","Excellent  10"
3184822,148,"Air New Zealand","Excellent  10"
3184830,133,"JetStar","6"
3184837,150,"Air New Zealand","9"
3184975,152,"Air New Zealand","7"
3184878,140,"Air New Zealand","9"
3184882,146,"Air New Zealand","Excellent  10"
3184894,140,"Air New Zealand","8"
3184834,149,"Cathay Pacific","8"
3184916,150,"Another airline",NA
3184924,137,"Cathay Pacific","7"
3184916,147,"Air New Zealand","8"
3184924,136,"China Southern","Excellent  10"
3184928,142,"Emirates","Excellent  10"
3184885,145,"Emirates","Excellent  10"
3184865,143,"Not sure",NA
3184932,128,"Qantas","Excellent  10"
3184944,161,"Singapore Airlines","9"
3184908,144,"JetStar","6"
3184877,123,"Air New Zealand","8"
3184890,138,"Virgin/Virgin Blue/Pacific Blue","6"
3184916,149,"Emirates","Excellent  10"
3184954,145,"Emirates","8"
3184932,127,"Singapore Airlines","6"
3184936,142,"Not sure",NA
