"SurveyResponseID","AnswerNumber","TechnologyType"
3184733,101,"Your own mobile phone set to global roaming"
3184733,102,"Wi-fi internet locations"
3184730,132,"None of these"
3184729,119,"Blackberry, iPhone or another smart phone"
3184729,120,"Wi-fi internet locations"
3184729,121,"Your own laptop or iPad/tablet"
3184728,126,"Your own mobile phone with a sim card purchased in New Zealand"
3184728,127,"Wi-fi internet locations"
3184727,130,"Your own mobile phone set to global roaming"
3184727,131,"Blackberry, iPhone or another smart phone"
3184727,132,"Your own laptop or iPad/tablet"
3184724,125,"Your own mobile phone with a sim card purchased in New Zealand"
3184724,126,"Your own laptop or iPad/tablet"
3184722,102,"Wi-fi internet locations"
3184722,103,"Your own laptop or iPad/tablet"
3184721,122,"Wi-fi internet locations"
3184715,130,"Your own mobile phone set to global roaming"
3184715,131,"Blackberry, iPhone or another smart phone"
3184715,132,"Wi-fi internet locations"
3184715,133,"Your own laptop or iPad/tablet"
3184713,141,"Your own laptop or iPad/tablet"
3184712,122,"Blackberry, iPhone or another smart phone"
3184712,123,"Internet cafes"
3184708,122,"Blackberry, iPhone or another smart phone"
3184708,123,"Wi-fi internet locations"
3184707,122,"Your own mobile phone set to global roaming"
3184703,119,"Wi-fi internet locations"
3184703,120,"Your own laptop or iPad/tablet"
3184702,117,"Your own mobile phone with a sim card purchased in New Zealand"
3184702,118,"Wi-fi internet locations"
3184702,119,"Your own laptop or iPad/tablet"
3184700,134,"None of these"
3184699,121,"Blackberry, iPhone or another smart phone"
3184697,126,"Blackberry, iPhone or another smart phone"
3184697,127,"Wi-fi internet locations"
3184696,133,"Blackberry, iPhone or another smart phone"
3184696,134,"Your own laptop or iPad/tablet"
3184695,127,"Your own mobile phone set to global roaming"
3184695,128,"Your own laptop or iPad/tablet"
3184693,129,"Your own mobile phone with a sim card purchased in New Zealand"
3184693,130,"Your own mobile phone set to global roaming"
3184693,131,"Wi-fi internet locations"
3184691,123,"Your own mobile phone set to global roaming"
3184691,124,"Wi-fi internet locations"
3184690,114,"Blackberry, iPhone or another smart phone"
3184690,115,"Internet cafes"
3184690,116,"Wi-fi internet locations"
3184685,130,"Your own mobile phone set to global roaming"
3184685,131,"Wi-fi internet locations"
