"SurveyResponseID","AnswerNumber","TechnologyType"
3188233,167,"Your own laptop or iPad/tablet"
3188236,130,"Your own mobile phone with a sim card purchased in New Zealand"
3188236,131,"Wi-fi internet locations"
3188237,127,"Smart phone"
3188237,128,"Wi-fi internet locations"
3188238,163,"Internet cafes"
3188238,164,"Wi-fi internet locations"
3188240,111,"Wi-fi internet locations"
3188245,123,"Internet cafes"
3188246,98,"Your own mobile phone with a sim card purchased in New Zealand"
3188246,99,"Your own mobile phone set to global roaming"
3188247,131,"Smart phone"
3188247,132,"Wi-fi internet locations"
3188247,133,"Your own laptop or iPad/tablet"
3188249,107,"Wi-fi internet locations"
3188250,130,"Wi-fi internet locations"
3188253,102,"Your own mobile phone set to global roaming"
3188254,130,"Your own mobile phone with a sim card purchased in New Zealand"
3188254,131,"Internet cafes"
3188254,132,"Wi-fi internet locations"
3188255,125,"Your own mobile phone with a sim card purchased in New Zealand"
3188255,126,"Smart phone"
3188255,127,"Wi-fi internet locations"
3188255,128,"Your own laptop or iPad/tablet"
3188257,111,"Smart phone"
3188257,112,"Wi-fi internet locations"
3188257,113,"Your own laptop or iPad/tablet"
3188257,114,"Gaming console with Wi-fi capacity"
3188261,100,"Your own mobile phone with a sim card purchased in New Zealand"
3188261,101,"Smart phone"
3188261,102,"Wi-fi internet locations"
3188265,100,"Your own mobile phone with a sim card purchased in New Zealand"
3188265,101,"Your own mobile phone set to global roaming"
3188265,102,"Smart phone"
3188265,103,"Wi-fi internet locations"
3188265,104,"Your own laptop or iPad/tablet"
3188267,101,"Smart phone"
3188267,102,"Wi-fi internet locations"
3188273,112,"Wi-fi internet locations"
3188274,101,"Your own laptop or iPad/tablet"
3188277,101,"Wi-fi internet locations"
3188277,102,"Your own laptop or iPad/tablet"
3188291,126,"Your own mobile phone with a sim card purchased in New Zealand"
3188291,127,"Internet cafes"
3188291,128,"Your own laptop or iPad/tablet"
3188296,153,"Wi-fi internet locations"
3188296,154,"Your own laptop or iPad/tablet"
3188308,131,"Your own mobile phone with a sim card purchased in New Zealand"
3188308,132,"Wi-fi internet locations"
3188309,170,"Your own mobile phone with a sim card purchased in New Zealand"
3188309,171,"Smart phone"
3188309,172,"Wi-fi internet locations"
3188309,173,"Your own laptop or iPad/tablet"
3188312,121,"Your own mobile phone with a sim card purchased in New Zealand"
3188312,122,"Your own laptop or iPad/tablet"
3188314,106,"Your own mobile phone set to global roaming"
3188314,107,"Wi-fi internet locations"
3188314,108,"Your own laptop or iPad/tablet"
3188319,101,"Your own mobile phone set to global roaming"
3188321,105,"Your own mobile phone with a sim card purchased in New Zealand"
3188321,106,"Smart phone"
3188321,107,"Wi-fi internet locations"
3188321,108,"Your own laptop or iPad/tablet"
3188195,104,"Wi-fi internet locations"
3188282,145,"Your own mobile phone with a sim card purchased in New Zealand"
3188282,146,"Smart phone"
3188282,147,"Wi-fi internet locations"
3188282,148,"Your own laptop or iPad/tablet"
3188283,104,"Your own mobile phone with a sim card purchased in New Zealand"
3188285,106,"Wi-fi internet locations"
3188285,107,"Your own laptop or iPad/tablet"
3188286,120,"Your own mobile phone with a sim card purchased in New Zealand"
3188286,121,"Your own laptop or iPad/tablet"
3188287,140,"Your own mobile phone set to global roaming"
3188287,141,"Wi-fi internet locations"
3188287,142,"Your own laptop or iPad/tablet"
3188290,103,"Your own mobile phone set to global roaming"
3188290,104,"Wi-fi internet locations"
3188322,174,"Wi-fi internet locations"
3188323,136,"Wi-fi internet locations"
3188326,107,"None of these"
3188328,138,"Your own mobile phone with a sim card purchased in New Zealand"
3188328,139,"Wi-fi internet locations"
3188328,140,"Your own laptop or iPad/tablet"
3188331,118,"Internet cafes"
3188331,119,"Wi-fi internet locations"
3188331,120,"Your own laptop or iPad/tablet"
3188333,119,"Smart phone"
3188333,120,"Wi-fi internet locations"
3188334,143,"Your own mobile phone with a sim card purchased in New Zealand"
3188334,144,"Smart phone"
3188334,145,"Wi-fi internet locations"
3188334,146,"Your own laptop or iPad/tablet"
3188334,147,"Other types of technology"
3188337,106,"Smart phone"
3188340,141,"Wi-fi internet locations"
3188340,142,"Your own laptop or iPad/tablet"
3188341,151,"Your own mobile phone with a sim card purchased in New Zealand"
3188341,152,"Smart phone"
3188341,153,"Your own laptop or iPad/tablet"
3188343,116,"None of these"
3188344,161,"Smart phone"
3188344,162,"Internet cafes"
3188344,163,"Wi-fi internet locations"
3188345,133,"A mobile phone purchased in New Zealand"
3188345,134,"Wi-fi internet locations"
3188345,135,"Your own laptop or iPad/tablet"
3188347,94,"Smart phone"
3188348,163,"Your own mobile phone with a sim card purchased in New Zealand"
3188348,164,"Wi-fi internet locations"
3188350,128,"Your own mobile phone set to global roaming"
3188353,100,"Your own mobile phone with a sim card purchased in New Zealand"
3188355,158,"Internet cafes"
3188355,159,"Wi-fi internet locations"
3188355,160,"Other types of technology"
3188357,159,"None of these"
3188363,105,"Wi-fi internet locations"
3188363,106,"Your own laptop or iPad/tablet"
3188364,141,"Your own mobile phone set to global roaming"
3188364,142,"Wi-fi internet locations"
3188366,121,"Smart phone"
3188366,122,"Wi-fi internet locations"
3188366,123,"Your own laptop or iPad/tablet"
3188369,148,"Smart phone"
3188369,149,"Internet cafes"
3188369,150,"Wi-fi internet locations"
3188372,108,"Your own laptop or iPad/tablet"
3188434,166,"Your own mobile phone with a sim card purchased in New Zealand"
3188434,167,"Smart phone"
3188434,168,"Wi-fi internet locations"
3188434,169,"Your own laptop or iPad/tablet"
3188476,122,"Wi-fi internet locations"
3188476,123,"Your own laptop or iPad/tablet"
3188478,112,"Your own mobile phone set to global roaming"
3188478,113,"Smart phone"
3188478,114,"Wi-fi internet locations"
3188479,110,"Your own mobile phone with a sim card purchased in New Zealand"
3188479,111,"Smart phone"
3188479,112,"Your own laptop or iPad/tablet"
3188481,142,"Smart phone"
3188481,143,"Wi-fi internet locations"
3188482,120,"Wi-fi internet locations"
3188487,118,"Your own mobile phone set to global roaming"
3188487,119,"Smart phone"
3188487,120,"Internet cafes"
3188487,121,"Wi-fi internet locations"
3188487,122,"Your own laptop or iPad/tablet"
3188488,107,"None of these"
3188373,142,"Smart phone"
3188373,143,"Wi-fi internet locations"
3188373,144,"Your own laptop or iPad/tablet"
3188375,159,"Internet cafes"
3188375,160,"Wi-fi internet locations"
3188376,154,"Wi-fi internet locations"
3188376,155,"Your own laptop or iPad/tablet"
3188379,123,"Your own mobile phone with a sim card purchased in New Zealand"
3188379,124,"Smart phone"
3188379,125,"Your own laptop or iPad/tablet"
3188382,135,"Your own mobile phone set to global roaming"
3188389,131,"Your own mobile phone set to global roaming"
3188389,132,"Smart phone"
3188389,133,"Wi-fi internet locations"
3188389,134,"Your own laptop or iPad/tablet"
3188392,132,"Your own mobile phone set to global roaming"
3188392,133,"Smart phone"
3188392,134,"Internet cafes"
3188392,135,"Wi-fi internet locations"
3188393,104,"Smart phone"
3188393,105,"Your own laptop or iPad/tablet"
3188396,173,"Your own mobile phone with a sim card purchased in New Zealand"
3188396,174,"Your own mobile phone set to global roaming"
3188396,175,"Smart phone"
3188396,176,"Wi-fi internet locations"
3188396,177,"Your own laptop or iPad/tablet"
3188398,108,"Your own laptop or iPad/tablet"
3188400,120,"Your own mobile phone with a sim card purchased in New Zealand"
3188400,121,"Your own mobile phone set to global roaming"
3188400,122,"Your own laptop or iPad/tablet"
3188401,158,"Your own mobile phone set to global roaming"
3188401,159,"Your own laptop or iPad/tablet"
3188402,95,"Your own mobile phone set to global roaming"
3188402,96,"Wi-fi internet locations"
3188402,97,"Your own laptop or iPad/tablet"
3188403,98,"Smart phone"
3188408,147,"Your own laptop or iPad/tablet"
3188410,104,"Your own mobile phone with a sim card purchased in New Zealand"
3188410,105,"Wi-fi internet locations"
3188410,106,"Your own laptop or iPad/tablet"
3188413,96,"Your own mobile phone set to global roaming"
3188413,97,"Wi-fi internet locations"
3188413,98,"Your own laptop or iPad/tablet"
3188416,126,"Your own mobile phone set to global roaming"
3188416,127,"Smart phone"
3188416,128,"Wi-fi internet locations"
3188416,129,"Your own laptop or iPad/tablet"
3188419,149,"None of these"
3188423,100,"Your own mobile phone set to global roaming"
3188423,101,"Wi-fi internet locations"
3188423,102,"Your own laptop or iPad/tablet"
3188426,90,"Your own mobile phone set to global roaming"
3188427,101,"Other types of technology"
3188429,98,"None of these"
3188437,129,"Wi-fi internet locations"
3188437,130,"Your own laptop or iPad/tablet"
3188443,131,"Your own mobile phone with a sim card purchased in New Zealand"
3188447,110,"Smart phone"
3188447,111,"Wi-fi internet locations"
3188447,112,"Your own laptop or iPad/tablet"
3188453,107,"Smart phone"
3188453,108,"Your own laptop or iPad/tablet"
3188454,113,"Smart phone"
3188454,114,"Gaming console with Wi-fi capacity"
3188455,100,"Your own mobile phone with a sim card purchased in New Zealand"
3188455,101,"Your own mobile phone set to global roaming"
3188455,102,"Smart phone"
3188455,103,"Your own laptop or iPad/tablet"
3188483,126,"Smart phone"
3188483,127,"Wi-fi internet locations"
3188484,113,"Wi-fi internet locations"
3188485,120,"Your own mobile phone with a sim card purchased in New Zealand"
3188485,121,"Your own laptop or iPad/tablet"
3188489,112,"Your own laptop or iPad/tablet"
3188490,123,"Internet cafes"
3188490,124,"Your own laptop or iPad/tablet"
3188491,118,"Your own mobile phone set to global roaming"
3188491,119,"Smart phone"
3188491,120,"Your own laptop or iPad/tablet"
3188491,121,"Gaming console with Wi-fi capacity"
3188492,122,"Your own mobile phone set to global roaming"
3188492,123,"Smart phone"
3188492,124,"Wi-fi internet locations"
3188492,125,"Your own laptop or iPad/tablet"
3188494,125,"Smart phone"
3188494,126,"Wi-fi internet locations"
3188496,115,"Wi-fi internet locations"
3188497,114,"Wi-fi internet locations"
3188497,115,"Your own laptop or iPad/tablet"
3188499,111,"Your own mobile phone set to global roaming"
3188499,112,"Smart phone"
3188499,113,"Your own laptop or iPad/tablet"
3188500,115,"Your own mobile phone with a sim card purchased in New Zealand"
3188500,116,"Your own mobile phone set to global roaming"
3188500,117,"Your own laptop or iPad/tablet"
3188501,111,"Wi-fi internet locations"
3188501,112,"Your own laptop or iPad/tablet"
3188504,96,"Your own mobile phone with a sim card purchased in New Zealand"
3188459,94,"None of these"
3188461,97,"Smart phone"
3188461,98,"Wi-fi internet locations"
3188461,99,"Your own laptop or iPad/tablet"
3188462,148,"Internet cafes"
3188462,149,"Wi-fi internet locations"
3188463,99,"Your own mobile phone with a sim card purchased in New Zealand"
3188463,100,"Your own mobile phone set to global roaming"
3188463,101,"Smart phone"
3188463,102,"Your own laptop or iPad/tablet"
3188466,102,"Your own mobile phone with a sim card purchased in New Zealand"
3188466,103,"Wi-fi internet locations"
3188466,104,"Your own laptop or iPad/tablet"
3188467,94,"Smart phone"
3188467,95,"Wi-fi internet locations"
3188467,96,"Your own laptop or iPad/tablet"
3188469,137,"Your own mobile phone set to global roaming"
3188469,138,"Your own laptop or iPad/tablet"
3188470,90,"Your own laptop or iPad/tablet"
3188505,115,"None of these"
3188506,121,"Your own mobile phone set to global roaming"
3188506,122,"A mobile phone purchased in New Zealand"
3188506,123,"Wi-fi internet locations"
3188507,110,"Smart phone"
3188507,111,"Wi-fi internet locations"
3188507,112,"Your own laptop or iPad/tablet"
3188508,102,"Your own laptop or iPad/tablet"
3188510,105,"Smart phone"
3188510,106,"Wi-fi internet locations"
3188511,112,"Your own mobile phone with a sim card purchased in New Zealand"
3188511,113,"Your own mobile phone set to global roaming"
3188511,114,"Wi-fi internet locations"
3188511,115,"Your own laptop or iPad/tablet"
3188471,122,"Your own mobile phone with a sim card purchased in New Zealand"
3188471,123,"Wi-fi internet locations"
3188471,124,"Your own laptop or iPad/tablet"
3188472,111,"Smart phone"
3188472,112,"Wi-fi internet locations"
3188472,113,"Your own laptop or iPad/tablet"
3188472,114,"Gaming console with Wi-fi capacity"
3188514,136,"Smart phone"
3188514,137,"Wi-fi internet locations"
3188515,141,"A mobile phone purchased in New Zealand"
3188515,142,"Internet cafes"
3188515,143,"Wi-fi internet locations"
3188517,112,"Wi-fi internet locations"
3188526,106,"Your own mobile phone set to global roaming"
3188526,107,"Smart phone"
3188526,108,"Wi-fi internet locations"
3188526,109,"Your own laptop or iPad/tablet"
3188528,112,"Smart phone"
3188528,113,"Your own laptop or iPad/tablet"
3188529,116,"Your own mobile phone set to global roaming"
3188529,117,"Smart phone"
3188529,118,"Wi-fi internet locations"
3188522,119,"Your own mobile phone with a sim card purchased in New Zealand"
3188522,120,"A mobile phone purchased in New Zealand"
3188522,121,"Smart phone"
3188522,122,"Wi-fi internet locations"
3188522,123,"Your own laptop or iPad/tablet"
3188523,127,"Your own laptop or iPad/tablet"
3188627,96,"Smart phone"
3188627,97,"Wi-fi internet locations"
3188567,119,"Wi-fi internet locations"
3188569,115,"Your own mobile phone with a sim card purchased in New Zealand"
3188569,116,"Smart phone"
3188569,117,"Wi-fi internet locations"
3188570,137,"Your own mobile phone set to global roaming"
3188570,138,"A mobile phone purchased in New Zealand"
3188574,106,"Your own mobile phone set to global roaming"
3188574,107,"Internet cafes"
3188574,108,"Wi-fi internet locations"
3188574,109,"Your own laptop or iPad/tablet"
3188534,150,"Your own mobile phone set to global roaming"
3188538,106,"Your own mobile phone with a sim card purchased in New Zealand"
3188538,107,"Your own mobile phone set to global roaming"
3188538,108,"Wi-fi internet locations"
3188538,109,"Your own laptop or iPad/tablet"
3188539,123,"Your own mobile phone set to global roaming"
3188539,124,"Wi-fi internet locations"
3188539,125,"Your own laptop or iPad/tablet"
3188540,109,"Your own mobile phone set to global roaming"
3188540,110,"Other types of technology"
3188543,106,"Wi-fi internet locations"
3188544,125,"Wi-fi internet locations"
3188545,111,"Smart phone"
3188545,112,"Wi-fi internet locations"
3188545,113,"Your own laptop or iPad/tablet"
3188546,117,"Your own mobile phone set to global roaming"
3188546,118,"A mobile phone purchased in New Zealand"
3188546,119,"Smart phone"
3188546,120,"Wi-fi internet locations"
3188546,121,"Your own laptop or iPad/tablet"
3188547,131,"Your own mobile phone set to global roaming"
3188547,132,"Wi-fi internet locations"
3188551,129,"Wi-fi internet locations"
3188553,111,"Your own mobile phone set to global roaming"
3188553,112,"Wi-fi internet locations"
3188553,113,"Your own laptop or iPad/tablet"
3188559,117,"Your own mobile phone set to global roaming"
3188559,118,"A mobile phone purchased in New Zealand"
3188559,119,"Smart phone"
3188559,120,"Your own laptop or iPad/tablet"
3188561,115,"Your own mobile phone with a sim card purchased in New Zealand"
3188561,116,"Your own mobile phone set to global roaming"
3188561,117,"Wi-fi internet locations"
3188561,118,"Your own laptop or iPad/tablet"
3188562,142,"Your own mobile phone set to global roaming"
3188562,143,"Smart phone"
3188562,144,"Wi-fi internet locations"
3188562,145,"Your own laptop or iPad/tablet"
3188575,116,"Your own mobile phone with a sim card purchased in New Zealand"
3188575,117,"Wi-fi internet locations"
3188575,118,"Your own laptop or iPad/tablet"
3188576,131,"A mobile phone purchased in New Zealand"
3188576,132,"Smart phone"
3188576,133,"Your own laptop or iPad/tablet"
3188577,100,"Your own mobile phone set to global roaming"
3188577,101,"Smart phone"
3188585,148,"Your own mobile phone set to global roaming"
3188585,149,"Wi-fi internet locations"
3188586,128,"Smart phone"
3188586,129,"Internet cafes"
3188586,130,"Wi-fi internet locations"
3188586,131,"Your own laptop or iPad/tablet"
3188586,132,"Other types of technology"
3188587,127,"Your own laptop or iPad/tablet"
3188587,128,"Other types of technology"
3188564,137,"Your own mobile phone with a sim card purchased in New Zealand"
3188564,138,"Your own mobile phone set to global roaming"
3188564,139,"Wi-fi internet locations"
3188564,140,"Your own laptop or iPad/tablet"
3188565,128,"Your own mobile phone set to global roaming"
3188565,129,"Smart phone"
3188565,130,"Internet cafes"
3188565,131,"Wi-fi internet locations"
3188591,140,"Internet cafes"
3188591,141,"Wi-fi internet locations"
3188592,132,"Internet cafes"
3188592,133,"Your own laptop or iPad/tablet"
3188593,127,"Smart phone"
3188594,108,"Your own mobile phone with a sim card purchased in New Zealand"
3188594,109,"Smart phone"
3188594,110,"Wi-fi internet locations"
3188596,110,"Wi-fi internet locations"
3188597,128,"Your own mobile phone with a sim card purchased in New Zealand"
3188597,129,"Internet cafes"
3188597,130,"Wi-fi internet locations"
3188599,138,"None of these"
3188603,92,"Your own mobile phone set to global roaming"
3188603,93,"Wi-fi internet locations"
3188603,94,"Your own laptop or iPad/tablet"
3188607,95,"Your own mobile phone with a sim card purchased in New Zealand"
3188608,110,"Your own mobile phone set to global roaming"
3188608,111,"Your own laptop or iPad/tablet"
3188610,103,"Other types of technology"
3188619,121,"Wi-fi internet locations"
3188619,122,"Your own laptop or iPad/tablet"
3188674,97,"Your own mobile phone with a sim card purchased in New Zealand"
3188674,98,"Smart phone"
3188674,99,"Your own laptop or iPad/tablet"
3188678,97,"Your own mobile phone set to global roaming"
3188678,98,"Internet cafes"
3188678,99,"Wi-fi internet locations"
3188680,106,"Your own mobile phone set to global roaming"
3188680,107,"Wi-fi internet locations"
3188683,131,"Your own mobile phone set to global roaming"
3188686,97,"None of these"
3188690,111,"Your own mobile phone with a sim card purchased in New Zealand"
3188690,112,"Wi-fi internet locations"
3188701,114,"Wi-fi internet locations"
3188702,95,"None of these"
3188704,92,"Your own mobile phone set to global roaming"
3188704,93,"Wi-fi internet locations"
3188705,133,"Your own mobile phone set to global roaming"
3188705,134,"Smart phone"
3188705,135,"Wi-fi internet locations"
3188705,136,"Your own laptop or iPad/tablet"
3188710,142,"Smart phone"
3188710,143,"Wi-fi internet locations"
3188710,144,"Your own laptop or iPad/tablet"
3188713,166,"Smart phone"
3188713,167,"Wi-fi internet locations"
3188717,104,"Your own mobile phone with a sim card purchased in New Zealand"
3188717,105,"Wi-fi internet locations"
3188631,115,"Smart phone"
3188631,116,"Wi-fi internet locations"
3188633,107,"None of these"
3188638,93,"Your own mobile phone with a sim card purchased in New Zealand"
3188641,100,"Your own mobile phone set to global roaming"
3188641,101,"Wi-fi internet locations"
3188643,110,"A mobile phone purchased in New Zealand"
3188643,111,"Smart phone"
3188643,112,"Internet cafes"
3188643,113,"Wi-fi internet locations"
3188645,137,"Your own mobile phone with a sim card purchased in New Zealand"
3188645,138,"Internet cafes"
3188645,139,"Your own laptop or iPad/tablet"
3188647,94,"None of these"
3188653,96,"Your own laptop or iPad/tablet"
3188654,105,"Your own mobile phone with a sim card purchased in New Zealand"
3188654,106,"Wi-fi internet locations"
3188654,107,"Your own laptop or iPad/tablet"
3188657,105,"Your own mobile phone set to global roaming"
3188657,106,"Smart phone"
3188657,107,"Wi-fi internet locations"
3188657,108,"Your own laptop or iPad/tablet"
3188659,104,"Your own mobile phone with a sim card purchased in New Zealand"
3188659,105,"Your own mobile phone set to global roaming"
3188659,106,"Smart phone"
3188659,107,"Wi-fi internet locations"
3188659,108,"Your own laptop or iPad/tablet"
3188663,139,"Your own mobile phone with a sim card purchased in New Zealand"
3188663,140,"Your own mobile phone set to global roaming"
3188663,141,"Smart phone"
3188663,142,"Wi-fi internet locations"
3188663,143,"Your own laptop or iPad/tablet"
3188666,96,"Your own mobile phone set to global roaming"
3188666,97,"Wi-fi internet locations"
3188693,119,"Your own mobile phone with a sim card purchased in New Zealand"
3188693,120,"Your own mobile phone set to global roaming"
3188693,121,"Smart phone"
3188693,122,"Wi-fi internet locations"
3188693,123,"Your own laptop or iPad/tablet"
3188693,124,"Other types of technology"
3188694,94,"Your own mobile phone with a sim card purchased in New Zealand"
3188694,95,"Smart phone"
3188694,96,"Wi-fi internet locations"
3188694,97,"Your own laptop or iPad/tablet"
3188699,116,"Your own mobile phone set to global roaming"
3188699,117,"Smart phone"
3188699,118,"Your own laptop or iPad/tablet"
3188719,144,"Wi-fi internet locations"
3188719,145,"Your own laptop or iPad/tablet"
3188722,138,"Your own laptop or iPad/tablet"
3188726,142,"Your own mobile phone with a sim card purchased in New Zealand"
3188726,143,"Smart phone"
3188726,144,"Wi-fi internet locations"
3188726,145,"Your own laptop or iPad/tablet"
3188727,176,"Your own mobile phone set to global roaming"
3188727,177,"Smart phone"
3188727,178,"Wi-fi internet locations"
3188728,94,"Your own mobile phone set to global roaming"
3188728,95,"Wi-fi internet locations"
3188729,99,"Your own mobile phone set to global roaming"
3188729,100,"Wi-fi internet locations"
3188729,101,"Your own laptop or iPad/tablet"
3188730,90,"Smart phone"
3188733,97,"Your own mobile phone set to global roaming"
3188735,115,"Your own mobile phone with a sim card purchased in New Zealand"
3188735,116,"Internet cafes"
3188671,94,"Your own mobile phone set to global roaming"
3188673,94,"Your own mobile phone set to global roaming"
3188673,95,"Your own laptop or iPad/tablet"
3188744,107,"Your own mobile phone with a sim card purchased in New Zealand"
3188744,108,"Wi-fi internet locations"
3188737,115,"Smart phone"
3188737,116,"Wi-fi internet locations"
3188740,155,"Your own mobile phone set to global roaming"
3188740,156,"Wi-fi internet locations"
3188740,157,"Your own laptop or iPad/tablet"
3188747,98,"Your own mobile phone with a sim card purchased in New Zealand"
3188747,99,"Smart phone"
3188747,100,"Wi-fi internet locations"
3188747,101,"Your own laptop or iPad/tablet"
3188752,162,"Your own mobile phone set to global roaming"
3188752,163,"Wi-fi internet locations"
3188752,164,"Your own laptop or iPad/tablet"
3188754,104,"Wi-fi internet locations"
3188765,156,"Your own mobile phone with a sim card purchased in New Zealand"
3188765,157,"Wi-fi internet locations"
3188765,158,"Your own laptop or iPad/tablet"
3188758,158,"Your own mobile phone set to global roaming"
3188758,159,"Smart phone"
3188758,160,"Your own laptop or iPad/tablet"
3188759,96,"Your own mobile phone set to global roaming"
3188759,97,"Smart phone"
3188759,98,"Wi-fi internet locations"
3188759,99,"Your own laptop or iPad/tablet"
3188760,92,"Smart phone"
3188760,93,"Wi-fi internet locations"
3188760,94,"Your own laptop or iPad/tablet"
3188767,163,"Internet cafes"
3188767,164,"Wi-fi internet locations"
3188768,136,"Internet cafes"
3188769,110,"Your own mobile phone set to global roaming"
3188769,111,"A mobile phone purchased in New Zealand"
3188769,112,"Smart phone"
3188769,113,"Wi-fi internet locations"
3188771,144,"Wi-fi internet locations"
3188771,145,"Your own laptop or iPad/tablet"
3188782,138,"A mobile phone purchased in New Zealand"
3188782,139,"Smart phone"
3188782,140,"Wi-fi internet locations"
3188780,124,"Your own mobile phone set to global roaming"
3188780,125,"Smart phone"
3188780,126,"Wi-fi internet locations"
3188781,130,"Your own mobile phone set to global roaming"
3188781,131,"Smart phone"
3188781,132,"Wi-fi internet locations"
3188781,133,"Your own laptop or iPad/tablet"
3188787,144,"Your own mobile phone set to global roaming"
3188787,145,"Smart phone"
3188787,146,"Internet cafes"
3188787,147,"Wi-fi internet locations"
3188787,148,"Your own laptop or iPad/tablet"
3188789,99,"Your own mobile phone set to global roaming"
3188790,101,"Your own mobile phone set to global roaming"
3188790,102,"Smart phone"
3188796,94,"None of these"
3189000,123,"None of these"
3188904,126,"Smart phone"
3188904,127,"Wi-fi internet locations"
3188907,118,"Your own mobile phone set to global roaming"
3188907,119,"Wi-fi internet locations"
3188908,115,"Smart phone"
3188908,116,"Your own laptop or iPad/tablet"
3188909,123,"None of these"
3188910,156,"Your own mobile phone set to global roaming"
3188910,157,"Internet cafes"
3188913,120,"Your own mobile phone with a sim card purchased in New Zealand"
3188913,121,"Smart phone"
3188913,122,"Wi-fi internet locations"
3188913,123,"Your own laptop or iPad/tablet"
3188918,123,"Smart phone"
3188918,124,"Your own laptop or iPad/tablet"
3188919,166,"Internet cafes"
3188919,167,"Wi-fi internet locations"
3188920,120,"Your own mobile phone with a sim card purchased in New Zealand"
3188920,121,"Your own mobile phone set to global roaming"
3188920,122,"Your own laptop or iPad/tablet"
3188966,105,"Wi-fi internet locations"
3188967,136,"Smart phone"
3188989,153,"Your own mobile phone with a sim card purchased in New Zealand"
3188989,154,"Wi-fi internet locations"
3188989,155,"Your own laptop or iPad/tablet"
3188991,138,"Your own mobile phone with a sim card purchased in New Zealand"
3188991,139,"A mobile phone purchased in New Zealand"
3188991,140,"Smart phone"
3188991,141,"Wi-fi internet locations"
3188991,142,"Your own laptop or iPad/tablet"
3189040,153,"A mobile phone purchased in New Zealand"
3188972,138,"Your own mobile phone with a sim card purchased in New Zealand"
3188972,139,"Internet cafes"
3188972,140,"Wi-fi internet locations"
3188974,95,"Your own mobile phone set to global roaming"
3188974,96,"Your own laptop or iPad/tablet"
3188976,121,"Your own mobile phone with a sim card purchased in New Zealand"
3188976,122,"Your own mobile phone set to global roaming"
3188976,123,"Smart phone"
3188976,124,"Wi-fi internet locations"
3188976,125,"Your own laptop or iPad/tablet"
3188978,102,"Your own mobile phone set to global roaming"
3188978,103,"A mobile phone purchased in New Zealand"
3188978,104,"Smart phone"
3188978,105,"Wi-fi internet locations"
3188978,106,"Your own laptop or iPad/tablet"
3188982,110,"Wi-fi internet locations"
3188983,134,"Your own mobile phone with a sim card purchased in New Zealand"
3188983,135,"Wi-fi internet locations"
3188992,119,"Your own mobile phone set to global roaming"
3188992,120,"Wi-fi internet locations"
3188992,121,"Your own laptop or iPad/tablet"
3188993,109,"Smart phone"
3188993,110,"Wi-fi internet locations"
3188993,111,"Your own laptop or iPad/tablet"
3188994,168,"Your own laptop or iPad/tablet"
3189032,112,"Smart phone"
3189032,113,"Wi-fi internet locations"
3189033,178,"Smart phone"
3189033,179,"Wi-fi internet locations"
3189036,100,"Your own mobile phone with a sim card purchased in New Zealand"
3189036,101,"Wi-fi internet locations"
3189037,122,"Wi-fi internet locations"
3189037,123,"Your own laptop or iPad/tablet"
3189038,165,"Wi-fi internet locations"
3189038,166,"Your own laptop or iPad/tablet"
3188802,98,"Wi-fi internet locations"
3188802,99,"Your own laptop or iPad/tablet"
3188805,93,"Smart phone"
3188807,103,"Your own mobile phone with a sim card purchased in New Zealand"
3188807,104,"Your own laptop or iPad/tablet"
3188809,138,"Your own mobile phone set to global roaming"
3188810,119,"Your own mobile phone set to global roaming"
3188811,144,"Wi-fi internet locations"
3188812,102,"Your own mobile phone with a sim card purchased in New Zealand"
3188812,103,"Smart phone"
3188812,104,"Internet cafes"
3188812,105,"Wi-fi internet locations"
3188812,106,"Your own laptop or iPad/tablet"
3188815,108,"Your own laptop or iPad/tablet"
3188818,122,"Your own mobile phone set to global roaming"
3188818,123,"Smart phone"
3188818,124,"Wi-fi internet locations"
3188818,125,"Your own laptop or iPad/tablet"
3188824,118,"Your own mobile phone with a sim card purchased in New Zealand"
3188824,119,"Smart phone"
3188824,120,"Wi-fi internet locations"
3188824,121,"Your own laptop or iPad/tablet"
3188825,124,"Your own mobile phone with a sim card purchased in New Zealand"
3188825,125,"Wi-fi internet locations"
3188825,126,"Your own laptop or iPad/tablet"
3188828,166,"Your own laptop or iPad/tablet"
3188830,156,"Your own mobile phone with a sim card purchased in New Zealand"
3188830,157,"Your own mobile phone set to global roaming"
3188830,158,"Internet cafes"
3188830,159,"Wi-fi internet locations"
3188830,160,"Your own laptop or iPad/tablet"
3188831,133,"Your own mobile phone set to global roaming"
3188832,126,"Your own mobile phone with a sim card purchased in New Zealand"
3188832,127,"Your own mobile phone set to global roaming"
3188832,128,"Wi-fi internet locations"
3188833,97,"Your own mobile phone set to global roaming"
3188833,98,"Wi-fi internet locations"
3188833,99,"Your own laptop or iPad/tablet"
3188835,106,"Your own mobile phone set to global roaming"
3188835,107,"A mobile phone purchased in New Zealand"
3188835,108,"Internet cafes"
3188835,109,"Wi-fi internet locations"
3188835,110,"Your own laptop or iPad/tablet"
3188837,102,"Your own mobile phone set to global roaming"
3188837,103,"Smart phone"
3188837,104,"Wi-fi internet locations"
3188837,105,"Your own laptop or iPad/tablet"
3188841,167,"Wi-fi internet locations"
3188841,168,"Your own laptop or iPad/tablet"
3188844,167,"Wi-fi internet locations"
3188845,98,"Your own mobile phone with a sim card purchased in New Zealand"
3188845,99,"Your own laptop or iPad/tablet"
